query_text,true_persona,true_intent,expected_route,expected_tier,notes
UT Austin,high_school_student,direct_lookup,typesense_only,easy,gold label; high_school_student; direct_lookup
UC Berkeley research opportunities for undergrads,college_student,direct_lookup,typesense_only,easy,gold label; college_student; direct_lookup
princeton,college_student,direct_lookup,typesense_only,easy,gold label; college_student; direct_lookup
Stanford research opportunities for undergrads,college_student,direct_lookup,typesense_only,easy,gold label; college_student; direct_lookup
does Brown have biology,college_student,attribute_lookup,typesense_plus_metadata,easy,gold label; college_student; attribute_lookup
can i transfer credits into Brown,college_student,attribute_lookup,typesense_plus_metadata,easy,gold label; college_student; attribute_lookup
can i transfer credits into UCLA,college_student,attribute_lookup,typesense_plus_metadata,easy,gold label; college_student; attribute_lookup
Virginia Tech acceptance rate,college_student,attribute_lookup,typesense_plus_metadata,easy,gold label; college_student; attribute_lookup
University of Washington research opportunities for undergrads,college_student,filtered_search,semantic_or_faceted_search,medium,gold label; college_student; filtered_search
best data science schools in warm states,college_student,filtered_search,semantic_or_faceted_search,medium,gold label; college_student; filtered_search
UT Austin research opportunities for undergrads,college_student,filtered_search,semantic_or_faceted_search,medium,gold label; college_student; filtered_search
best psychology schools in California,college_student,filtered_search,semantic_or_faceted_search,medium,gold label; college_student; filtered_search
Harvard research opportunities for undergrads,college_student,multi_constraint,foundry_multi_agent,complex,gold label; college_student; multi_constraint
University of Washington research opportunities for undergrads,college_student,multi_constraint,foundry_multi_agent,complex,gold label; college_student; multi_constraint
can i transfer credits into NYU,college_student,multi_constraint,foundry_multi_agent,complex,gold label; college_student; multi_constraint
can i transfer credits into Duke,college_student,multi_constraint,foundry_multi_agent,complex,gold label; college_student; multi_constraint
USC research opportunities for undergrads,college_student,comparison,compare_pipeline,complex,gold label; college_student; comparison
can i transfer credits into Cornell,college_student,comparison,compare_pipeline,complex,gold label; college_student; comparison
Stanford research opportunities for undergrads,college_student,comparison,compare_pipeline,complex,gold label; college_student; comparison
Virginia Tech tuition vs University of Washington tuition,college_student,comparison,compare_pipeline,complex,gold label; college_student; comparison
can i transfer credits into Columbia,college_student,recommendation,recommendation_workflow,complex,gold label; college_student; recommendation
USC research opportunities for undergrads,college_student,recommendation,recommendation_workflow,complex,gold label; college_student; recommendation
schools like University of Michigan but cheaper,college_student,recommendation,recommendation_workflow,complex,gold label; college_student; recommendation
Columbia research opportunities for undergrads,college_student,recommendation,recommendation_workflow,complex,gold label; college_student; recommendation
do i need sat for Duke,college_student,admissions_process,faq_or_guidance,medium,gold label; college_student; admissions_process
can i transfer credits into University of Washington,college_student,admissions_process,faq_or_guidance,medium,gold label; college_student; admissions_process
can i transfer credits into NYU,college_student,admissions_process,faq_or_guidance,medium,gold label; college_student; admissions_process
USC application deadlines,college_student,admissions_process,faq_or_guidance,medium,gold label; college_student; admissions_process
Purdue research opportunities for undergrads,college_student,cost_financial_aid,finance_guidance,medium,gold label; college_student; cost_financial_aid
Brown scholarships,college_student,cost_financial_aid,finance_guidance,medium,gold label; college_student; cost_financial_aid
University of Michigan scholarships,college_student,cost_financial_aid,finance_guidance,medium,gold label; college_student; cost_financial_aid
University of Michigan research opportunities for undergrads,college_student,cost_financial_aid,finance_guidance,medium,gold label; college_student; cost_financial_aid
can i transfer credits into Columbia,college_student,campus_life_fit,llm_advisory,complex,gold label; college_student; campus_life_fit
can i transfer credits into Cornell,college_student,campus_life_fit,llm_advisory,complex,gold label; college_student; campus_life_fit
can i transfer credits into UC Berkeley,college_student,campus_life_fit,llm_advisory,complex,gold label; college_student; campus_life_fit
can i transfer credits into Northwestern,college_student,campus_life_fit,llm_advisory,complex,gold label; college_student; campus_life_fit
can i transfer credits into Carnegie Mellon,college_student,career_outcomes,outcomes_pipeline,medium,gold label; college_student; career_outcomes
can i transfer credits into UC Berkeley,college_student,career_outcomes,outcomes_pipeline,medium,gold label; college_student; career_outcomes
UT Austin research opportunities for undergrads,college_student,career_outcomes,outcomes_pipeline,medium,gold label; college_student; career_outcomes
Harvard research opportunities for undergrads,college_student,career_outcomes,outcomes_pipeline,medium,gold label; college_student; career_outcomes
harvard but less stressful,college_student,rewrite_needed,rewrite_then_route,complex,gold label; college_student; rewrite_needed
Brown research opportunities for undergrads,college_student,rewrite_needed,rewrite_then_route,complex,gold label; college_student; rewrite_needed
NYU but cheaper,college_student,rewrite_needed,rewrite_then_route,complex,gold label; college_student; rewrite_needed
UT Austin research opportunities for undergrads,college_student,rewrite_needed,rewrite_then_route,complex,gold label; college_student; rewrite_needed
can i transfer credits into UCLA,college_student,b2b_partnership,b2b_workflow,medium,gold label; college_student; b2b_partnership
can i transfer credits into Carnegie Mellon,college_student,b2b_partnership,b2b_workflow,medium,gold label; college_student; b2b_partnership
Duke research opportunities for undergrads,college_student,b2b_partnership,b2b_workflow,medium,gold label; college_student; b2b_partnership
UT Austin research opportunities for undergrads,college_student,b2b_partnership,b2b_workflow,medium,gold label; college_student; b2b_partnership
is Harvard safe for students,parent,direct_lookup,typesense_only,easy,gold label; parent; direct_lookup
four year cost of Georgia Tech including housing,parent,direct_lookup,typesense_only,easy,gold label; parent; direct_lookup
Duke overview,parent,direct_lookup,typesense_only,easy,gold label; parent; direct_lookup
four year cost of Brown including housing,parent,direct_lookup,typesense_only,easy,gold label; parent; direct_lookup
is University of Michigan safe for students,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; attribute_lookup
Carnegie Mellon housing guarantee,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; attribute_lookup
is Stanford safe for students,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; attribute_lookup
is Harvard safe for students,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; attribute_lookup
is USC safe for students,parent,filtered_search,semantic_or_faceted_search,medium,gold label; parent; filtered_search
four year cost of Duke including housing,parent,filtered_search,semantic_or_faceted_search,medium,gold label; parent; filtered_search
Princeton housing guarantee,parent,filtered_search,semantic_or_faceted_search,medium,gold label; parent; filtered_search
Brown housing guarantee,parent,filtered_search,semantic_or_faceted_search,medium,gold label; parent; filtered_search
four year cost of Harvard including housing,parent,multi_constraint,foundry_multi_agent,complex,gold label; parent; multi_constraint
UT Austin housing guarantee,parent,multi_constraint,foundry_multi_agent,complex,gold label; parent; multi_constraint
colleges in warm states with scholarships with strong research and campus safety,parent,multi_constraint,foundry_multi_agent,complex,gold label; parent; multi_constraint
four year cost of Carnegie Mellon including housing,parent,multi_constraint,foundry_multi_agent,complex,gold label; parent; multi_constraint
is Columbia safe for students,parent,comparison,compare_pipeline,complex,gold label; parent; comparison
four year cost of USC including housing,parent,comparison,compare_pipeline,complex,gold label; parent; comparison
four year cost of Columbia including housing,parent,comparison,compare_pipeline,complex,gold label; parent; comparison
UCLA housing guarantee,parent,comparison,compare_pipeline,complex,gold label; parent; comparison
Northwestern housing guarantee,parent,recommendation,recommendation_workflow,complex,gold label; parent; recommendation
four year cost of Princeton including housing,parent,recommendation,recommendation_workflow,complex,gold label; parent; recommendation
Virginia Tech housing guarantee,parent,recommendation,recommendation_workflow,complex,gold label; parent; recommendation
four year cost of Columbia including housing,parent,recommendation,recommendation_workflow,complex,gold label; parent; recommendation
Princeton housing guarantee,parent,admissions_process,faq_or_guidance,medium,gold label; parent; admissions_process
Purdue housing guarantee,parent,admissions_process,faq_or_guidance,medium,gold label; parent; admissions_process
is Virginia Tech safe for students,parent,admissions_process,faq_or_guidance,medium,gold label; parent; admissions_process
four year cost of University of Washington including housing,parent,admissions_process,faq_or_guidance,medium,gold label; parent; admissions_process
four year cost of Stanford including housing,parent,cost_financial_aid,finance_guidance,medium,gold label; parent; cost_financial_aid
Duke scholarships,parent,cost_financial_aid,finance_guidance,medium,gold label; parent; cost_financial_aid
four year cost of University of Washington including housing,parent,cost_financial_aid,finance_guidance,medium,gold label; parent; cost_financial_aid
cheapest psychology schools in Texas,parent,cost_financial_aid,finance_guidance,medium,gold label; parent; cost_financial_aid
schools good for introverts,parent,campus_life_fit,llm_advisory,complex,gold label; parent; campus_life_fit
Georgia Tech housing guarantee,parent,campus_life_fit,llm_advisory,complex,gold label; parent; campus_life_fit
four year cost of Harvard including housing,parent,campus_life_fit,llm_advisory,complex,gold label; parent; campus_life_fit
four year cost of UC Berkeley including housing,parent,campus_life_fit,llm_advisory,complex,gold label; parent; campus_life_fit
four year cost of Virginia Tech including housing,parent,career_outcomes,outcomes_pipeline,medium,gold label; parent; career_outcomes
four year cost of Northwestern including housing,parent,career_outcomes,outcomes_pipeline,medium,gold label; parent; career_outcomes
is UC Berkeley safe for students,parent,career_outcomes,outcomes_pipeline,medium,gold label; parent; career_outcomes
is Duke safe for students,parent,career_outcomes,outcomes_pipeline,medium,gold label; parent; career_outcomes
UCLA housing guarantee,parent,rewrite_needed,rewrite_then_route,complex,gold label; parent; rewrite_needed
four year cost of Virginia Tech including housing,parent,rewrite_needed,rewrite_then_route,complex,gold label; parent; rewrite_needed
UC Berkeley housing guarantee,parent,rewrite_needed,rewrite_then_route,complex,gold label; parent; rewrite_needed
four year cost of Brown including housing,parent,rewrite_needed,rewrite_then_route,complex,gold label; parent; rewrite_needed
four year cost of USC including housing,parent,b2b_partnership,b2b_workflow,medium,gold label; parent; b2b_partnership
four year cost of UC Berkeley including housing,parent,b2b_partnership,b2b_workflow,medium,gold label; parent; b2b_partnership
pricing for partner universities,parent,b2b_partnership,b2b_workflow,medium,gold label; parent; b2b_partnership
Columbia housing guarantee,parent,b2b_partnership,b2b_workflow,medium,gold label; parent; b2b_partnership
best fit colleges for students interested in business,counselor_teacher,direct_lookup,typesense_only,easy,gold label; counselor_teacher; direct_lookup
MIT overview,counselor_teacher,direct_lookup,typesense_only,easy,gold label; counselor_teacher; direct_lookup
Carnegie Mellon,counselor_teacher,direct_lookup,typesense_only,easy,gold label; counselor_teacher; direct_lookup
University of Washington admissions profile average sat and gpa,counselor_teacher,direct_lookup,typesense_only,easy,gold label; counselor_teacher; direct_lookup
Harvard tuition,counselor_teacher,attribute_lookup,typesense_plus_metadata,easy,gold label; counselor_teacher; attribute_lookup
Harvard admissions profile average sat and gpa,counselor_teacher,attribute_lookup,typesense_plus_metadata,easy,gold label; counselor_teacher; attribute_lookup
best fit colleges for students interested in economics,counselor_teacher,attribute_lookup,typesense_plus_metadata,easy,gold label; counselor_teacher; attribute_lookup
best fit colleges for students interested in computer science,counselor_teacher,attribute_lookup,typesense_plus_metadata,easy,gold label; counselor_teacher; attribute_lookup
schools near a tech hub with strong research,counselor_teacher,filtered_search,semantic_or_faceted_search,medium,gold label; counselor_teacher; filtered_search
schools in California with strong research,counselor_teacher,filtered_search,semantic_or_faceted_search,medium,gold label; counselor_teacher; filtered_search
schools in warm states with strong research,counselor_teacher,filtered_search,semantic_or_faceted_search,medium,gold label; counselor_teacher; filtered_search
schools with strong first gen support,counselor_teacher,filtered_search,semantic_or_faceted_search,medium,gold label; counselor_teacher; filtered_search
schools with strong first gen support,counselor_teacher,multi_constraint,foundry_multi_agent,complex,gold label; counselor_teacher; multi_constraint
colleges in the Midwest under 40k with strong research and campus safety,counselor_teacher,multi_constraint,foundry_multi_agent,complex,gold label; counselor_teacher; multi_constraint
affordable data science schools near Chicago under 20k with good internships,counselor_teacher,multi_constraint,foundry_multi_agent,complex,gold label; counselor_teacher; multi_constraint
Purdue vs Harvard,counselor_teacher,comparison,compare_pipeline,complex,gold label; counselor_teacher; comparison
Duke vs USC,counselor_teacher,comparison,compare_pipeline,complex,gold label; counselor_teacher; comparison
schools with strong first gen support,counselor_teacher,comparison,compare_pipeline,complex,gold label; counselor_teacher; comparison
USC admissions profile average sat and gpa,counselor_teacher,comparison,compare_pipeline,complex,gold label; counselor_teacher; comparison
what schools should i apply to for business,counselor_teacher,recommendation,recommendation_workflow,complex,gold label; counselor_teacher; recommendation
Georgia Tech admissions profile average sat and gpa,counselor_teacher,recommendation,recommendation_workflow,complex,gold label; counselor_teacher; recommendation
Virginia Tech admissions profile average sat and gpa,counselor_teacher,recommendation,recommendation_workflow,complex,gold label; counselor_teacher; recommendation
best fit colleges for students interested in biology,counselor_teacher,recommendation,recommendation_workflow,complex,gold label; counselor_teacher; recommendation
University of Michigan admissions profile average sat and gpa,counselor_teacher,admissions_process,faq_or_guidance,medium,gold label; counselor_teacher; admissions_process
best fit colleges for students interested in computer science,counselor_teacher,admissions_process,faq_or_guidance,medium,gold label; counselor_teacher; admissions_process
what essays does MIT require,counselor_teacher,admissions_process,faq_or_guidance,medium,gold label; counselor_teacher; admissions_process
best fit colleges for students interested in engineering,counselor_teacher,cost_financial_aid,finance_guidance,medium,gold label; counselor_teacher; cost_financial_aid
schools with strong first gen support,counselor_teacher,cost_financial_aid,finance_guidance,medium,gold label; counselor_teacher; cost_financial_aid
Virginia Tech scholarships,counselor_teacher,cost_financial_aid,finance_guidance,medium,gold label; counselor_teacher; cost_financial_aid
best fit colleges for students interested in computer science,counselor_teacher,campus_life_fit,llm_advisory,complex,gold label; counselor_teacher; campus_life_fit
schools with strong first gen support,counselor_teacher,campus_life_fit,llm_advisory,complex,gold label; counselor_teacher; campus_life_fit
Stanford admissions profile average sat and gpa,counselor_teacher,campus_life_fit,llm_advisory,complex,gold label; counselor_teacher; campus_life_fit
NYU admissions profile average sat and gpa,counselor_teacher,campus_life_fit,llm_advisory,complex,gold label; counselor_teacher; campus_life_fit
schools with strong first gen support,counselor_teacher,career_outcomes,outcomes_pipeline,medium,gold label; counselor_teacher; career_outcomes
best fit colleges for students interested in mechanical engineering,counselor_teacher,career_outcomes,outcomes_pipeline,medium,gold label; counselor_teacher; career_outcomes
Princeton admissions profile average sat and gpa,counselor_teacher,career_outcomes,outcomes_pipeline,medium,gold label; counselor_teacher; career_outcomes
schools with strong first gen support,counselor_teacher,rewrite_needed,rewrite_then_route,complex,gold label; counselor_teacher; rewrite_needed
best fit colleges for students interested in data science,counselor_teacher,rewrite_needed,rewrite_then_route,complex,gold label; counselor_teacher; rewrite_needed
Cornell admissions profile average sat and gpa,counselor_teacher,rewrite_needed,rewrite_then_route,complex,gold label; counselor_teacher; rewrite_needed
best fit colleges for students interested in computer science,counselor_teacher,rewrite_needed,rewrite_then_route,complex,gold label; counselor_teacher; rewrite_needed
request demo for admissions office,counselor_teacher,b2b_partnership,b2b_workflow,medium,gold label; counselor_teacher; b2b_partnership
pricing for partner universities,counselor_teacher,b2b_partnership,b2b_workflow,medium,gold label; counselor_teacher; b2b_partnership
Harvard admissions profile average sat and gpa,counselor_teacher,b2b_partnership,b2b_workflow,medium,gold label; counselor_teacher; b2b_partnership
best options for a student switching into computer science,advisor,direct_lookup,typesense_only,easy,gold label; advisor; direct_lookup
create reach target safety list for mechanical engineering in warm states under 30k,advisor,direct_lookup,typesense_only,easy,gold label; advisor; direct_lookup
best options for a student switching into psychology,advisor,direct_lookup,typesense_only,easy,gold label; advisor; direct_lookup
University of Michigan housing policy,advisor,attribute_lookup,typesense_plus_metadata,easy,gold label; advisor; attribute_lookup
best options for a student switching into data science,advisor,attribute_lookup,typesense_plus_metadata,easy,gold label; advisor; attribute_lookup
create reach target safety list for mechanical engineering near a tech hub with strong aid,advisor,attribute_lookup,typesense_plus_metadata,easy,gold label; advisor; attribute_lookup
University of Washington tuition,advisor,attribute_lookup,typesense_plus_metadata,easy,gold label; advisor; attribute_lookup
best psychology schools near a tech hub,advisor,filtered_search,semantic_or_faceted_search,medium,gold label; advisor; filtered_search
best options for a student switching into biology,advisor,filtered_search,semantic_or_faceted_search,medium,gold label; advisor; filtered_search
schools in warm states with strong research,advisor,filtered_search,semantic_or_faceted_search,medium,gold label; advisor; filtered_search
best options for a student switching into nursing,advisor,filtered_search,semantic_or_faceted_search,medium,gold label; advisor; filtered_search
best options for a student switching into biology,advisor,multi_constraint,foundry_multi_agent,complex,gold label; advisor; multi_constraint
create reach target safety list for architecture near the beach under 30k,advisor,multi_constraint,foundry_multi_agent,complex,gold label; advisor; multi_constraint
create reach target safety list for mechanical engineering in the Midwest with scholarships,advisor,multi_constraint,foundry_multi_agent,complex,gold label; advisor; multi_constraint
create reach target safety list for economics in warm states under 30k,advisor,multi_constraint,foundry_multi_agent,complex,gold label; advisor; multi_constraint
create reach target safety list for engineering in the Midwest under 20k,advisor,comparison,compare_pipeline,complex,gold label; advisor; comparison
Northwestern vs UC Berkeley for biology,advisor,comparison,compare_pipeline,complex,gold label; advisor; comparison
create reach target safety list for data science in the Midwest with scholarships,advisor,comparison,compare_pipeline,complex,gold label; advisor; comparison
create reach target safety list for engineering near Chicago under 40k,advisor,comparison,compare_pipeline,complex,gold label; advisor; comparison
best options for a student switching into architecture,advisor,recommendation,recommendation_workflow,complex,gold label; advisor; recommendation
schools like USC but cheaper,advisor,recommendation,recommendation_workflow,complex,gold label; advisor; recommendation
create reach target safety list for mechanical engineering near Chicago with strong aid,advisor,recommendation,recommendation_workflow,complex,gold label; advisor; recommendation
create reach target safety list for biology near a tech hub with strong aid,advisor,recommendation,recommendation_workflow,complex,gold label; advisor; recommendation
create reach target safety list for engineering in the Midwest under 30k,advisor,admissions_process,faq_or_guidance,medium,gold label; advisor; admissions_process
best options for a student switching into biology,advisor,admissions_process,faq_or_guidance,medium,gold label; advisor; admissions_process
best options for a student switching into mechanical engineering,advisor,admissions_process,faq_or_guidance,medium,gold label; advisor; admissions_process
create reach target safety list for pre-med near Chicago under 30k,advisor,admissions_process,faq_or_guidance,medium,gold label; advisor; admissions_process
create reach target safety list for pre-med in the Midwest under 20k,advisor,cost_financial_aid,finance_guidance,medium,gold label; advisor; cost_financial_aid
how to lower college costs,advisor,cost_financial_aid,finance_guidance,medium,gold label; advisor; cost_financial_aid
University of Washington scholarships,advisor,cost_financial_aid,finance_guidance,medium,gold label; advisor; cost_financial_aid
best options for a student switching into nursing,advisor,cost_financial_aid,finance_guidance,medium,gold label; advisor; cost_financial_aid
best options for a student switching into nursing,advisor,campus_life_fit,llm_advisory,complex,gold label; advisor; campus_life_fit
schools with collaborative culture,advisor,campus_life_fit,llm_advisory,complex,gold label; advisor; campus_life_fit
UCLA campus culture,advisor,campus_life_fit,llm_advisory,complex,gold label; advisor; campus_life_fit
best options for a student switching into engineering,advisor,career_outcomes,outcomes_pipeline,medium,gold label; advisor; career_outcomes
best options for a student switching into economics,advisor,career_outcomes,outcomes_pipeline,medium,gold label; advisor; career_outcomes
create reach target safety list for economics near the beach under 20k,advisor,career_outcomes,outcomes_pipeline,medium,gold label; advisor; career_outcomes
UT Austin job placement for pre-med,advisor,career_outcomes,outcomes_pipeline,medium,gold label; advisor; career_outcomes
create reach target safety list for architecture in Texas under 20k,advisor,rewrite_needed,rewrite_then_route,complex,gold label; advisor; rewrite_needed
best options for a student switching into nursing,advisor,rewrite_needed,rewrite_then_route,complex,gold label; advisor; rewrite_needed
create reach target safety list for mechanical engineering near Chicago under 20k,advisor,rewrite_needed,rewrite_then_route,complex,gold label; advisor; rewrite_needed
best options for a student switching into psychology,advisor,rewrite_needed,rewrite_then_route,complex,gold label; advisor; rewrite_needed
best options for a student switching into pre-med,advisor,b2b_partnership,b2b_workflow,medium,gold label; advisor; b2b_partnership
best options for a student switching into computer science,advisor,b2b_partnership,b2b_workflow,medium,gold label; advisor; b2b_partnership
create reach target safety list for engineering near the beach with scholarships,advisor,b2b_partnership,b2b_workflow,medium,gold label; advisor; b2b_partnership
how can our university join the platform,advisor,b2b_partnership,b2b_workflow,medium,gold label; advisor; b2b_partnership
how can our university join the platform,college_b2b,b2b_partnership,b2b_workflow,medium,gold label; college_b2b; b2b_partnership
api access for college partners,college_b2b,b2b_partnership,b2b_workflow,medium,gold label; college_b2b; b2b_partnership
pricing for partner universities,college_b2b,b2b_partnership,b2b_workflow,medium,gold label; college_b2b; b2b_partnership
request demo for admissions office,college_b2b,b2b_partnership,b2b_workflow,medium,gold label; college_b2b; b2b_partnership
is Columbia safe for students,parent,campus_life_fit,llm_advisory,complex,gold label; parent; campus_life_fit
UCLA housing guarantee,parent,b2b_partnership,b2b_workflow,medium,gold label; parent; b2b_partnership
best fit colleges for students interested in economics,counselor_teacher,rewrite_needed,rewrite_then_route,complex,gold label; counselor_teacher; rewrite_needed
Virginia Tech,parent,direct_lookup,typesense_only,easy,gold label; parent; direct_lookup
University of Washington campus culture,college_student,campus_life_fit,llm_advisory,complex,gold label; college_student; campus_life_fit
UCLA tuition vs Northwestern tuition,advisor,comparison,compare_pipeline,complex,gold label; advisor; comparison
Georgia Tech job placement for psychology,advisor,career_outcomes,outcomes_pipeline,medium,gold label; advisor; career_outcomes
pricing for partner universities,advisor,b2b_partnership,b2b_workflow,medium,gold label; advisor; b2b_partnership
best fit colleges for students interested in business,counselor_teacher,rewrite_needed,rewrite_then_route,complex,gold label; counselor_teacher; rewrite_needed
Cornell admissions profile average sat and gpa,counselor_teacher,filtered_search,semantic_or_faceted_search,medium,gold label; counselor_teacher; filtered_search
colleges with low stress environment,advisor,campus_life_fit,llm_advisory,complex,gold label; advisor; campus_life_fit
Stanford acceptance rate,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; attribute_lookup
Columbia research opportunities for undergrads,college_student,direct_lookup,typesense_only,easy,gold label; college_student; direct_lookup
Princeton research opportunities for undergrads,college_student,rewrite_needed,rewrite_then_route,complex,gold label; college_student; rewrite_needed
is Stanford safe for students,parent,direct_lookup,typesense_only,easy,gold label; parent; direct_lookup
harvard,college_student,direct_lookup,typesense_only,easy,gold label; college_student; direct_lookup
can i transfer credits into USC,college_student,filtered_search,semantic_or_faceted_search,medium,gold label; college_student; filtered_search
Princeton admissions profile average sat and gpa,counselor_teacher,cost_financial_aid,finance_guidance,medium,gold label; counselor_teacher; cost_financial_aid
colleges with low stress environment,high_school_student,campus_life_fit,llm_advisory,complex,gold label; high_school_student; campus_life_fit
affordable architecture schools in the Midwest with scholarships with good internships,advisor,multi_constraint,foundry_multi_agent,complex,gold label; advisor; multi_constraint
universities with strong economics,parent,filtered_search,semantic_or_faceted_search,medium,gold label; parent; filtered_search
create reach target safety list for mechanical engineering near the beach under 20k,advisor,filtered_search,semantic_or_faceted_search,medium,gold label; advisor; filtered_search
schools like Northwestern but cheaper,parent,recommendation,recommendation_workflow,complex,gold label; parent; recommendation
USC admissions profile average sat and gpa,counselor_teacher,campus_life_fit,llm_advisory,complex,gold label; counselor_teacher; campus_life_fit
what schools should i apply to for mechanical engineering,high_school_student,recommendation,recommendation_workflow,complex,gold label; high_school_student; recommendation
universities with strong pre-med,parent,filtered_search,semantic_or_faceted_search,medium,gold label; parent; filtered_search
create reach target safety list for business near the beach under 40k,advisor,direct_lookup,typesense_only,easy,gold label; advisor; direct_lookup
recommend colleges near Chicago for engineering under 40k,college_student,recommendation,recommendation_workflow,complex,gold label; college_student; recommendation
