query_text,true_persona,true_intent,expected_route,expected_tier,notes,expected_primary_route
UT Austin,high_school_student,direct_lookup,typesense_only,easy,gold label; high_school_student; direct_lookup,shortcut
pricing for partner universities,high_school_student,b2b_partnership,b2b_workflow,medium,gold label; high_school_student; b2b_partnership,b2b
request demo for admissions office,high_school_student,b2b_partnership,b2b_workflow,medium,gold label; high_school_student; b2b_partnership,b2b
Carnegie Mellon research opportunities for undergrads,college_student,direct_lookup,typesense_only,easy,gold label; college_student; direct_lookup,shortcut
UC Berkeley research opportunities for undergrads,college_student,direct_lookup,typesense_only,easy,gold label; college_student; direct_lookup,shortcut
princeton,college_student,direct_lookup,typesense_only,easy,gold label; college_student; direct_lookup,shortcut
Stanford research opportunities for undergrads,college_student,direct_lookup,typesense_only,easy,gold label; college_student; direct_lookup,shortcut
does Brown have biology,college_student,attribute_lookup,typesense_plus_metadata,easy,gold label; college_student; attribute_lookup,shortcut
can i transfer credits into Brown,college_student,attribute_lookup,typesense_plus_metadata,easy,gold label; college_student; attribute_lookup,shortcut
can i transfer credits into UCLA,college_student,attribute_lookup,typesense_plus_metadata,easy,gold label; college_student; attribute_lookup,shortcut
Virginia Tech acceptance rate,college_student,attribute_lookup,typesense_plus_metadata,easy,gold label; college_student; attribute_lookup,shortcut
University of Washington research opportunities for undergrads,college_student,filtered_search,semantic_or_faceted_search,medium,gold label; college_student; filtered_search,retrieval
best data science schools in warm states,college_student,filtered_search,semantic_or_faceted_search,medium,gold label; college_student; filtered_search,retrieval
UT Austin research opportunities for undergrads,college_student,filtered_search,semantic_or_faceted_search,medium,gold label; college_student; filtered_search,retrieval
best psychology schools in California,college_student,filtered_search,semantic_or_faceted_search,medium,gold label; college_student; filtered_search,retrieval
Harvard research opportunities for undergrads,college_student,multi_constraint,foundry_multi_agent,complex,gold label; college_student; multi_constraint,retrieval
University of Washington research opportunities for undergrads,college_student,multi_constraint,foundry_multi_agent,complex,gold label; college_student; multi_constraint,retrieval
can i transfer credits into NYU,college_student,multi_constraint,foundry_multi_agent,complex,gold label; college_student; multi_constraint,retrieval
can i transfer credits into Duke,college_student,multi_constraint,foundry_multi_agent,complex,gold label; college_student; multi_constraint,retrieval
USC research opportunities for undergrads,college_student,comparison,compare_pipeline,complex,gold label; college_student; comparison,retrieval
can i transfer credits into Cornell,college_student,comparison,compare_pipeline,complex,gold label; college_student; comparison,retrieval
Stanford research opportunities for undergrads,college_student,comparison,compare_pipeline,complex,gold label; college_student; comparison,retrieval
Virginia Tech tuition vs University of Washington tuition,college_student,comparison,compare_pipeline,complex,gold label; college_student; comparison,retrieval
can i transfer credits into Columbia,college_student,recommendation,recommendation_workflow,complex,gold label; college_student; recommendation,retrieval
USC research opportunities for undergrads,college_student,recommendation,recommendation_workflow,complex,gold label; college_student; recommendation,retrieval
schools like University of Michigan but cheaper,college_student,recommendation,recommendation_workflow,complex,gold label; college_student; recommendation,retrieval
Columbia research opportunities for undergrads,college_student,recommendation,recommendation_workflow,complex,gold label; college_student; recommendation,retrieval
do i need sat for Duke,college_student,admissions_process,faq_or_guidance,medium,gold label; college_student; admissions_process,retrieval
can i transfer credits into University of Washington,college_student,admissions_process,faq_or_guidance,medium,gold label; college_student; admissions_process,retrieval
can i transfer credits into NYU,college_student,admissions_process,faq_or_guidance,medium,gold label; college_student; admissions_process,retrieval
USC application deadlines,college_student,admissions_process,faq_or_guidance,medium,gold label; college_student; admissions_process,retrieval
Purdue research opportunities for undergrads,college_student,cost_financial_aid,finance_guidance,medium,gold label; college_student; cost_financial_aid,retrieval
Brown scholarships,college_student,cost_financial_aid,finance_guidance,medium,gold label; college_student; cost_financial_aid,retrieval
University of Michigan scholarships,college_student,cost_financial_aid,finance_guidance,medium,gold label; college_student; cost_financial_aid,retrieval
University of Michigan research opportunities for undergrads,college_student,cost_financial_aid,finance_guidance,medium,gold label; college_student; cost_financial_aid,retrieval
can i transfer credits into Columbia,college_student,campus_life_fit,llm_advisory,complex,gold label; college_student; campus_life_fit,llm
can i transfer credits into Cornell,college_student,campus_life_fit,llm_advisory,complex,gold label; college_student; campus_life_fit,llm
can i transfer credits into UC Berkeley,college_student,campus_life_fit,llm_advisory,complex,gold label; college_student; campus_life_fit,llm
can i transfer credits into Northwestern,college_student,campus_life_fit,llm_advisory,complex,gold label; college_student; campus_life_fit,llm
can i transfer credits into Carnegie Mellon,college_student,career_outcomes,outcomes_pipeline,medium,gold label; college_student; career_outcomes,retrieval
can i transfer credits into UC Berkeley,college_student,career_outcomes,outcomes_pipeline,medium,gold label; college_student; career_outcomes,retrieval
UT Austin research opportunities for undergrads,college_student,career_outcomes,outcomes_pipeline,medium,gold label; college_student; career_outcomes,retrieval
Harvard research opportunities for undergrads,college_student,career_outcomes,outcomes_pipeline,medium,gold label; college_student; career_outcomes,retrieval
harvard but less stressful,college_student,rewrite_needed,rewrite_then_route,complex,gold label; college_student; rewrite_needed,llm
Brown research opportunities for undergrads,college_student,rewrite_needed,rewrite_then_route,complex,gold label; college_student; rewrite_needed,llm
NYU but cheaper,college_student,rewrite_needed,rewrite_then_route,complex,gold label; college_student; rewrite_needed,llm
UT Austin research opportunities for undergrads,college_student,rewrite_needed,rewrite_then_route,complex,gold label; college_student; rewrite_needed,llm
can i transfer credits into UCLA,college_student,b2b_partnership,b2b_workflow,medium,gold label; college_student; b2b_partnership,b2b
can i transfer credits into Carnegie Mellon,college_student,b2b_partnership,b2b_workflow,medium,gold label; college_student; b2b_partnership,b2b
Duke research opportunities for undergrads,college_student,b2b_partnership,b2b_workflow,medium,gold label; college_student; b2b_partnership,b2b
UT Austin research opportunities for undergrads,college_student,b2b_partnership,b2b_workflow,medium,gold label; college_student; b2b_partnership,b2b
is Harvard safe for students,parent,direct_lookup,typesense_only,easy,gold label; parent; direct_lookup,shortcut
four year cost of Georgia Tech including housing,parent,direct_lookup,typesense_only,easy,gold label; parent; direct_lookup,shortcut
Duke overview,parent,direct_lookup,typesense_only,easy,gold label; parent; direct_lookup,shortcut
four year cost of Brown including housing,parent,direct_lookup,typesense_only,easy,gold label; parent; direct_lookup,shortcut
is University of Michigan safe for students,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; attribute_lookup,shortcut
Carnegie Mellon housing guarantee,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; attribute_lookup,shortcut
is Stanford safe for students,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; attribute_lookup,shortcut
is Harvard safe for students,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; attribute_lookup,shortcut
is USC safe for students,parent,filtered_search,semantic_or_faceted_search,medium,gold label; parent; filtered_search,retrieval
four year cost of Duke including housing,parent,filtered_search,semantic_or_faceted_search,medium,gold label; parent; filtered_search,retrieval
Princeton housing guarantee,parent,filtered_search,semantic_or_faceted_search,medium,gold label; parent; filtered_search,retrieval
Brown housing guarantee,parent,filtered_search,semantic_or_faceted_search,medium,gold label; parent; filtered_search,retrieval
four year cost of Harvard including housing,parent,multi_constraint,foundry_multi_agent,complex,gold label; parent; multi_constraint,retrieval
UT Austin housing guarantee,parent,multi_constraint,foundry_multi_agent,complex,gold label; parent; multi_constraint,retrieval
colleges in warm states with scholarships with strong research and campus safety,parent,multi_constraint,foundry_multi_agent,complex,gold label; parent; multi_constraint,retrieval
four year cost of Carnegie Mellon including housing,parent,multi_constraint,foundry_multi_agent,complex,gold label; parent; multi_constraint,retrieval
is Columbia safe for students,parent,comparison,compare_pipeline,complex,gold label; parent; comparison,retrieval
four year cost of USC including housing,parent,comparison,compare_pipeline,complex,gold label; parent; comparison,retrieval
four year cost of Columbia including housing,parent,comparison,compare_pipeline,complex,gold label; parent; comparison,retrieval
UCLA housing guarantee,parent,comparison,compare_pipeline,complex,gold label; parent; comparison,retrieval
Northwestern housing guarantee,parent,recommendation,recommendation_workflow,complex,gold label; parent; recommendation,retrieval
four year cost of Princeton including housing,parent,recommendation,recommendation_workflow,complex,gold label; parent; recommendation,retrieval
Virginia Tech housing guarantee,parent,recommendation,recommendation_workflow,complex,gold label; parent; recommendation,retrieval
four year cost of Columbia including housing,parent,recommendation,recommendation_workflow,complex,gold label; parent; recommendation,retrieval
Princeton housing guarantee,parent,admissions_process,faq_or_guidance,medium,gold label; parent; admissions_process,retrieval
Purdue housing guarantee,parent,admissions_process,faq_or_guidance,medium,gold label; parent; admissions_process,retrieval
is Virginia Tech safe for students,parent,admissions_process,faq_or_guidance,medium,gold label; parent; admissions_process,retrieval
four year cost of University of Washington including housing,parent,admissions_process,faq_or_guidance,medium,gold label; parent; admissions_process,retrieval
four year cost of Stanford including housing,parent,cost_financial_aid,finance_guidance,medium,gold label; parent; cost_financial_aid,retrieval
Duke scholarships,parent,cost_financial_aid,finance_guidance,medium,gold label; parent; cost_financial_aid,retrieval
four year cost of University of Washington including housing,parent,cost_financial_aid,finance_guidance,medium,gold label; parent; cost_financial_aid,retrieval
cheapest psychology schools in Texas,parent,cost_financial_aid,finance_guidance,medium,gold label; parent; cost_financial_aid,retrieval
schools good for introverts,parent,campus_life_fit,llm_advisory,complex,gold label; parent; campus_life_fit,llm
Georgia Tech housing guarantee,parent,campus_life_fit,llm_advisory,complex,gold label; parent; campus_life_fit,llm
four year cost of Harvard including housing,parent,campus_life_fit,llm_advisory,complex,gold label; parent; campus_life_fit,llm
four year cost of UC Berkeley including housing,parent,campus_life_fit,llm_advisory,complex,gold label; parent; campus_life_fit,llm
four year cost of Virginia Tech including housing,parent,career_outcomes,outcomes_pipeline,medium,gold label; parent; career_outcomes,retrieval
four year cost of Northwestern including housing,parent,career_outcomes,outcomes_pipeline,medium,gold label; parent; career_outcomes,retrieval
is UC Berkeley safe for students,parent,career_outcomes,outcomes_pipeline,medium,gold label; parent; career_outcomes,retrieval
is Duke safe for students,parent,career_outcomes,outcomes_pipeline,medium,gold label; parent; career_outcomes,retrieval
UCLA housing guarantee,parent,rewrite_needed,rewrite_then_route,complex,gold label; parent; rewrite_needed,llm
four year cost of Virginia Tech including housing,parent,rewrite_needed,rewrite_then_route,complex,gold label; parent; rewrite_needed,llm
UC Berkeley housing guarantee,parent,rewrite_needed,rewrite_then_route,complex,gold label; parent; rewrite_needed,llm
four year cost of Brown including housing,parent,rewrite_needed,rewrite_then_route,complex,gold label; parent; rewrite_needed,llm
four year cost of USC including housing,parent,b2b_partnership,b2b_workflow,medium,gold label; parent; b2b_partnership,b2b
four year cost of UC Berkeley including housing,parent,b2b_partnership,b2b_workflow,medium,gold label; parent; b2b_partnership,b2b
pricing for partner universities,parent,b2b_partnership,b2b_workflow,medium,gold label; parent; b2b_partnership,b2b
Columbia housing guarantee,parent,b2b_partnership,b2b_workflow,medium,gold label; parent; b2b_partnership,b2b
best fit colleges for students interested in business,counselor_teacher,direct_lookup,typesense_only,easy,gold label; counselor_teacher; direct_lookup,shortcut
MIT overview,counselor_teacher,direct_lookup,typesense_only,easy,gold label; counselor_teacher; direct_lookup,shortcut
Carnegie Mellon,counselor_teacher,direct_lookup,typesense_only,easy,gold label; counselor_teacher; direct_lookup,shortcut
University of Washington admissions profile average sat and gpa,counselor_teacher,direct_lookup,typesense_only,easy,gold label; counselor_teacher; direct_lookup,shortcut
Harvard tuition,counselor_teacher,attribute_lookup,typesense_plus_metadata,easy,gold label; counselor_teacher; attribute_lookup,shortcut
Harvard admissions profile average sat and gpa,counselor_teacher,attribute_lookup,typesense_plus_metadata,easy,gold label; counselor_teacher; attribute_lookup,shortcut
best fit colleges for students interested in economics,counselor_teacher,attribute_lookup,typesense_plus_metadata,easy,gold label; counselor_teacher; attribute_lookup,shortcut
best fit colleges for students interested in computer science,counselor_teacher,attribute_lookup,typesense_plus_metadata,easy,gold label; counselor_teacher; attribute_lookup,shortcut
schools near a tech hub with strong research,counselor_teacher,filtered_search,semantic_or_faceted_search,medium,gold label; counselor_teacher; filtered_search,retrieval
schools in California with strong research,counselor_teacher,filtered_search,semantic_or_faceted_search,medium,gold label; counselor_teacher; filtered_search,retrieval
schools in warm states with strong research,counselor_teacher,filtered_search,semantic_or_faceted_search,medium,gold label; counselor_teacher; filtered_search,retrieval
schools with strong first gen support,counselor_teacher,filtered_search,semantic_or_faceted_search,medium,gold label; counselor_teacher; filtered_search,retrieval
schools with strong first gen support,counselor_teacher,multi_constraint,foundry_multi_agent,complex,gold label; counselor_teacher; multi_constraint,retrieval
colleges in the Midwest under 40k with strong research and campus safety,counselor_teacher,multi_constraint,foundry_multi_agent,complex,gold label; counselor_teacher; multi_constraint,retrieval
affordable data science schools near Chicago under 20k with good internships,counselor_teacher,multi_constraint,foundry_multi_agent,complex,gold label; counselor_teacher; multi_constraint,retrieval
Purdue vs Harvard,counselor_teacher,comparison,compare_pipeline,complex,gold label; counselor_teacher; comparison,retrieval
Duke vs USC,counselor_teacher,comparison,compare_pipeline,complex,gold label; counselor_teacher; comparison,retrieval
schools with strong first gen support,counselor_teacher,comparison,compare_pipeline,complex,gold label; counselor_teacher; comparison,retrieval
USC admissions profile average sat and gpa,counselor_teacher,comparison,compare_pipeline,complex,gold label; counselor_teacher; comparison,retrieval
what schools should i apply to for business,counselor_teacher,recommendation,recommendation_workflow,complex,gold label; counselor_teacher; recommendation,retrieval
Georgia Tech admissions profile average sat and gpa,counselor_teacher,recommendation,recommendation_workflow,complex,gold label; counselor_teacher; recommendation,retrieval
Virginia Tech admissions profile average sat and gpa,counselor_teacher,recommendation,recommendation_workflow,complex,gold label; counselor_teacher; recommendation,retrieval
best fit colleges for students interested in biology,counselor_teacher,recommendation,recommendation_workflow,complex,gold label; counselor_teacher; recommendation,retrieval
University of Michigan admissions profile average sat and gpa,counselor_teacher,admissions_process,faq_or_guidance,medium,gold label; counselor_teacher; admissions_process,retrieval
best fit colleges for students interested in computer science,counselor_teacher,admissions_process,faq_or_guidance,medium,gold label; counselor_teacher; admissions_process,retrieval
what essays does MIT require,counselor_teacher,admissions_process,faq_or_guidance,medium,gold label; counselor_teacher; admissions_process,retrieval
best fit colleges for students interested in engineering,counselor_teacher,cost_financial_aid,finance_guidance,medium,gold label; counselor_teacher; cost_financial_aid,retrieval
schools with strong first gen support,counselor_teacher,cost_financial_aid,finance_guidance,medium,gold label; counselor_teacher; cost_financial_aid,retrieval
Virginia Tech scholarships,counselor_teacher,cost_financial_aid,finance_guidance,medium,gold label; counselor_teacher; cost_financial_aid,retrieval
best fit colleges for students interested in computer science,counselor_teacher,campus_life_fit,llm_advisory,complex,gold label; counselor_teacher; campus_life_fit,llm
schools with strong first gen support,counselor_teacher,campus_life_fit,llm_advisory,complex,gold label; counselor_teacher; campus_life_fit,llm
Stanford admissions profile average sat and gpa,counselor_teacher,campus_life_fit,llm_advisory,complex,gold label; counselor_teacher; campus_life_fit,llm
NYU admissions profile average sat and gpa,counselor_teacher,campus_life_fit,llm_advisory,complex,gold label; counselor_teacher; campus_life_fit,llm
schools with strong first gen support,counselor_teacher,career_outcomes,outcomes_pipeline,medium,gold label; counselor_teacher; career_outcomes,retrieval
best fit colleges for students interested in mechanical engineering,counselor_teacher,career_outcomes,outcomes_pipeline,medium,gold label; counselor_teacher; career_outcomes,retrieval
Princeton admissions profile average sat and gpa,counselor_teacher,career_outcomes,outcomes_pipeline,medium,gold label; counselor_teacher; career_outcomes,retrieval
schools with strong first gen support,counselor_teacher,rewrite_needed,rewrite_then_route,complex,gold label; counselor_teacher; rewrite_needed,llm
best fit colleges for students interested in data science,counselor_teacher,rewrite_needed,rewrite_then_route,complex,gold label; counselor_teacher; rewrite_needed,llm
Cornell admissions profile average sat and gpa,counselor_teacher,rewrite_needed,rewrite_then_route,complex,gold label; counselor_teacher; rewrite_needed,llm
best fit colleges for students interested in computer science,counselor_teacher,rewrite_needed,rewrite_then_route,complex,gold label; counselor_teacher; rewrite_needed,llm
request demo for admissions office,counselor_teacher,b2b_partnership,b2b_workflow,medium,gold label; counselor_teacher; b2b_partnership,b2b
pricing for partner universities,counselor_teacher,b2b_partnership,b2b_workflow,medium,gold label; counselor_teacher; b2b_partnership,b2b
Harvard admissions profile average sat and gpa,counselor_teacher,b2b_partnership,b2b_workflow,medium,gold label; counselor_teacher; b2b_partnership,b2b
best options for a student switching into computer science,advisor,direct_lookup,typesense_only,easy,gold label; advisor; direct_lookup,shortcut
create reach target safety list for mechanical engineering in warm states under 30k,advisor,direct_lookup,typesense_only,easy,gold label; advisor; direct_lookup,shortcut
best options for a student switching into psychology,advisor,direct_lookup,typesense_only,easy,gold label; advisor; direct_lookup,shortcut
University of Michigan housing policy,advisor,attribute_lookup,typesense_plus_metadata,easy,gold label; advisor; attribute_lookup,shortcut
best options for a student switching into data science,advisor,attribute_lookup,typesense_plus_metadata,easy,gold label; advisor; attribute_lookup,shortcut
create reach target safety list for mechanical engineering near a tech hub with strong aid,advisor,attribute_lookup,typesense_plus_metadata,easy,gold label; advisor; attribute_lookup,shortcut
University of Washington tuition,advisor,attribute_lookup,typesense_plus_metadata,easy,gold label; advisor; attribute_lookup,shortcut
best psychology schools near a tech hub,advisor,filtered_search,semantic_or_faceted_search,medium,gold label; advisor; filtered_search,retrieval
best options for a student switching into biology,advisor,filtered_search,semantic_or_faceted_search,medium,gold label; advisor; filtered_search,retrieval
schools in warm states with strong research,advisor,filtered_search,semantic_or_faceted_search,medium,gold label; advisor; filtered_search,retrieval
best options for a student switching into nursing,advisor,filtered_search,semantic_or_faceted_search,medium,gold label; advisor; filtered_search,retrieval
best options for a student switching into biology,advisor,multi_constraint,foundry_multi_agent,complex,gold label; advisor; multi_constraint,retrieval
create reach target safety list for architecture near the beach under 30k,advisor,multi_constraint,foundry_multi_agent,complex,gold label; advisor; multi_constraint,retrieval
create reach target safety list for mechanical engineering in the Midwest with scholarships,advisor,multi_constraint,foundry_multi_agent,complex,gold label; advisor; multi_constraint,retrieval
create reach target safety list for economics in warm states under 30k,advisor,multi_constraint,foundry_multi_agent,complex,gold label; advisor; multi_constraint,retrieval
create reach target safety list for engineering in the Midwest under 20k,advisor,comparison,compare_pipeline,complex,gold label; advisor; comparison,retrieval
Northwestern vs UC Berkeley for biology,advisor,comparison,compare_pipeline,complex,gold label; advisor; comparison,retrieval
create reach target safety list for data science in the Midwest with scholarships,advisor,comparison,compare_pipeline,complex,gold label; advisor; comparison,retrieval
create reach target safety list for engineering near Chicago under 40k,advisor,comparison,compare_pipeline,complex,gold label; advisor; comparison,retrieval
best options for a student switching into architecture,advisor,recommendation,recommendation_workflow,complex,gold label; advisor; recommendation,retrieval
schools like USC but cheaper,advisor,recommendation,recommendation_workflow,complex,gold label; advisor; recommendation,retrieval
create reach target safety list for mechanical engineering near Chicago with strong aid,advisor,recommendation,recommendation_workflow,complex,gold label; advisor; recommendation,retrieval
create reach target safety list for biology near a tech hub with strong aid,advisor,recommendation,recommendation_workflow,complex,gold label; advisor; recommendation,retrieval
create reach target safety list for engineering in the Midwest under 30k,advisor,admissions_process,faq_or_guidance,medium,gold label; advisor; admissions_process,retrieval
best options for a student switching into biology,advisor,admissions_process,faq_or_guidance,medium,gold label; advisor; admissions_process,retrieval
best options for a student switching into mechanical engineering,advisor,admissions_process,faq_or_guidance,medium,gold label; advisor; admissions_process,retrieval
create reach target safety list for pre-med near Chicago under 30k,advisor,admissions_process,faq_or_guidance,medium,gold label; advisor; admissions_process,retrieval
create reach target safety list for pre-med in the Midwest under 20k,advisor,cost_financial_aid,finance_guidance,medium,gold label; advisor; cost_financial_aid,retrieval
how to lower college costs,advisor,cost_financial_aid,finance_guidance,medium,gold label; advisor; cost_financial_aid,retrieval
University of Washington scholarships,advisor,cost_financial_aid,finance_guidance,medium,gold label; advisor; cost_financial_aid,retrieval
best options for a student switching into nursing,advisor,cost_financial_aid,finance_guidance,medium,gold label; advisor; cost_financial_aid,retrieval
best options for a student switching into nursing,advisor,campus_life_fit,llm_advisory,complex,gold label; advisor; campus_life_fit,llm
schools with collaborative culture,advisor,campus_life_fit,llm_advisory,complex,gold label; advisor; campus_life_fit,llm
UCLA campus culture,advisor,campus_life_fit,llm_advisory,complex,gold label; advisor; campus_life_fit,llm
best options for a student switching into engineering,advisor,career_outcomes,outcomes_pipeline,medium,gold label; advisor; career_outcomes,retrieval
best options for a student switching into economics,advisor,career_outcomes,outcomes_pipeline,medium,gold label; advisor; career_outcomes,retrieval
create reach target safety list for economics near the beach under 20k,advisor,career_outcomes,outcomes_pipeline,medium,gold label; advisor; career_outcomes,retrieval
UT Austin job placement for pre-med,advisor,career_outcomes,outcomes_pipeline,medium,gold label; advisor; career_outcomes,retrieval
create reach target safety list for architecture in Texas under 20k,advisor,rewrite_needed,rewrite_then_route,complex,gold label; advisor; rewrite_needed,llm
best options for a student switching into nursing,advisor,rewrite_needed,rewrite_then_route,complex,gold label; advisor; rewrite_needed,llm
create reach target safety list for mechanical engineering near Chicago under 20k,advisor,rewrite_needed,rewrite_then_route,complex,gold label; advisor; rewrite_needed,llm
best options for a student switching into psychology,advisor,rewrite_needed,rewrite_then_route,complex,gold label; advisor; rewrite_needed,llm
best options for a student switching into pre-med,advisor,b2b_partnership,b2b_workflow,medium,gold label; advisor; b2b_partnership,b2b
best options for a student switching into computer science,advisor,b2b_partnership,b2b_workflow,medium,gold label; advisor; b2b_partnership,b2b
create reach target safety list for engineering near the beach with scholarships,advisor,b2b_partnership,b2b_workflow,medium,gold label; advisor; b2b_partnership,b2b
how can our university join the platform,advisor,b2b_partnership,b2b_workflow,medium,gold label; advisor; b2b_partnership,b2b
how can our university join the platform,college_b2b,b2b_partnership,b2b_workflow,medium,gold label; college_b2b; b2b_partnership,b2b
api access for college partners,college_b2b,b2b_partnership,b2b_workflow,medium,gold label; college_b2b; b2b_partnership,b2b
pricing for partner universities,college_b2b,b2b_partnership,b2b_workflow,medium,gold label; college_b2b; b2b_partnership,b2b
request demo for admissions office,college_b2b,b2b_partnership,b2b_workflow,medium,gold label; college_b2b; b2b_partnership,b2b
is Columbia safe for students,parent,campus_life_fit,llm_advisory,complex,gold label; parent; campus_life_fit,llm
UCLA housing guarantee,parent,b2b_partnership,b2b_workflow,medium,gold label; parent; b2b_partnership,b2b
best fit colleges for students interested in economics,counselor_teacher,rewrite_needed,rewrite_then_route,complex,gold label; counselor_teacher; rewrite_needed,llm
Virginia Tech,parent,direct_lookup,typesense_only,easy,gold label; parent; direct_lookup,shortcut
University of Washington campus culture,college_student,campus_life_fit,llm_advisory,complex,gold label; college_student; campus_life_fit,llm
UCLA tuition vs Northwestern tuition,advisor,comparison,compare_pipeline,complex,gold label; advisor; comparison,retrieval
Georgia Tech job placement for psychology,advisor,career_outcomes,outcomes_pipeline,medium,gold label; advisor; career_outcomes,retrieval
