query_text,persona,intent_label,primary_route,complexity,entities,route,notes,source_file,raw_persona,raw_intent,raw_route,standardization_notes,entity_types
Cornell,college_student,direct_lookup,shortcut,short_circuit,{school:Cornell},typesense_only,simple entity,Data - Anika.csv,college_student,exact_lookup,typesense_only,"persona:college_student->college_student,intent:exact_lookup->direct_lookup,intent:validated_direct_lookup,primary_route:route:typesense_only",school
UC San Diego housing,college_student,attribute_lookup,shortcut,short_circuit,"{school:UCSD,attribute:housing}",typesense_only,single attribute,Data - Anika.csv,college_student,attribute_lookup,typesense_only,"persona:college_student->college_student,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:typesense_only",admissions_or_attribute_signal
colleges in the Midwest,college_student,filtered_search,retrieval,medium,{location:Midwest},search,1–2 filters,Data - Anika.csv,college_student,filtered_search,search,"persona:college_student->college_student,intent:filtered_search->filtered_search,intent:validated_filtered_search,primary_route:route:search",location
research universities under 40k,college_student,multi_constraint,retrieval,complex,"{research:true,cost:<40k}",agentic,multi-constraint,Data - Anika.csv,college_student,multi_constraint,agentic,"persona:college_student->college_student,intent:multi_constraint->multi_constraint,intent:validated_multi_constraint,primary_route:route:agentic",
Cornell vs Northwestern,college_student,comparison,retrieval,complex,"{schools:[Cornell,Northwestern]}",comparison_engine,compare entities,Data - Anika.csv,college_student,comparison,comparison_engine,"persona:college_student->college_student,intent:comparison->comparison,intent:validated_comparison,primary_route:route:comparison_engine","school,comparison_target"
schools like NYU but cheaper,college_student,recommendation,retrieval,complex,"{reference:NYU,cost:lower}",agentic,needs recommendations,Data - Anika.csv,college_student,recommendation,agentic,"persona:college_student->college_student,intent:recommendation->recommendation,intent:validated_recommendation,primary_route:route:agentic","school,rewrite_cue"
what essays does UMich require,college_student,admissions_process,llm,medium,"{school:UMich,requirement:essays}",llm,how-to admissions,Data - Anika.csv,college_student,admissions_process,llm,"persona:college_student->college_student,intent:admissions_process->admissions_process,intent:validated_admissions_process,primary_route:route:llm",
how to lower out of state tuition,college_student,cost_financial_aid,llm,medium,{},llm,cost/aid,Data - Anika.csv,college_student,cost_financial_aid,llm,"persona:college_student->college_student,intent:cost_financial_aid->cost_financial_aid,intent:validated_cost_financial_aid,primary_route:route:llm",cost_constraint
schools with strong sports culture,college_student,campus_life_fit,llm,llm_needed,{},llm,subjective fit,Data - Anika.csv,college_student,campus_life_fit,llm,"persona:college_student->college_student,intent:campus_life_fit->campus_life_fit,intent:validated_campus_life_fit,primary_route:route:llm",fit_or_culture_cue
colleges with high internship placement,college_student,career_outcomes,llm,medium,{},llm,outcomes,Data - Anika.csv,college_student,career_outcomes,llm,"persona:college_student->college_student,intent:career_outcomes->career_outcomes,intent:validated_career_outcomes,primary_route:route:llm",career_outcome_cue
Vanderbilt,parent,direct_lookup,shortcut,short_circuit,{school:Vanderbilt},typesense_only,simple entity,Data - Anika.csv,parent,exact_lookup,typesense_only,"persona:parent->parent,intent:exact_lookup->direct_lookup,intent:validated_direct_lookup,primary_route:route:typesense_only",school
University of Florida housing guarantee,parent,attribute_lookup,shortcut,short_circuit,"{school:UF,attribute:housing}",typesense_only,parent framing,Data - Anika.csv,parent,attribute_lookup,typesense_only,"persona:parent->parent,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:typesense_only","school,location,admissions_or_attribute_signal"
private colleges with merit aid,parent,filtered_search,retrieval,medium,"{aid:merit,school_type:private}",search,1–2 filters,Data - Anika.csv,parent,filtered_search,search,"persona:parent->parent,intent:filtered_search->filtered_search,intent:validated_filtered_search,primary_route:route:search",
safe colleges near major cities under 50k,parent,multi_constraint,retrieval,complex,"{safety:true,location:city,cost:<50k}",agentic,multi-constraint,Data - Anika.csv,parent,multi_constraint,agentic,"persona:parent->parent,intent:multi_constraint->multi_constraint,intent:validated_multi_constraint,primary_route:route:agentic",
UCLA vs USC cost comparison,parent,comparison,retrieval,complex,"{schools:[UCLA,USC],metric:cost}",comparison_engine,compare cost,Data - Anika.csv,parent,comparison,comparison_engine,"persona:parent->parent,intent:comparison->comparison,intent:validated_comparison,primary_route:route:comparison_engine","school,comparison_target,cost_constraint"
good colleges for anxious students,parent,filtered_search,retrieval,complex,{},agentic,needs recommendations,Data - Anika.csv,parent,recommendation,agentic,"persona:parent->parent,intent:recommendation->recommendation,intent:recommendation_broad_search->filtered_search,primary_route:route:agentic",
how does financial aid work,parent,cost_financial_aid,llm,medium,{},llm,cost/aid,Data - Anika.csv,parent,cost_financial_aid,llm,"persona:parent->parent,intent:cost_financial_aid->cost_financial_aid,intent:validated_cost_financial_aid,primary_route:route:llm",cost_constraint
schools with strong student support services,parent,campus_life_fit,llm,llm_needed,{},llm,subjective fit,Data - Anika.csv,parent,campus_life_fit,llm,"persona:parent->parent,intent:campus_life_fit->campus_life_fit,intent:validated_campus_life_fit,primary_route:route:llm",
graduation rates by college,parent,career_outcomes,llm,medium,{},llm,outcomes,Data - Anika.csv,parent,career_outcomes,llm,"persona:parent->parent,intent:career_outcomes->career_outcomes,intent:validated_career_outcomes,primary_route:route:llm",
when do college decisions come out,parent,admissions_process,llm,medium,{},llm,admissions timeline,Data - Anika.csv,parent,admissions_process,llm,"persona:parent->parent,intent:admissions_process->admissions_process,intent:validated_admissions_process,primary_route:route:llm",
average SAT for UCLA,counselor_teacher,attribute_lookup,shortcut,short_circuit,"{school:UCLA,metric:SAT}",typesense_only,single attribute,Data - Anika.csv,counselor_teacher,attribute_lookup,typesense_only,"persona:counselor_teacher->counselor_teacher,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:typesense_only","school,admissions_or_attribute_signal"
colleges in Texas,counselor_teacher,filtered_search,retrieval,medium,{location:TX},search,1–2 filters,Data - Anika.csv,counselor_teacher,filtered_search,search,"persona:counselor_teacher->counselor_teacher,intent:filtered_search->filtered_search,intent:validated_filtered_search,primary_route:route:search",location
engineering safety schools for top students,counselor_teacher,filtered_search,retrieval,complex,"{program:engineering,category:safety}",agentic,recommendations,Data - Anika.csv,counselor_teacher,recommendation,agentic,"persona:counselor_teacher->counselor_teacher,intent:recommendation->recommendation,intent:recommendation_broad_search->filtered_search,primary_route:route:agentic",major_or_program
selective colleges with holistic admissions,counselor_teacher,multi_constraint,retrieval,complex,{},agentic,multi-constraint,Data - Anika.csv,counselor_teacher,multi_constraint,agentic,"persona:counselor_teacher->counselor_teacher,intent:multi_constraint->multi_constraint,intent:validated_multi_constraint,primary_route:route:agentic",admissions_or_attribute_signal
Harvard vs Yale outcomes,counselor_teacher,comparison,retrieval,complex,"{schools:[Harvard,Yale]}",comparison_engine,compare outcomes,Data - Anika.csv,counselor_teacher,comparison,comparison_engine,"persona:counselor_teacher->counselor_teacher,intent:comparison->comparison,intent:validated_comparison,primary_route:route:comparison_engine","school,comparison_target,career_outcome_cue"
what is yield rate,counselor_teacher,admissions_process,llm,medium,{},llm,counselor terminology,Data - Anika.csv,counselor_teacher,admissions_process,llm,"persona:counselor_teacher->counselor_teacher,intent:admissions_process->admissions_process,intent:validated_admissions_process,primary_route:route:llm",
schools with strong advising programs,counselor_teacher,campus_life_fit,llm,llm_needed,{},llm,subjective fit,Data - Anika.csv,counselor_teacher,campus_life_fit,llm,"persona:counselor_teacher->counselor_teacher,intent:campus_life_fit->campus_life_fit,intent:validated_campus_life_fit,primary_route:route:llm",
best colleges for premed placement,counselor_teacher,career_outcomes,llm,medium,{track:premed},llm,outcomes,Data - Anika.csv,counselor_teacher,career_outcomes,llm,"persona:counselor_teacher->counselor_teacher,intent:career_outcomes->career_outcomes,intent:validated_career_outcomes,primary_route:route:llm",career_outcome_cue
colleges that superscore SAT,counselor_teacher,admissions_process,llm,medium,{},llm,policy,Data - Anika.csv,counselor_teacher,admissions_process,llm,"persona:counselor_teacher->counselor_teacher,intent:admissions_process->admissions_process,intent:validated_admissions_process,primary_route:route:llm",admissions_or_attribute_signal
how selective is Northeastern,counselor_teacher,attribute_lookup,shortcut,short_circuit,"{school:Northeastern,metric:selectivity}",typesense_only,single attribute,Data - Anika.csv,counselor_teacher,attribute_lookup,typesense_only,"persona:counselor_teacher->counselor_teacher,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:typesense_only",
best colleges for consulting placement,advisor,career_outcomes,llm,medium,{},llm,outcomes,Data - Anika.csv,advisor,career_outcomes,llm,"persona:advisor->advisor,intent:career_outcomes->career_outcomes,intent:validated_career_outcomes,primary_route:route:llm",career_outcome_cue
target schools for investment banking,advisor,career_outcomes,llm,medium,{},llm,outcomes,Data - Anika.csv,advisor,career_outcomes,llm,"persona:advisor->advisor,intent:career_outcomes->career_outcomes,intent:validated_career_outcomes,primary_route:route:llm",
schools like Wharton,advisor,recommendation,retrieval,complex,{reference:Wharton},agentic,needs recommendations,Data - Anika.csv,advisor,recommendation,agentic,"persona:advisor->advisor,intent:recommendation->recommendation,intent:validated_recommendation,primary_route:route:agentic",
top business programs in the US,advisor,filtered_search,retrieval,medium,{program:business},search,1–2 filters,Data - Anika.csv,advisor,filtered_search,search,"persona:advisor->advisor,intent:filtered_search->filtered_search,intent:validated_filtered_search,primary_route:route:search",major_or_program
public ivies,advisor,filtered_search,retrieval,medium,{},search,category search,Data - Anika.csv,advisor,filtered_search,search,"persona:advisor->advisor,intent:filtered_search->filtered_search,intent:validated_filtered_search,primary_route:route:search",
NYU vs Columbia business,advisor,comparison,retrieval,complex,"{schools:[NYU,Columbia]}",comparison_engine,compare programs,Data - Anika.csv,advisor,comparison,comparison_engine,"persona:advisor->advisor,intent:comparison->comparison,intent:validated_comparison,primary_route:route:comparison_engine","school,comparison_target,major_or_program"
what matters most for mba recruiting,advisor,career_outcomes,llm,medium,{},llm,career guidance,Data - Anika.csv,advisor,career_outcomes,llm,"persona:advisor->advisor,intent:career_outcomes->career_outcomes,intent:validated_career_outcomes,primary_route:route:llm",
schools with strong alumni networks,advisor,campus_life_fit,llm,llm_needed,{},llm,subjective fit,Data - Anika.csv,advisor,campus_life_fit,llm,"persona:advisor->advisor,intent:campus_life_fit->campus_life_fit,intent:validated_campus_life_fit,primary_route:route:llm",
request demo for admissions platform,college_b2b,b2b_partnership,b2b,medium,{},sales_pipeline,B2B,Data - Anika.csv,college_b2b,b2b_partnership,sales_pipeline,"persona:college_b2b->college_b2b,intent:b2b_partnership->b2b_partnership,intent:validated_b2b_partnership,primary_route:route:sales_pipeline","admissions_or_attribute_signal,b2b_request_type"
API access for institutional data,college_b2b,b2b_partnership,b2b,medium,{},sales_pipeline,B2B,Data - Anika.csv,college_b2b,b2b_partnership,sales_pipeline,"persona:college_b2b->college_b2b,intent:b2b_partnership->b2b_partnership,intent:validated_b2b_partnership,primary_route:route:sales_pipeline",b2b_request_type
integrate college search into our website,college_b2b,b2b_partnership,b2b,medium,{},sales_pipeline,B2B,Data - Anika.csv,college_b2b,b2b_partnership,sales_pipeline,"persona:college_b2b->college_b2b,intent:b2b_partnership->b2b_partnership,intent:validated_b2b_partnership,primary_route:route:sales_pipeline",
how to update our school profile,college_b2b,b2b_partnership,b2b,medium,{},b2b_portal,B2B,Data - Anika.csv,college_b2b,profile_management,b2b_portal,"persona:college_b2b->college_b2b,intent:profile_management->b2b_partnership,intent:validated_b2b_partnership,primary_route:route:b2b_portal",b2b_request_type
institutional analytics dashboard,college_b2b,b2b_partnership,b2b,medium,{},sales_pipeline,B2B,Data - Anika.csv,college_b2b,b2b_partnership,sales_pipeline,"persona:college_b2b->college_b2b,intent:b2b_partnership->b2b_partnership,intent:validated_b2b_partnership,primary_route:route:sales_pipeline",
improve application yield,college_b2b,recommendation,retrieval,complex,{},agentic,B2B strategy,Data - Anika.csv,college_b2b,recommendation,agentic,"persona:college_b2b->college_b2b,intent:recommendation->recommendation,intent:validated_recommendation,primary_route:route:agentic",admissions_or_attribute_signal
partnership pricing tiers,college_b2b,b2b_partnership,b2b,short_circuit,{},sales_pipeline,B2B,Data - Anika.csv,college_b2b,b2b_partnership,sales_pipeline,"persona:college_b2b->college_b2b,intent:b2b_partnership->b2b_partnership,intent:validated_b2b_partnership,primary_route:route:sales_pipeline",b2b_request_type
stanford,high_school_student,direct_lookup,shortcut,short_circuit,{school:Stanford},typesense_only,simple entity,Data - Anika.csv,high_school_student,exact_lookup,typesense_only,"persona:high_school_student->high_school_student,intent:exact_lookup->direct_lookup,intent:validated_direct_lookup,primary_route:route:typesense_only",school
usc acceptance rate,high_school_student,attribute_lookup,shortcut,short_circuit,"{school:USC,metric:acceptance_rate}",typesense_only,single attribute,Data - Anika.csv,high_school_student,attribute_lookup,typesense_only,"persona:high_school_student->high_school_student,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:typesense_only","school,admissions_or_attribute_signal"
schools in new england,high_school_student,filtered_search,retrieval,medium,{location:New England},search,1–2 filters,Data - Anika.csv,high_school_student,filtered_search,search,"persona:high_school_student->high_school_student,intent:filtered_search->filtered_search,intent:validated_filtered_search,primary_route:route:search",
cheap premed schools in warm states,high_school_student,multi_constraint,retrieval,complex,"{track:premed,cost:low,climate:warm}",agentic,multi-constraint,Data - Anika.csv,high_school_student,multi_constraint,agentic,"persona:high_school_student->high_school_student,intent:multi_constraint->multi_constraint,intent:validated_multi_constraint,primary_route:route:agentic",location
duke vs vanderbilt,high_school_student,comparison,retrieval,complex,"{schools:[Duke,Vanderbilt]}",comparison_engine,compare entities,Data - Anika.csv,high_school_student,comparison,comparison_engine,"persona:high_school_student->high_school_student,intent:comparison->comparison,intent:validated_comparison,primary_route:route:comparison_engine","school,comparison_target"
schools like usc but public,high_school_student,recommendation,retrieval,complex,"{reference:USC,school_type:public}",agentic,needs recommendations,Data - Anika.csv,high_school_student,recommendation,agentic,"persona:high_school_student->high_school_student,intent:recommendation->recommendation,intent:validated_recommendation,primary_route:route:agentic",school
do colleges care about freshman year grades,high_school_student,admissions_process,llm,medium,{},llm,how admissions works,Data - Anika.csv,high_school_student,admissions_process,llm,"persona:high_school_student->high_school_student,intent:admissions_process->admissions_process,intent:validated_admissions_process,primary_route:route:llm",
how to get more financial aid,high_school_student,cost_financial_aid,llm,medium,{},llm,cost aid strategy,Data - Anika.csv,high_school_student,cost_financial_aid,llm,"persona:high_school_student->high_school_student,intent:cost_financial_aid->cost_financial_aid,intent:validated_cost_financial_aid,primary_route:route:llm",cost_constraint
schools with normal social scenes,high_school_student,campus_life_fit,llm,llm_needed,{},llm,subjective fit,Data - Anika.csv,high_school_student,campus_life_fit,llm,"persona:high_school_student->high_school_student,intent:campus_life_fit->campus_life_fit,intent:validated_campus_life_fit,primary_route:route:llm",
best colleges for engineering internships,high_school_student,career_outcomes,llm,medium,{program:engineering},llm,outcomes,Data - Anika.csv,high_school_student,career_outcomes,llm,"persona:high_school_student->high_school_student,intent:career_outcomes->career_outcomes,intent:validated_career_outcomes,primary_route:route:llm",major_or_program
brown university,college_student,direct_lookup,shortcut,short_circuit,{school:Brown},typesense_only,simple entity,Data - Anika.csv,college_student,exact_lookup,typesense_only,"persona:college_student->college_student,intent:exact_lookup->direct_lookup,intent:validated_direct_lookup,primary_route:route:typesense_only",school
nyu dorms,college_student,attribute_lookup,shortcut,short_circuit,"{school:NYU,attribute:housing}",typesense_only,single attribute,Data - Anika.csv,college_student,attribute_lookup,typesense_only,"persona:college_student->college_student,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:typesense_only",school
colleges in the south,college_student,filtered_search,retrieval,medium,{location:South},search,1–2 filters,Data - Anika.csv,college_student,filtered_search,search,"persona:college_student->college_student,intent:filtered_search->filtered_search,intent:validated_filtered_search,primary_route:route:search",
research schools with small class sizes,college_student,multi_constraint,retrieval,complex,"{research:true,class_size:small}",agentic,multi-constraint,Data - Anika.csv,college_student,multi_constraint,agentic,"persona:college_student->college_student,intent:multi_constraint->multi_constraint,intent:validated_multi_constraint,primary_route:route:agentic",
schools like boston university but cheaper,college_student,recommendation,retrieval,complex,"{reference:BU,cost:lower}",agentic,needs recommendations,Data - Anika.csv,college_student,recommendation,agentic,"persona:college_student->college_student,intent:recommendation->recommendation,intent:validated_recommendation,primary_route:route:agentic","school,rewrite_cue"
what does rolling admission mean,college_student,admissions_process,llm,medium,{},llm,admissions concept,Data - Anika.csv,college_student,admissions_process,llm,"persona:college_student->college_student,intent:admissions_process->admissions_process,intent:validated_admissions_process,primary_route:route:llm",
how to get merit scholarships,college_student,cost_financial_aid,llm,medium,{},llm,cost aid,Data - Anika.csv,college_student,cost_financial_aid,llm,"persona:college_student->college_student,intent:cost_financial_aid->cost_financial_aid,intent:validated_cost_financial_aid,primary_route:route:llm",cost_constraint
schools with active student orgs,college_student,campus_life_fit,llm,llm_needed,{},llm,subjective fit,Data - Anika.csv,college_student,campus_life_fit,llm,"persona:college_student->college_student,intent:campus_life_fit->campus_life_fit,intent:validated_campus_life_fit,primary_route:route:llm",
colleges with strong alumni recruiting,college_student,career_outcomes,llm,medium,{},llm,outcomes,Data - Anika.csv,college_student,career_outcomes,llm,"persona:college_student->college_student,intent:career_outcomes->career_outcomes,intent:validated_career_outcomes,primary_route:route:llm",
wake forest,parent,direct_lookup,shortcut,short_circuit,{school:Wake Forest},typesense_only,simple entity,Data - Anika.csv,parent,exact_lookup,typesense_only,"persona:parent->parent,intent:exact_lookup->direct_lookup,intent:validated_direct_lookup,primary_route:route:typesense_only",
does northeastern guarantee housing,parent,attribute_lookup,shortcut,short_circuit,"{school:Northeastern,attribute:housing}",typesense_only,parent framing,Data - Anika.csv,parent,attribute_lookup,typesense_only,"persona:parent->parent,intent:attribute_lookup->attribute_lookup,intent:validated_attribute_lookup,primary_route:route:typesense_only",admissions_or_attribute_signal
colleges near home,parent,filtered_search,retrieval,medium,{location:near_user},search,1–2 filters,Data - Anika.csv,parent,filtered_search,search,"persona:parent->parent,intent:filtered_search->filtered_search,intent:validated_filtered_search,primary_route:route:search",
safe campuses with strong academics,parent,multi_constraint,retrieval,complex,"{safety:true,academics:strong}",agentic,multi-constraint,Data - Anika.csv,parent,multi_constraint,agentic,"persona:parent->parent,intent:multi_constraint->multi_constraint,intent:validated_multi_constraint,primary_route:route:agentic",
good colleges for shy students,parent,filtered_search,retrieval,complex,{},agentic,needs recommendations,Data - Anika.csv,parent,recommendation,agentic,"persona:parent->parent,intent:recommendation->recommendation,intent:recommendation_broad_search->filtered_search,primary_route:route:agentic",
how financial aid appeals work,parent,cost_financial_aid,llm,medium,{},llm,cost aid,Data - Anika.csv,parent,cost_financial_aid,llm,"persona:parent->parent,intent:cost_financial_aid->cost_financial_aid,intent:validated_cost_financial_aid,primary_route:route:llm",cost_constraint
schools with mental health resources,parent,campus_life_fit,llm,llm_needed,{},llm,subjective fit,Data - Anika.csv,parent,campus_life_fit,llm,"persona:parent->parent,intent:campus_life_fit->campus_life_fit,intent:validated_campus_life_fit,primary_route:route:llm",
employment outcomes by major,parent,career_outcomes,llm,medium,{},llm,outcomes,Data - Anika.csv,parent,career_outcomes,llm,"persona:parent->parent,intent:career_outcomes->career_outcomes,intent:validated_career_outcomes,primary_route:route:llm",career_outcome_cue
when fafsa results come out,parent,admissions_process,llm,medium,{},llm,financial timeline,Data - Anika.csv,parent,admissions_process,llm,"persona:parent->parent,intent:admissions_process->admissions_process,intent:validated_admissions_process,primary_route:route:llm",
what is demonstrated interest,counselor_teacher,admissions_process,llm,medium,{},llm,counselor concept,Data - Anika.csv,counselor_teacher,admissions_process,llm,"persona:counselor_teacher->counselor_teacher,intent:admissions_process->admissions_process,intent:validated_admissions_process,primary_route:route:llm",
schools that track demonstrated interest,counselor_teacher,filtered_search,retrieval,medium,{},search,policy-based,Data - Anika.csv,counselor_teacher,filtered_search,search,"persona:counselor_teacher->counselor_teacher,intent:filtered_search->filtered_search,intent:validated_filtered_search,primary_route:route:search",
engineering target schools,counselor_teacher,filtered_search,retrieval,complex,{program:engineering},agentic,recommendations,Data - Anika.csv,counselor_teacher,recommendation,agentic,"persona:counselor_teacher->counselor_teacher,intent:recommendation->recommendation,intent:recommendation_broad_search->filtered_search,primary_route:route:agentic",major_or_program
colleges with grade deflation,counselor_teacher,filtered_search,llm,medium,{},llm,academic rigor,Data - Anika.csv,counselor_teacher,attribute_lookup,llm,"persona:counselor_teacher->counselor_teacher,intent:attribute_lookup->attribute_lookup,intent:attribute_lookup_broad_search->filtered_search,primary_route:route:llm",
mit vs caltech outcomes,counselor_teacher,comparison,retrieval,complex,"{schools:[MIT,Caltech]}",comparison_engine,compare outcomes,Data - Anika.csv,counselor_teacher,comparison,comparison_engine,"persona:counselor_teacher->counselor_teacher,intent:comparison->comparison,intent:validated_comparison,primary_route:route:comparison_engine","school,comparison_target,career_outcome_cue"
best colleges for first gen students,counselor_teacher,filtered_search,retrieval,complex,{},agentic,recommendations,Data - Anika.csv,counselor_teacher,recommendation,agentic,"persona:counselor_teacher->counselor_teacher,intent:recommendation->recommendation,intent:recommendation_broad_search->filtered_search,primary_route:route:agentic",
schools that allow self reported scores,counselor_teacher,admissions_process,llm,medium,{},llm,policy,Data - Anika.csv,counselor_teacher,admissions_process,llm,"persona:counselor_teacher->counselor_teacher,intent:admissions_process->admissions_process,intent:validated_admissions_process,primary_route:route:llm",
top schools for product management,advisor,career_outcomes,llm,medium,{},llm,outcomes,Data - Anika.csv,advisor,career_outcomes,llm,"persona:advisor->advisor,intent:career_outcomes->career_outcomes,intent:validated_career_outcomes,primary_route:route:llm",
consulting feeder schools,advisor,career_outcomes,llm,medium,{},llm,outcomes,Data - Anika.csv,advisor,career_outcomes,llm,"persona:advisor->advisor,intent:career_outcomes->career_outcomes,intent:validated_career_outcomes,primary_route:route:llm",
schools like stanford for startups,advisor,recommendation,retrieval,complex,{reference:Stanford},agentic,needs recommendations,Data - Anika.csv,advisor,recommendation,agentic,"persona:advisor->advisor,intent:recommendation->recommendation,intent:validated_recommendation,primary_route:route:agentic",school
top cs programs west coast,advisor,filtered_search,retrieval,medium,"{program:CS,location:West Coast}",search,1–2 filters,Data - Anika.csv,advisor,filtered_search,search,"persona:advisor->advisor,intent:filtered_search->filtered_search,intent:validated_filtered_search,primary_route:route:search",major_or_program
ivy league alternatives,advisor,recommendation,retrieval,complex,{},agentic,recommendations,Data - Anika.csv,advisor,recommendation,agentic,"persona:advisor->advisor,intent:recommendation->recommendation,intent:validated_recommendation,primary_route:route:agentic",
berkeley vs ucla career outcomes,advisor,comparison,retrieval,complex,"{schools:[Berkeley,UCLA]}",comparison_engine,compare outcomes,Data - Anika.csv,advisor,comparison,comparison_engine,"persona:advisor->advisor,intent:comparison->comparison,intent:validated_comparison,primary_route:route:comparison_engine","school,comparison_target,career_outcome_cue"
schools with strong peer networks,advisor,campus_life_fit,llm,llm_needed,{},llm,subjective fit,Data - Anika.csv,advisor,campus_life_fit,llm,"persona:advisor->advisor,intent:campus_life_fit->campus_life_fit,intent:validated_campus_life_fit,primary_route:route:llm",
institutional data licensing,college_b2b,b2b_partnership,b2b,medium,{},sales_pipeline,B2B,Data - Anika.csv,college_b2b,b2b_partnership,sales_pipeline,"persona:college_b2b->college_b2b,intent:b2b_partnership->b2b_partnership,intent:validated_b2b_partnership,primary_route:route:sales_pipeline",
white label college search,college_b2b,b2b_partnership,b2b,medium,{},sales_pipeline,B2B,Data - Anika.csv,college_b2b,b2b_partnership,sales_pipeline,"persona:college_b2b->college_b2b,intent:b2b_partnership->b2b_partnership,intent:validated_b2b_partnership,primary_route:route:sales_pipeline",
update admissions stats api,college_b2b,b2b_partnership,b2b,medium,{},b2b_portal,B2B,Data - Anika.csv,college_b2b,profile_management,b2b_portal,"persona:college_b2b->college_b2b,intent:profile_management->b2b_partnership,intent:validated_b2b_partnership,primary_route:route:b2b_portal","admissions_or_attribute_signal,b2b_request_type"
optimize yield strategy,college_b2b,recommendation,retrieval,complex,{},agentic,B2B strategy,Data - Anika.csv,college_b2b,recommendation,agentic,"persona:college_b2b->college_b2b,intent:recommendation->recommendation,intent:validated_recommendation,primary_route:route:agentic",
crm integration options,college_b2b,b2b_partnership,b2b,medium,{},sales_pipeline,B2B,Data - Anika.csv,college_b2b,b2b_partnership,sales_pipeline,"persona:college_b2b->college_b2b,intent:b2b_partnership->b2b_partnership,intent:validated_b2b_partnership,primary_route:route:sales_pipeline",
enterprise pricing discussion,college_b2b,b2b_partnership,b2b,short_circuit,{},sales_pipeline,B2B,Data - Anika.csv,college_b2b,b2b_partnership,sales_pipeline,"persona:college_b2b->college_b2b,intent:b2b_partnership->b2b_partnership,intent:validated_b2b_partnership,primary_route:route:sales_pipeline",b2b_request_type
