query_text,intent_raw,complexity_raw,persona_raw,pipeline_raw,entities_raw,notes_raw,source_file,source_row,query_norm,query_id,intent,persona,observed_route_raw,observed_route,pipeline,pipeline_route
improving yield among admitted computer science students,strategy,high,College admissions officer,llm_strategy,major:computer_science; attribute:yield_rate,Enrollment management,Data - Nimisha.csv,162,improving yield among admitted computer science students,762073494ed1d3ed,strategy,college_admissions_officer,high,high,llm_strategy,
increasing diversity in tech applicant pool,strategy,high,College admissions officer,llm_strategy,field:technology; attribute:diversity,Recruitment strategy,Data - Nimisha.csv,164,increasing diversity in tech applicant pool,08888f048f8880ad,strategy,college_admissions_officer,high,high,llm_strategy,
communicating rigor without scaring applicants,strategy,high,College admissions officer,llm_strategy,attribute:academic_rigor,Tone balance,Data - Nimisha.csv,168,communicating rigor without scaring applicants,25c52a1f2560a91b,strategy,college_admissions_officer,high,high,llm_strategy,
repositioning regional tech university brand perception,strategy,high,College admissions officer,llm_strategy,attribute:technology_focus; attribute:brand_perception,Market positioning,Data - Nimisha.csv,171,repositioning regional tech university brand perception,a0f85207603d3f9e,strategy,college_admissions_officer,high,high,llm_strategy,
best engineering schools for introverted students,emotional_advisory,high,High school student,llm_recommendation,major:engineering; attribute:student_personality_fit,Personality fit,Data - Nimisha.csv,172,best engineering schools for introverted students,2e09e5f97e2a21cd,emotional_advisory,high_school_student,high,high,llm_recommendation,
tech universities with vibrant debate clubs,multi_constraint,high,High school student,llm_recommendation,attribute:technology_focus; attribute:debate_club,Academic + extracurricular,Data - Nimisha.csv,175,tech universities with vibrant debate clubs,6702120eb45291e6,multi_constraint,high_school_student,high,high,llm_recommendation,
engineering major with interest in public service pathways,advisory,high,College student,llm_advisory,major:engineering; career:public_service,Nontraditional path,Data - Nimisha.csv,182,engineering major with interest in public service pathways,8d96a0851052d408,advisory,college_student,high,high,llm_advisory,
cs major feeling behind peers in coding interviews,emotional_advisory,high,College student,llm_advisory,major:computer_science; attribute:technical_interviews,Confidence issue,Data - Nimisha.csv,185,cs major feeling behind peers in coding interviews,5c3059b2ad087546,emotional_advisory,college_student,high,high,llm_advisory,
cs major worried about ai replacing entry level jobs,advisory,high,College student,llm_advisory,major:computer_science; field:artificial_intelligence,Automation anxiety,Data - Nimisha.csv,190,cs major worried about ai replacing entry level jobs,39601a4f1cd6ae37,advisory,college_student,high,high,llm_advisory,
mechancial engeneering schools good for robotics but not cutthroat,multi_constraint,high,High school student,llm_recommendation,major:mechanical_engineering; attribute:robotics_focus; attribute:collaborative_culture,Academic + culture,Data - Nimisha.csv,192,mechancial engeneering schools good for robotics but not cutthroat,8921c6031ae78799,multi_constraint,high_school_student,high,high,llm_recommendation,
cs collages w strong peer mentroing not super compeditive,multi_constraint,high,High school student,llm_recommendation,major:computer_science; attribute:peer_mentoring; attribute:low_competitiveness,Supportive CS,Data - Nimisha.csv,193,cs collages w strong peer mentroing not super compeditive,fc8408202978f292,multi_constraint,high_school_student,high,high,llm_recommendation,
cs schools strong in cyber secuirty but chill vibe,multi_constraint,high,High school student,llm_recommendation,major:computer_science; specialization:cybersecurity; attribute:relaxed_culture,Specialty + vibe,Data - Nimisha.csv,196,cs schools strong in cyber secuirty but chill vibe,23a7b44662725083,multi_constraint,high_school_student,high,high,llm_recommendation,
enviromental engeneering programs w policy focus,multi_constraint,high,High school student,filtered_search,major:environmental_engineering; attribute:policy_integration,Dual focus,Data - Nimisha.csv,198,enviromental engeneering programs w policy focus,fe164d099b3ab7f4,multi_constraint,high_school_student,high,high,filtered_search,
swtiching from chem eng to comp sci sophmore year bad idea,advisory,high,College student,llm_advisory,major:chemical_engineering; major:computer_science,Major pivot,Data - Nimisha.csv,202,swtiching from chem eng to comp sci sophmore year bad idea,0278a16a4d6cd44c,advisory,college_student,high,high,llm_advisory,
engeneering 5th year masters worth extra tution,advisory,high,College student,llm_advisory,major:engineering; degree:masters,Cost tradeoff,Data - Nimisha.csv,204,engeneering 5th year masters worth extra tution,571415cc894964d3,advisory,college_student,high,high,llm_advisory,
cs burnout what other tech carrers exist,advisory,high,College student,llm_advisory,major:computer_science; field:technology,Alternatives,Data - Nimisha.csv,207,cs burnout what other tech carrers exist,eb0145e12544aef2,advisory,college_student,high,high,llm_advisory,
civil engeneering jobs stable in 2030,advisory,high,College student,llm_advisory,major:civil_engineering; attribute:job_stability,Future outlook,Data - Nimisha.csv,211,civil engeneering jobs stable in 2030,f90d633fd47f15c1,advisory,college_student,high,high,llm_advisory,
is engeneering degree too stressfull for my son,emotional_advisory,high,Parent,llm_advisory,major:engineering; attribute:academic_rigor,Parent concern,Data - Nimisha.csv,212,is engeneering degree too stressfull for my son,d1499451bde53e98,emotional_advisory,parent,high,high,llm_advisory,
mech eng programs good for introverted kids,emotional_advisory,high,Parent,llm_recommendation,major:mechanical_engineering; attribute:personality_fit,Fit focus,Data - Nimisha.csv,215,mech eng programs good for introverted kids,a1f62851f792746a,emotional_advisory,parent,high,high,llm_recommendation,
cs oversaturted job market worry,advisory,high,Parent,llm_advisory,major:computer_science; attribute:job_market,Market anxiety,Data - Nimisha.csv,217,cs oversaturted job market worry,958a49bd0fbbbfd0,advisory,parent,high,high,llm_advisory,
daughter in male domnated eng field safe,emotional_advisory,high,Parent,llm_advisory,major:engineering; attribute:gender_balance,Inclusion,Data - Nimisha.csv,219,daughter in male domnated eng field safe,a091697196050f77,emotional_advisory,parent,high,high,llm_advisory,
cs grad school worth more debt,advisory,high,Parent,llm_advisory,major:computer_science; degree:graduate_school,Debt decision,Data - Nimisha.csv,221,cs grad school worth more debt,55b5d9bafaa4b50e,advisory,parent,high,high,llm_advisory,
advising student intrested aerospace + physics overlap,advisory,high,Counselor,llm_advisory,major:aerospace_engineering; major:physics,Dual interest,Data - Nimisha.csv,222,advising student intrested aerospace + physics overlap,4bcffae13dcb53cf,advisory,counselor,high,high,llm_advisory,
first gen studnt applying engineering help,emotional_advisory,high,Counselor,llm_advisory,major:engineering; attribute:first_generation,Access,Data - Nimisha.csv,223,first gen studnt applying engineering help,9721e0c36075e49b,emotional_advisory,counselor,high,high,llm_advisory,
cs student worried ai replace entry lvl jobs,advisory,high,Counselor,llm_advisory,major:computer_science; field:artificial_intelligence,Automation,Data - Nimisha.csv,224,cs student worried ai replace entry lvl jobs,884f1156034770e9,advisory,counselor,high,high,llm_advisory,
improve yield comp sci admits strategy,strategy,high,College admissions officer,llm_strategy,major:computer_science; attribute:yield_rate,Enrollment,Data - Nimisha.csv,232,improve yield comp sci admits strategy,aa26eb51103d37ce,strategy,college_admissions_officer,high,high,llm_strategy,
attract more women to tech aplicants,strategy,high,College admissions officer,llm_strategy,field:technology; attribute:gender_diversity,Diversity,Data - Nimisha.csv,235,attract more women to tech aplicants,91d26b6cbfdfd479,strategy,college_admissions_officer,high,high,llm_strategy,
communicate rigor w out scaring aplicants,strategy,high,College admissions officer,llm_strategy,attribute:academic_rigor,Tone,Data - Nimisha.csv,237,communicate rigor w out scaring aplicants,ed75a62a4835e733,strategy,college_admissions_officer,high,high,llm_strategy,
reposition regional tech brand percepetion,strategy,high,College admissions officer,llm_strategy,attribute:technology_focus; attribute:brand_perception,Branding,Data - Nimisha.csv,239,reposition regional tech brand percepetion,9f78dcc7e7065f12,strategy,college_admissions_officer,high,high,llm_strategy,
tech universties w good debate + coding mix,multi_constraint,high,High school student,llm_recommendation,attribute:technology_focus; attribute:debate_club; major:computer_science,Mixed interest,Data - Nimisha.csv,246,tech universties w good debate + coding mix,36ab825869b8850e,multi_constraint,high_school_student,high,high,llm_recommendation,
cs major feel behind coding interveiws,emotional_advisory,high,College student,llm_advisory,major:computer_science; attribute:technical_interviews,Confidence,Data - Nimisha.csv,252,cs major feel behind coding interveiws,6fbba894ac03538f,emotional_advisory,college_student,high,high,llm_advisory,
chemical engeneering demand future outlook,advisory,high,College student,llm_advisory,major:chemical_engineering; attribute:job_market,Trend,Data - Nimisha.csv,260,chemical engeneering demand future outlook,7c1c9b98f2aebc34,advisory,college_student,high,high,llm_advisory,
is engeneering too hard for avg student,emotional_advisory,high,Parent,llm_advisory,major:engineering; attribute:academic_difficulty,Parent worry,Data - Nimisha.csv,262,is engeneering too hard for avg student,478a1d8683603b51,emotional_advisory,parent,high,high,llm_advisory,
cs degree oversaturtion myth or real,advisory,high,Parent,llm_advisory,major:computer_science; attribute:job_market,Market myth,Data - Nimisha.csv,263,cs degree oversaturtion myth or real,fa0d4350bd82847c,advisory,parent,high,high,llm_advisory,
engeneering w heavy loans responsble,advisory,high,Parent,llm_advisory,major:engineering; attribute:student_loans,Financial,Data - Nimisha.csv,265,engeneering w heavy loans responsble,b01cf3a05631ef8f,advisory,parent,high,high,llm_advisory,
cs career longetivity in ai era,advisory,high,Parent,llm_advisory,major:computer_science; field:artificial_intelligence,Longevity,Data - Nimisha.csv,266,cs career longetivity in ai era,13f914376b6c9ba8,advisory,parent,high,high,llm_advisory,
mech eng schools supportive enviroment,emotional_advisory,high,Parent,llm_recommendation,major:mechanical_engineering; attribute:supportive_culture,Fit,Data - Nimisha.csv,267,mech eng schools supportive enviroment,bafc6a320bf9c03f,emotional_advisory,parent,high,high,llm_recommendation,
comp sci grad school roi calcualtion,advisory,high,Parent,llm_advisory,major:computer_science; degree:graduate_school; attribute:roi,Cost benefit,Data - Nimisha.csv,269,comp sci grad school roi calcualtion,ebb03310a2ee45bd,advisory,parent,high,high,llm_advisory,
eng small skl not city,multi_constraint,high,High school student,filtered_search,major:engineering; attribute:small_enrollment; attribute:non_urban,Size + location,Data - Nimisha.csv,274,eng small skl not city,a7d58e28813796fe,multi_constraint,high_school_student,high,high,filtered_search,
tech but artsy vibe?,multi_constraint,high,High school student,llm_recommendation,attribute:technology_focus; attribute:arts_culture,Culture blend,Data - Nimisha.csv,275,tech but artsy vibe,7ec31610e319fb52,multi_constraint,high_school_student,high,high,llm_recommendation,
cs no calc heavy,multi_constraint,high,High school student,llm_recommendation,major:computer_science; attribute:low_math_intensity,Curriculum concern,Data - Nimisha.csv,277,cs no calc heavy,a59a87c287396bb6,multi_constraint,high_school_student,high,high,llm_recommendation,
eng not weed out school,attribute_lookup,high,High school student,llm_recommendation,major:engineering; attribute:low_attrition,Retention focus,Data - Nimisha.csv,278,eng not weed out school,7e1a797d1b86250f,attribute_lookup,high_school_student,high,high,llm_recommendation,
eng w study abrod ez,attribute_lookup,high,High school student,filtered_search,major:engineering; attribute:study_abroad_friendly,Flexibility,Data - Nimisha.csv,280,eng w study abrod ez,5a0d0467ede88dc1,attribute_lookup,high_school_student,high,high,filtered_search,
switch bio 2 biomed eng jr yr dumb?,advisory,high,College student,llm_advisory,major:biology; major:biomedical_engineering,Late switch,Data - Nimisha.csv,282,switch bio 2 biomed eng jr yr dumb,635a35514efdd148,advisory,college_student,high,high,llm_advisory,
cs gpa 2.7 screwed?,emotional_advisory,high,College student,llm_advisory,major:computer_science; attribute:gpa_2_7,Anxiety,Data - Nimisha.csv,283,cs gpa 2.7 screwed,dc99f5661668a64f,emotional_advisory,college_student,high,high,llm_advisory,
eng 5yr ms worth??,advisory,high,College student,llm_advisory,major:engineering; degree:masters,Accelerated masters,Data - Nimisha.csv,284,eng 5yr ms worth,f4c6bc7c150e32cf,advisory,college_student,high,high,llm_advisory,
comp sci oversat??,advisory,high,College student,llm_advisory,major:computer_science; attribute:job_market,Market fear,Data - Nimisha.csv,288,comp sci oversat,54c1e14792e5c81a,advisory,college_student,high,high,llm_advisory,
eng burnout alt path,advisory,high,College student,llm_advisory,major:engineering,Redirection,Data - Nimisha.csv,291,eng burnout alt path,59efcec6db9599cb,advisory,college_student,high,high,llm_advisory,
son eng too stress?,emotional_advisory,high,Parent,llm_advisory,major:engineering; attribute:academic_rigor,Concern,Data - Nimisha.csv,292,son eng too stress,867e1a3a136ef44e,emotional_advisory,parent,high,high,llm_advisory,
eng loans dumb idea?,advisory,high,Parent,llm_advisory,major:engineering; attribute:student_loans,Debt,Data - Nimisha.csv,296,eng loans dumb idea,d34aa947020b6461,advisory,parent,high,high,llm_advisory,
cs ai replace kids?,advisory,high,Parent,llm_advisory,major:computer_science; field:artificial_intelligence,Automation worry,Data - Nimisha.csv,297,cs ai replace kids,ae5a8d4d3b2a1d9d,advisory,parent,high,high,llm_advisory,
daughter eng male dom ok?,emotional_advisory,high,Parent,llm_advisory,major:engineering; attribute:gender_balance,Inclusion,Data - Nimisha.csv,299,daughter eng male dom ok,f8a13e8cffae95bb,emotional_advisory,parent,high,high,llm_advisory,
cs grad skl debt worth,advisory,high,Parent,llm_advisory,major:computer_science; degree:graduate_school,Cost,Data - Nimisha.csv,301,cs grad skl debt worth,cee319db5d0ea47e,advisory,parent,high,high,llm_advisory,
student aero + phys lost,emotional_advisory,high,Counselor,llm_advisory,major:aerospace_engineering; major:physics,Dual path,Data - Nimisha.csv,302,student aero + phys lost,8478bf9a0b35169a,emotional_advisory,counselor,high,high,llm_advisory,
first gen eng apps help,advisory,high,Counselor,llm_advisory,major:engineering; attribute:first_generation,Access,Data - Nimisha.csv,303,first gen eng apps help,2d882ed2fcb863c0,advisory,counselor,high,high,llm_advisory,
cs ai fear talk pts,advisory,high,Counselor,llm_advisory,major:computer_science; field:artificial_intelligence,Talking points,Data - Nimisha.csv,304,cs ai fear talk pts,6b7823783b37f13c,advisory,counselor,high,high,llm_advisory,
cs yield down why,strategy,high,College admissions officer,llm_strategy,major:computer_science; attribute:yield_rate,Enrollment,Data - Nimisha.csv,312,cs yield down why,d75d37af5064229e,strategy,college_admissions_officer,high,high,llm_strategy,
eng brand weak fix,strategy,high,College admissions officer,llm_strategy,major:engineering; attribute:brand_perception,Branding,Data - Nimisha.csv,313,eng brand weak fix,41a4a5161f364075,strategy,college_admissions_officer,high,high,llm_strategy,
women tech apps low,strategy,high,College admissions officer,llm_strategy,field:technology; attribute:gender_diversity,Diversity,Data - Nimisha.csv,315,women tech apps low,1de5c3ff18c0dc11,strategy,college_admissions_officer,high,high,llm_strategy,
rigor scare kids,strategy,high,College admissions officer,llm_strategy,attribute:academic_rigor,Tone,Data - Nimisha.csv,317,rigor scare kids,e7256e91676a0ac7,strategy,college_admissions_officer,high,high,llm_strategy,
tech rep midwest meh,strategy,high,College admissions officer,llm_strategy,attribute:technology_focus; attribute:regional_brand,Positioning,Data - Nimisha.csv,321,tech rep midwest meh,9d7954da6b675acf,strategy,college_admissions_officer,high,high,llm_strategy,
tech + debate rare?,multi_constraint,high,High school student,llm_recommendation,attribute:technology_focus; attribute:debate_club,Mixed interest,Data - Nimisha.csv,326,tech + debate rare,71a67dddab78732b,multi_constraint,high_school_student,high,high,llm_recommendation,
cs interveiw fail lot,emotional_advisory,high,College student,llm_advisory,major:computer_science; attribute:technical_interviews,Confidence,Data - Nimisha.csv,332,cs interveiw fail lot,8663a0dceecc47b0,emotional_advisory,college_student,high,high,llm_advisory,
eng startup + gpa tank,emotional_advisory,high,College student,llm_advisory,major:engineering; attribute:entrepreneurship,Balance,Data - Nimisha.csv,333,eng startup + gpa tank,ea90ac636604315e,emotional_advisory,college_student,high,high,llm_advisory,
eng gpa 3.1 phd shot,advisory,high,College student,llm_advisory,major:engineering; degree:phd; attribute:gpa_3_1,Admissions,Data - Nimisha.csv,338,eng gpa 3.1 phd shot,56e58d889e8540cc,advisory,college_student,high,high,llm_advisory,
eng avg kid survive,emotional_advisory,high,Parent,llm_advisory,major:engineering; attribute:academic_difficulty,Worry,Data - Nimisha.csv,342,eng avg kid survive,6a78d2bcb5d06717,emotional_advisory,parent,high,high,llm_advisory,
cs bubble burst?,advisory,high,Parent,llm_advisory,major:computer_science; attribute:job_market,Market,Data - Nimisha.csv,343,cs bubble burst,165817082141e4d8,advisory,parent,high,high,llm_advisory,
eng debt trap?,advisory,high,Parent,llm_advisory,major:engineering; attribute:student_loans,Debt,Data - Nimisha.csv,345,eng debt trap,57ee9429d33b9dbd,advisory,parent,high,high,llm_advisory,
cs long term safe,advisory,high,Parent,llm_advisory,major:computer_science; attribute:career_longevity,Stability,Data - Nimisha.csv,346,cs long term safe,636149584e88b72b,advisory,parent,high,high,llm_advisory,
cs masters roi math,advisory,high,Parent,llm_advisory,major:computer_science; degree:masters; attribute:roi,Cost benefit,Data - Nimisha.csv,349,cs masters roi math,3ad04c191661bd4d,advisory,parent,high,high,llm_advisory,
transfer mech eng credits 2 year to 4 year pain?,advisory,high,Transfer student,llm_advisory,major:mechanical_engineering; attribute:credit_transfer,Credit mobility,Data - Nimisha.csv,352,transfer mech eng credits 2 year to 4 year pain,773bd9920327f9f6,advisory,transfer_student,high,high,llm_advisory,
eng prereqs diff univ mess,attribute_lookup,high,Transfer student,filtered_search,major:engineering; attribute:prerequisites,Curriculum mismatch,Data - Nimisha.csv,354,eng prereqs diff univ mess,f333de5bc5a7ff95,attribute_lookup,transfer_student,high,high,filtered_search,
2yr eng degree job ready?,advisory,high,Community college student,llm_advisory,major:engineering; degree:associate_degree,Employability,Data - Nimisha.csv,358,2yr eng degree job ready,fa6fb484812d72bb,advisory,community_college_student,high,high,llm_advisory,
intl student cs opt chances,advisory,high,International student,llm_advisory,major:computer_science; attribute:opt_employment,Visa employment,Data - Nimisha.csv,362,intl student cs opt chances,6ef094e1ea0b20c1,advisory,international_student,high,high,llm_advisory,
eng h1b realistic now,advisory,high,International student,llm_advisory,major:engineering; attribute:h1b_visa,Immigration concern,Data - Nimisha.csv,363,eng h1b realistic now,ef1809c980f2cf3e,advisory,international_student,high,high,llm_advisory,
us cs masters vs canada better visa,comparison,high,International student,llm_advisory,major:computer_science; degree:masters; country:united_states; country:canada,Migration strategy,Data - Nimisha.csv,364,us cs masters vs canada better visa,0852b47a8ebac935,comparison,international_student,high,high,llm_advisory,
mech eng jobs sponsor rare?,advisory,high,International student,llm_advisory,major:mechanical_engineering; attribute:visa_sponsorship,Hiring barrier,Data - Nimisha.csv,365,mech eng jobs sponsor rare,f95c30143a6b1c65,advisory,international_student,high,high,llm_advisory,
phd mech eng industry exit good,advisory,high,Graduate applicant,llm_advisory,major:mechanical_engineering; degree:phd,Career outcome,Data - Nimisha.csv,367,phd mech eng industry exit good,3bc9adfe55b6d34e,advisory,graduate_applicant,high,high,llm_advisory,
biomed eng phd oversupply?,advisory,high,Graduate applicant,llm_advisory,major:biomedical_engineering; degree:phd; attribute:job_market,Academic market,Data - Nimisha.csv,370,biomed eng phd oversupply,eb80f7d96de61203,advisory,graduate_applicant,high,high,llm_advisory,
ai phd vs industry lab diff,comparison,high,Graduate applicant,llm_advisory,field:artificial_intelligence; degree:phd,Career fork,Data - Nimisha.csv,371,ai phd vs industry lab diff,60e1bafaa6c4140c,comparison,graduate_applicant,high,high,llm_advisory,
30yr old learn cs dumb?,emotional_advisory,high,Career changer,llm_advisory,major:computer_science,Age concern,Data - Nimisha.csv,372,30yr old learn cs dumb,21602c669ce516e3,emotional_advisory,career_changer,high,high,llm_advisory,
mech eng to software bootcamp risky,advisory,high,Career changer,llm_advisory,major:mechanical_engineering; major:software_engineering,Pivot risk,Data - Nimisha.csv,373,mech eng to software bootcamp risky,7516a3e61afa234a,advisory,career_changer,high,high,llm_advisory,
eng degree stale 10yrs update how,advisory,high,Career changer,llm_advisory,major:engineering; attribute:continuing_education,Skill refresh,Data - Nimisha.csv,374,eng degree stale 10yrs update how,dddcbc9d62120749,advisory,career_changer,high,high,llm_advisory,
cs grads cant explain systems well why,advisory,high,Employer,llm_advisory,major:computer_science; attribute:systems_knowledge,Skills gap,Data - Nimisha.csv,377,cs grads cant explain systems well why,ee80b308ebbdd345,advisory,employer,high,high,llm_advisory,
cs interns need less leetcode more design,advisory,high,Employer,llm_advisory,major:computer_science; attribute:software_design,Hiring signal,Data - Nimisha.csv,381,cs interns need less leetcode more design,0c3741358be0401b,advisory,employer,high,high,llm_advisory,
entry level eng salary inflation trend,attribute_lookup,high,Industry hiring manager,filtered_search,major:engineering; attribute:entry_level_salary,Compensation trend,Data - Nimisha.csv,382,entry level eng salary inflation trend,4e10ca0a677bca2a,attribute_lookup,industry_hiring_manager,high,high,filtered_search,
cs grads expect remote only realistic,advisory,high,Industry hiring manager,llm_advisory,major:computer_science; attribute:remote_work,Expectation gap,Data - Nimisha.csv,383,cs grads expect remote only realistic,75f02600fdb10710,advisory,industry_hiring_manager,high,high,llm_advisory,
ai grads theory heavy prod light,advisory,high,Industry hiring manager,llm_advisory,field:artificial_intelligence; attribute:production_experience,Practical gap,Data - Nimisha.csv,385,ai grads theory heavy prod light,201f114bf96a4ddf,advisory,industry_hiring_manager,high,high,llm_advisory,
cs students need better portfolio tools,strategy,high,EdTech founder,llm_strategy,major:computer_science; attribute:portfolio,Product design,Data - Nimisha.csv,387,cs students need better portfolio tools,6f902f3431c21479,strategy,edtech_founder,high,high,llm_strategy,
eng lab sim software market opp,strategy,high,EdTech founder,llm_strategy,major:engineering; attribute:lab_simulation,Market gap,Data - Nimisha.csv,388,eng lab sim software market opp,bf4dc3c097eab05a,strategy,edtech_founder,high,high,llm_strategy,
data sci project marketplace viable,strategy,high,EdTech founder,llm_strategy,major:data_science; attribute:project_based_learning,Platform idea,Data - Nimisha.csv,389,data sci project marketplace viable,e88ac529830450e4,strategy,edtech_founder,high,high,llm_strategy,
ai ethics curriculum demand rising,attribute_lookup,high,EdTech founder,filtered_search,specialization:ai_ethics; field:artificial_intelligence,Trend validation,Data - Nimisha.csv,390,ai ethics curriculum demand rising,152a15bb4710496b,attribute_lookup,edtech_founder,high,high,filtered_search,
eng scholarship roi measurable?,advisory,high,Scholarship foundation officer,llm_advisory,major:engineering; attribute:roi,Impact evaluation,Data - Nimisha.csv,392,eng scholarship roi measurable,447bc99f2ccab39c,advisory,scholarship_foundation_officer,high,high,llm_advisory,
cs low income grantee grad rates,attribute_lookup,high,Scholarship foundation officer,filtered_search,major:computer_science; attribute:graduation_rate,Outcome tracking,Data - Nimisha.csv,393,cs low income grantee grad rates,e7641c1824aa517d,attribute_lookup,scholarship_foundation_officer,high,high,filtered_search,
fund women in mech eng impact,advisory,high,Scholarship foundation officer,llm_advisory,major:mechanical_engineering; attribute:gender_diversity,Equity,Data - Nimisha.csv,394,fund women in mech eng impact,39d268dd2e960717,advisory,scholarship_foundation_officer,high,high,llm_advisory,
rural students tech degree mobility,advisory,high,Scholarship foundation officer,llm_advisory,field:technology; attribute:social_mobility,Access,Data - Nimisha.csv,395,rural students tech degree mobility,aa7ffc457ad9b73f,advisory,scholarship_foundation_officer,high,high,llm_advisory,
regional eng grad shortage 2035,forecast,high,Government workforce analyst,filtered_search,major:engineering; attribute:workforce_demand,Projection,Data - Nimisha.csv,397,regional eng grad shortage 2035,1384f241d7a11133,forecast,government_workforce_analyst,high,high,filtered_search,
cs labor market cyclical pattern,attribute_lookup,high,Government workforce analyst,filtered_search,major:computer_science; attribute:job_market,Trend data,Data - Nimisha.csv,398,cs labor market cyclical pattern,ea5da7c1ad9c0d5a,attribute_lookup,government_workforce_analyst,high,high,filtered_search,
