query_id,query_text,query_norm,route,resolution_method,resolution_confidence,resolution_note,suggested_route,suggested_confidence,row_count,observed_routes,observed_valid_routes,observed_pipeline_routes,canonical_intent,persona_hint,observed_intents,observed_personas,source_files,source_rows
444ab8e25eb53fa2,academically strong colleges with strong mentorship,academically strong colleges with strong mentorship,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,complex:1,multi_constraint,parent,multi_constraint:1,parent:1,Data - Anika.csv,Data - Anika.csv:925
f6b691bdb45a9708,academically strong colleges with urban safety,academically strong colleges with urban safety,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,complex:1,multi_constraint,parent,multi_constraint:1,parent:1,Data - Anika.csv,Data - Anika.csv:505
becc4753fb32cebd,academically strong schools with low crime,academically strong schools with low crime,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,complex:1,multi_constraint,parent,multi_constraint:1,parent:1,Data - Anika.csv,Data - Anika.csv:145
f0a9a9b8054df35f,academically supportive colleges with internship pipelines,academically supportive colleges with internship pipelines,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,complex:1,multi_constraint,parent,multi_constraint:1,parent:1,Data - Anika.csv,Data - Anika.csv:565
9bb810ff1118ace7,academically supportive colleges with strong advising,academically supportive colleges with strong advising,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,complex:1,multi_constraint,parent,multi_constraint:1,parent:1,Data - Anika.csv,Data - Anika.csv:805
8ae0d3c8eca35810,acceptance rate for MIT,acceptance rate for mit,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,short_circuit:1,short_circuit:1,,attribute_lookup,high_school_student,attribute_lookup:1,high_school_student:1,Data - Shivansh.csv,Data - Shivansh.csv:388
4aa6e79ce44d48a1,acceptance rate for Northwestern,acceptance rate for northwestern,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,medium:1,medium:1,,attribute_lookup,parent,attribute_lookup:1,parent:1,Data - Shivansh.csv,Data - Shivansh.csv:3012
fda7b9c8ad187fc7,acceptance rate for NYU,acceptance rate for nyu,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,medium:1,medium:1,,attribute_lookup,counselor_teacher,attribute_lookup:1,counselor_teacher:1,Data - Shivansh.csv,Data - Shivansh.csv:2781
123aa60d730e796a,acceptance rate for Penn State,acceptance rate for penn state,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,short_circuit:1,short_circuit:1,,attribute_lookup,counselor_teacher,attribute_lookup:1,counselor_teacher:1,Data - Shivansh.csv,Data - Shivansh.csv:2387
6c5eb0ae8591d887,acceptance rate for Rice University,acceptance rate for rice university,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,medium:1,medium:1,,attribute_lookup,college_student,attribute_lookup:1,college_student:1,Data - Shivansh.csv,Data - Shivansh.csv:3948
5c09f6c9e67a6c58,acceptance rate for UC San Diego,acceptance rate for uc san diego,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,short_circuit:1,short_circuit:1,,attribute_lookup,parent,attribute_lookup:1,parent:1,Data - Shivansh.csv,Data - Shivansh.csv:903
3723a916cf237a23,acceptance rate for University of Maryland,acceptance rate for university of maryland,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,short_circuit:1,short_circuit:1,,attribute_lookup,parent,attribute_lookup:1,parent:1,Data - Shivansh.csv,Data - Shivansh.csv:110
5626f3dc39e7335d,adelphi university,adelphi university,short_circuit,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,short_circuit:1,short_circuit:1,short_circuit:1,exact_lookup,parent,exact_lookup:1,parent:1,Data - Anika.csv,Data - Anika.csv:802
3dc5b68663b36c42,admissions demand sensitivity modeling,admissions demand sensitivity modeling,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,analytics_request,college_b2b,analytics_request:1,college_b2b:1,Data - Anika.csv,Data - Anika.csv:654
40299ad57308c8d8,admissions elasticity modeling,admissions elasticity modeling,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,analytics_request,college_b2b,analytics_request:1,college_b2b:1,Data - Anika.csv,Data - Anika.csv:534
8b5f609bad60d45b,admissions growth scenario modeling,admissions growth scenario modeling,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,analytics_request,college_b2b,analytics_request:1,college_b2b:1,Data - Anika.csv,Data - Anika.csv:774
1703c04e79ea087a,admissions seasonality modeling,admissions seasonality modeling,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,analytics_request,college_b2b,analytics_request:1,college_b2b:1,Data - Anika.csv,Data - Anika.csv:894
8a16a0c1ab96c7a9,admissions trend forecasting tools,admissions trend forecasting tools,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,analytics_request,college_b2b,analytics_request:1,college_b2b:1,Data - Anika.csv,Data - Anika.csv:474
e36c9eeaf29a9abb,admissions volume forecasting,admissions volume forecasting,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,analytics_request,college_b2b,analytics_request:1,college_b2b:1,Data - Anika.csv,Data - Anika.csv:594
4a86da6101663639,advising on gap year before starting engineering,advising on gap year before starting engineering,llm_needed,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,medium:1,medium:1,,advisory,counselor,advisory:1,counselor:1,Data - Nimisha.csv,Data - Nimisha.csv:161
2562de068a32b780,advising student concerned about cs oversaturation,advising student concerned about cs oversaturation,llm_needed,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,medium:1,medium:1,,advisory,counselor,advisory:1,counselor:1,Data - Nimisha.csv,Data - Nimisha.csv:155
4bcffae13dcb53cf,advising student intrested aerospace + physics overlap,advising student intrested aerospace + physics overlap,llm_needed,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,high:1,,,advisory,counselor,advisory:1,counselor:1,Data - Nimisha.csv,Data - Nimisha.csv:222
80a081fd6096e745,aero eng transfer acceptance low?,aero eng transfer acceptance low,llm_needed,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,medium:1,medium:1,,advisory,transfer_student,advisory:1,transfer_student:1,Data - Nimisha.csv,Data - Nimisha.csv:356
2a9ca2e1dd78f751,affordable aerospace engineering schools in California with good internships,affordable aerospace engineering schools in california with good internships,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,multi_constraint,college_student,multi_constraint:1,college_student:1,Data - Shivansh.csv,Data - Shivansh.csv:3811
85d9cba1ccf27724,affordable aerospace engineering schools in Texas with good internships,affordable aerospace engineering schools in texas with good internships,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,multi_constraint,counselor_teacher,multi_constraint:1,counselor_teacher:1,Data - Shivansh.csv,Data - Shivansh.csv:3612
c0336d57c75a31ac,affordable aerospace engineering schools in Texas with good job placement,affordable aerospace engineering schools in texas with good job placement,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,multi_constraint,counselor_teacher,multi_constraint:1,counselor_teacher:1,Data - Shivansh.csv,Data - Shivansh.csv:1625
fcc215f2a9d478e6,affordable aerospace engineering schools in the Midwest with good internships,affordable aerospace engineering schools in the midwest with good internships,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,multi_constraint,parent,multi_constraint:1,parent:1,Data - Shivansh.csv,Data - Shivansh.csv:3638
3401783ffb7882ba,affordable aerospace engineering schools near a tech hub with good internships,affordable aerospace engineering schools near a tech hub with good internships,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,multi_constraint,college_student,multi_constraint:1,college_student:1,Data - Shivansh.csv,Data - Shivansh.csv:2921
e0603404648aebe9,affordable aerospace engineering schools near the beach with good internships,affordable aerospace engineering schools near the beach with good internships,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,multi_constraint,counselor_teacher,multi_constraint:1,counselor_teacher:1,Data - Shivansh.csv,Data - Shivansh.csv:4254
fec7d4d09889852b,affordable aerospace engineering schools near the beach with good job placement,affordable aerospace engineering schools near the beach with good job placement,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,multi_constraint,college_student,multi_constraint:1,college_student:1,Data - Shivansh.csv,Data - Shivansh.csv:1673
a0c78ad73316cab1,affordable architecture schools in California with good job placement,affordable architecture schools in california with good job placement,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,multi_constraint,high_school_student,multi_constraint:1,high_school_student:1,Data - Shivansh.csv,Data - Shivansh.csv:942
3348614fa20bf621,affordable architecture schools in Texas with good internships,affordable architecture schools in texas with good internships,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,multi_constraint,parent,multi_constraint:1,parent:1,Data - Shivansh.csv,Data - Shivansh.csv:3516
c3c4c6b3307ff739,affordable architecture schools in the Midwest with good internships,affordable architecture schools in the midwest with good internships,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,multi_constraint,advisor,multi_constraint:1,advisor:1,Data - Shivansh.csv,Data - Shivansh.csv:3540
17b7a7b96d48684e,affordable architecture schools near a major tech hub with good job placement,affordable architecture schools near a major tech hub with good job placement,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,2,complex:2,complex:2,,multi_constraint,college_student,multi_constraint:2,college_student:1|high_school_student:1,Data - Shivansh.csv,Data - Shivansh.csv:1020|Data - Shivansh.csv:2178
89d9ed7fb97328a3,affordable biology schools in Texas with good internships,affordable biology schools in texas with good internships,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,2,complex:2,complex:2,,multi_constraint,college_student,multi_constraint:2,advisor:1|college_student:1,Data - Shivansh.csv,Data - Shivansh.csv:2683|Data - Shivansh.csv:4260
ee3663825eb54a04,affordable biology schools in Texas with good job placement,affordable biology schools in texas with good job placement,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,multi_constraint,high_school_student,multi_constraint:1,high_school_student:1,Data - Shivansh.csv,Data - Shivansh.csv:972
392e8d582b460813,affordable biology schools in the Midwest with good internships,affordable biology schools in the midwest with good internships,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,multi_constraint,advisor,multi_constraint:1,advisor:1,Data - Shivansh.csv,Data - Shivansh.csv:3998
c33251a97a7335c7,affordable biology schools near a tech hub with good internships,affordable biology schools near a tech hub with good internships,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,multi_constraint,parent,multi_constraint:1,parent:1,Data - Shivansh.csv,Data - Shivansh.csv:2712
22dfc947889dcac7,affordable biology schools near the beach with good internships,affordable biology schools near the beach with good internships,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,3,complex:3,complex:3,,multi_constraint,advisor,multi_constraint:3,advisor:2|counselor_teacher:1,Data - Shivansh.csv,Data - Shivansh.csv:2803|Data - Shivansh.csv:2973|Data - Shivansh.csv:3755
15d9d1f5bad24dc5,affordable biology schools not Florida with good job placement,affordable biology schools not florida with good job placement,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,llm_needed:1,llm_needed:1,,multi_constraint,counselor_teacher,multi_constraint:1,counselor_teacher:1,Data - Shivansh.csv,Data - Shivansh.csv:824
21e8211d0fad6a81,affordable business schools in California with good internships,affordable business schools in california with good internships,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,multi_constraint,advisor,multi_constraint:1,advisor:1,Data - Shivansh.csv,Data - Shivansh.csv:2931
1f41b12ce5a50264,affordable business schools in Texas with good job placement,affordable business schools in texas with good job placement,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,llm_needed:1,llm_needed:1,,multi_constraint,advisor,multi_constraint:1,advisor:1,Data - Shivansh.csv,Data - Shivansh.csv:455
8fede4af3ef4f106,affordable business schools near Chicago with good job placement,affordable business schools near chicago with good job placement,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,2,complex:2,complex:2,,multi_constraint,college_student,multi_constraint:2,advisor:1|college_student:1,Data - Shivansh.csv,Data - Shivansh.csv:304|Data - Shivansh.csv:364
7e5be5953bb05409,affordable business schools near the beach with good internships,affordable business schools near the beach with good internships,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,2,complex:2,complex:2,,multi_constraint,counselor_teacher,multi_constraint:2,counselor_teacher:2,Data - Shivansh.csv,Data - Shivansh.csv:3033|Data - Shivansh.csv:3471
0a17a7ff1b7d7dcd,affordable business schools near the beach with good job placement,affordable business schools near the beach with good job placement,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,multi_constraint,parent,multi_constraint:1,parent:1,Data - Shivansh.csv,Data - Shivansh.csv:219
2b0e7c3bff33a3fa,affordable business schools not Florida with good job placement,affordable business schools not florida with good job placement,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,multi_constraint,counselor_teacher,multi_constraint:1,counselor_teacher:1,Data - Shivansh.csv,Data - Shivansh.csv:1225
7efc158b2dc31e73,affordable chemistry schools in California with good internships,affordable chemistry schools in california with good internships,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,2,complex:2,complex:2,,multi_constraint,advisor,multi_constraint:2,advisor:1|parent:1,Data - Shivansh.csv,Data - Shivansh.csv:2969|Data - Shivansh.csv:3139
bc8c1e775cf7e4ea,affordable chemistry schools in California with good job placement,affordable chemistry schools in california with good job placement,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,multi_constraint,high_school_student,multi_constraint:1,high_school_student:1,Data - Shivansh.csv,Data - Shivansh.csv:652
ad35796ec206185b,affordable chemistry schools in Texas with good job placement,affordable chemistry schools in texas with good job placement,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,multi_constraint,college_student,multi_constraint:1,college_student:1,Data - Shivansh.csv,Data - Shivansh.csv:389
21280da63e991ec8,affordable chemistry schools in the Midwest with good job placement,affordable chemistry schools in the midwest with good job placement,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,multi_constraint,college_student,multi_constraint:1,college_student:1,Data - Shivansh.csv,Data - Shivansh.csv:379
4ead53622d311974,affordable chemistry schools in warm states with good internships,affordable chemistry schools in warm states with good internships,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,2,complex:2,complex:2,,multi_constraint,advisor,multi_constraint:2,advisor:1|counselor_teacher:1,Data - Shivansh.csv,Data - Shivansh.csv:2546|Data - Shivansh.csv:3721
9d1257e39419d45c,affordable chemistry schools in warm states with good job placement,affordable chemistry schools in warm states with good job placement,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,multi_constraint,parent,multi_constraint:1,parent:1,Data - Shivansh.csv,Data - Shivansh.csv:1368
51cdac3dc97bcfb3,affordable chemistry schools near Chicago with good internships,affordable chemistry schools near chicago with good internships,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,multi_constraint,parent,multi_constraint:1,parent:1,Data - Shivansh.csv,Data - Shivansh.csv:3601
e748fcd83be03011,affordable chemistry schools on the East Coast with good job placement,affordable chemistry schools on the east coast with good job placement,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,multi_constraint,high_school_student,multi_constraint:1,high_school_student:1,Data - Shivansh.csv,Data - Shivansh.csv:2009
426390f38da9d45d,affordable colleges with strong data science,affordable colleges with strong data science,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,complex:1,multi_constraint,high_school_student,multi_constraint:1,high_school_student:1,Data - Anika.csv,Data - Anika.csv:305
e2ec405227eb0eca,affordable colleges with strong environmental science,affordable colleges with strong environmental science,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,complex:1,multi_constraint,high_school_student,multi_constraint:1,high_school_student:1,Data - Anika.csv,Data - Anika.csv:245
3402b9aed887d4ec,affordable colleges with strong geology programs,affordable colleges with strong geology programs,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,complex:1,multi_constraint,high_school_student,multi_constraint:1,high_school_student:1,Data - Anika.csv,Data - Anika.csv:545
a63f493a4da80a2b,affordable colleges with strong marine science programs,affordable colleges with strong marine science programs,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,complex:1,multi_constraint,high_school_student,multi_constraint:1,high_school_student:1,Data - Anika.csv,Data - Anika.csv:605
12ef2d401bd80d19,affordable colleges with strong meteorology programs,affordable colleges with strong meteorology programs,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,complex:1,multi_constraint,high_school_student,multi_constraint:1,high_school_student:1,Data - Anika.csv,Data - Anika.csv:665
8a629810e7e6d9ba,affordable colleges with strong nutrition science programs,affordable colleges with strong nutrition science programs,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,complex:1,multi_constraint,high_school_student,multi_constraint:1,high_school_student:1,Data - Anika.csv,Data - Anika.csv:785
69dd128b44e55d19,affordable colleges with strong occupational therapy programs,affordable colleges with strong occupational therapy programs,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,complex:1,multi_constraint,high_school_student,multi_constraint:1,high_school_student:1,Data - Anika.csv,Data - Anika.csv:845
33805267cd135a36,affordable colleges with strong public policy programs,affordable colleges with strong public policy programs,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,complex:1,multi_constraint,high_school_student,multi_constraint:1,high_school_student:1,Data - Anika.csv,Data - Anika.csv:725
c1f9a96c1aca0f62,affordable colleges with strong speech pathology programs,affordable colleges with strong speech pathology programs,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,complex:1,multi_constraint,high_school_student,multi_constraint:1,high_school_student:1,Data - Anika.csv,Data - Anika.csv:905
da2ce668244435e2,affordable colleges with strong urban planning programs,affordable colleges with strong urban planning programs,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,complex:1,multi_constraint,high_school_student,multi_constraint:1,high_school_student:1,Data - Anika.csv,Data - Anika.csv:485
f5f65e58c1a99db1,affordable computer science schools in Texas with good job placement,affordable computer science schools in texas with good job placement,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,multi_constraint,parent,multi_constraint:1,parent:1,Data - Shivansh.csv,Data - Shivansh.csv:838
d66fbf7b53d9fcc6,affordable computer science schools in the Midwest with good internships,affordable computer science schools in the midwest with good internships,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,multi_constraint,advisor,multi_constraint:1,advisor:1,Data - Shivansh.csv,Data - Shivansh.csv:3689
f20a9b792dc5fdf1,affordable computer science schools in the Midwest with good job placement,affordable computer science schools in the midwest with good job placement,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,llm_needed:1,llm_needed:1,,multi_constraint,counselor_teacher,multi_constraint:1,counselor_teacher:1,Data - Shivansh.csv,Data - Shivansh.csv:2221
717225a642cedf4c,affordable computer science schools near a major tech hub with good job placement,affordable computer science schools near a major tech hub with good job placement,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,multi_constraint,high_school_student,multi_constraint:1,high_school_student:1,Data - Shivansh.csv,Data - Shivansh.csv:1278
bf300f573f4ba690,affordable computer science schools near a tech hub with good internships,affordable computer science schools near a tech hub with good internships,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,multi_constraint,counselor_teacher,multi_constraint:1,counselor_teacher:1,Data - Shivansh.csv,Data - Shivansh.csv:4292
8c8ab5748f07e8eb,affordable computer science schools near Chicago with good internships,affordable computer science schools near chicago with good internships,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,3,complex:3,complex:3,,multi_constraint,college_student,multi_constraint:3,advisor:1|college_student:1|counselor_teacher:1,Data - Shivansh.csv,Data - Shivansh.csv:2558|Data - Shivansh.csv:2826|Data - Shivansh.csv:3363
c6684a27ae995e45,affordable computer science schools near the beach with good internships,affordable computer science schools near the beach with good internships,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,multi_constraint,counselor_teacher,multi_constraint:1,counselor_teacher:1,Data - Shivansh.csv,Data - Shivansh.csv:4072
892332887324fa4a,affordable computer science schools near the beach with good job placement,affordable computer science schools near the beach with good job placement,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,multi_constraint,parent,multi_constraint:1,parent:1,Data - Shivansh.csv,Data - Shivansh.csv:912
9b211bcf4a9a8471,affordable cs programs with above average starting salaries,affordable cs programs with above average starting salaries,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,multi_constraint,parent,multi_constraint:1,parent:1,Data - Nimisha.csv,Data - Nimisha.csv:82
33a805c34be08476,affordable data science schools in California with good job placement,affordable data science schools in california with good job placement,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,multi_constraint,college_student,multi_constraint:1,college_student:1,Data - Shivansh.csv,Data - Shivansh.csv:1099
ef957029eab41152,affordable data science schools in warm states with good internships,affordable data science schools in warm states with good internships,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,multi_constraint,college_student,multi_constraint:1,college_student:1,Data - Shivansh.csv,Data - Shivansh.csv:3604
739d786282cd8dae,affordable data science schools in warm states with good job placement,affordable data science schools in warm states with good job placement,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,multi_constraint,counselor_teacher,multi_constraint:1,counselor_teacher:1,Data - Shivansh.csv,Data - Shivansh.csv:1392
ec05ff2351bfe620,affordable data science schools near Chicago with good internships,affordable data science schools near chicago with good internships,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,multi_constraint,college_student,multi_constraint:1,college_student:1,Data - Shivansh.csv,Data - Shivansh.csv:2730
5e212d1cc780aa1b,affordable data science schools near the beach with good job placement,affordable data science schools near the beach with good job placement,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,multi_constraint,high_school_student,multi_constraint:1,high_school_student:1,Data - Shivansh.csv,Data - Shivansh.csv:76
03f28600df4d77eb,affordable economics schools in California with good job placement,affordable economics schools in california with good job placement,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,multi_constraint,advisor,multi_constraint:1,advisor:1,Data - Shivansh.csv,Data - Shivansh.csv:1575
ca192d527849aec2,affordable economics schools in Texas with good internships,affordable economics schools in texas with good internships,complex,intent_policy,0.98,Recognized intents consistently map to one frozen V1 route,,0.0,1,complex:1,complex:1,,multi_constraint,parent,multi_constraint:1,parent:1,Data - Shivansh.csv,Data - Shivansh.csv:3208
