query_text,true_persona,true_intent,expected_route,expected_tier,notes,entity_types,normalization_flags
recommend colleges in Texas for biology under 30k,high_school_student,recommendation,recommendation_workflow,complex,gold label; high_school_student; recommendation,"major_or_program,location",
what schools should i apply to for psychology,high_school_student,filtered_search,semantic_or_faceted_search,medium,gold label; high_school_student; recommendation,major_or_program,intent:filtered_search_pattern
schools like Purdue but cheaper,high_school_student,rewrite_needed,rewrite_then_route,complex,gold label; high_school_student; recommendation,"school,rewrite_cue",intent:rewrite_pattern
recommend colleges in the Midwest for architecture with scholarships,high_school_student,recommendation,recommendation_workflow,complex,gold label; high_school_student; recommendation,"major_or_program,location,cost_constraint",
how do i apply to UT Austin,high_school_student,admissions_process,faq_or_guidance,medium,gold label; high_school_student; admissions_process,school,
how do i apply to Cornell,high_school_student,admissions_process,faq_or_guidance,medium,gold label; high_school_student; admissions_process,school,
Virginia Tech application deadlines,high_school_student,admissions_process,faq_or_guidance,medium,gold label; high_school_student; admissions_process,"school,admissions_or_attribute_signal",
what essays does Cornell require,high_school_student,admissions_process,faq_or_guidance,medium,gold label; high_school_student; admissions_process,school,
Stanford financial aid for out of state,high_school_student,cost_financial_aid,finance_guidance,medium,gold label; high_school_student; cost_financial_aid,"school,cost_constraint",
cheapest economics schools in the Midwest,high_school_student,filtered_search,semantic_or_faceted_search,medium,gold label; high_school_student; cost_financial_aid,"major_or_program,location",intent:filtered_search_pattern
Brown scholarships,high_school_student,cost_financial_aid,finance_guidance,medium,gold label; high_school_student; cost_financial_aid,"school,cost_constraint",
cheapest nursing schools in the Midwest,high_school_student,filtered_search,semantic_or_faceted_search,medium,gold label; high_school_student; cost_financial_aid,"major_or_program,location",intent:filtered_search_pattern
Purdue campus culture,high_school_student,campus_life_fit,llm_advisory,complex,gold label; high_school_student; campus_life_fit,"school,fit_or_culture_cue",
schools with collaborative culture,high_school_student,campus_life_fit,llm_advisory,complex,gold label; high_school_student; campus_life_fit,fit_or_culture_cue,
Cornell job placement for data science,high_school_student,career_outcomes,outcomes_pipeline,medium,gold label; high_school_student; career_outcomes,"school,career_outcome_cue",
best colleges for psychology job outcomes,high_school_student,career_outcomes,outcomes_pipeline,medium,gold label; high_school_student; career_outcomes,"major_or_program,career_outcome_cue",
schools with high internship placement rates,high_school_student,career_outcomes,outcomes_pipeline,medium,gold label; high_school_student; career_outcomes,career_outcome_cue,
best colleges for nursing job outcomes,high_school_student,career_outcomes,outcomes_pipeline,medium,gold label; high_school_student; career_outcomes,"major_or_program,career_outcome_cue",
harvard but less stressful,high_school_student,rewrite_needed,rewrite_then_route,complex,gold label; high_school_student; rewrite_needed,"school,rewrite_cue",
ucla vibe but not so expensive,high_school_student,rewrite_needed,rewrite_then_route,complex,gold label; high_school_student; rewrite_needed,"school,fit_or_culture_cue,rewrite_cue",
UC Berkeley but cheaper,high_school_student,rewrite_needed,rewrite_then_route,complex,gold label; high_school_student; rewrite_needed,"school,rewrite_cue",
how can our university join the platform,college_b2b,b2b_partnership,b2b_workflow,medium,gold label; high_school_student; b2b_partnership,b2b_request_type,persona:b2b_pattern
api access for college partners,college_b2b,b2b_partnership,b2b_workflow,medium,gold label; high_school_student; b2b_partnership,b2b_request_type,persona:b2b_pattern
pricing for partner universities,college_b2b,b2b_partnership,b2b_workflow,medium,gold label; high_school_student; b2b_partnership,b2b_request_type,persona:b2b_pattern
request demo for admissions office,college_b2b,b2b_partnership,b2b_workflow,medium,gold label; high_school_student; b2b_partnership,"admissions_or_attribute_signal,b2b_request_type",persona:b2b_pattern
Carnegie Mellon research opportunities for undergrads,college_student,attribute_lookup,typesense_plus_metadata,easy,gold label; college_student; direct_lookup,school,intent:undergrad_research_pattern
UC Berkeley research opportunities for undergrads,college_student,attribute_lookup,typesense_plus_metadata,easy,gold label; college_student; direct_lookup,school,intent:undergrad_research_pattern
princeton,high_school_student,direct_lookup,typesense_only,easy,gold label; college_student; direct_lookup,school,persona:school_only_pattern
Stanford research opportunities for undergrads,college_student,attribute_lookup,typesense_plus_metadata,easy,gold label; college_student; direct_lookup,school,intent:undergrad_research_pattern
does Brown have biology,college_student,attribute_lookup,typesense_plus_metadata,easy,gold label; college_student; attribute_lookup,"school,major_or_program",
can i transfer credits into Brown,college_student,admissions_process,faq_or_guidance,medium,gold label; college_student; attribute_lookup,school,intent:transfer_credit_pattern
can i transfer credits into UCLA,college_student,admissions_process,faq_or_guidance,medium,gold label; college_student; attribute_lookup,school,intent:transfer_credit_pattern
Virginia Tech acceptance rate,college_student,attribute_lookup,typesense_plus_metadata,easy,gold label; college_student; attribute_lookup,"school,admissions_or_attribute_signal",
University of Washington research opportunities for undergrads,college_student,attribute_lookup,typesense_plus_metadata,easy,gold label; college_student; filtered_search,school,intent:undergrad_research_pattern
best data science schools in warm states,college_student,filtered_search,semantic_or_faceted_search,medium,gold label; college_student; filtered_search,location,
UT Austin research opportunities for undergrads,college_student,attribute_lookup,typesense_plus_metadata,easy,gold label; college_student; filtered_search,school,intent:undergrad_research_pattern
best psychology schools in California,college_student,filtered_search,semantic_or_faceted_search,medium,gold label; college_student; filtered_search,"major_or_program,location",
Harvard research opportunities for undergrads,college_student,attribute_lookup,typesense_plus_metadata,easy,gold label; college_student; multi_constraint,school,intent:undergrad_research_pattern
University of Washington research opportunities for undergrads,college_student,attribute_lookup,typesense_plus_metadata,easy,gold label; college_student; multi_constraint,school,intent:undergrad_research_pattern
can i transfer credits into NYU,college_student,admissions_process,faq_or_guidance,medium,gold label; college_student; multi_constraint,school,intent:transfer_credit_pattern
can i transfer credits into Duke,college_student,admissions_process,faq_or_guidance,medium,gold label; college_student; multi_constraint,school,intent:transfer_credit_pattern
USC research opportunities for undergrads,college_student,attribute_lookup,typesense_plus_metadata,easy,gold label; college_student; comparison,school,intent:undergrad_research_pattern
can i transfer credits into Cornell,college_student,admissions_process,faq_or_guidance,medium,gold label; college_student; comparison,school,intent:transfer_credit_pattern
Stanford research opportunities for undergrads,college_student,attribute_lookup,typesense_plus_metadata,easy,gold label; college_student; comparison,school,intent:undergrad_research_pattern
Virginia Tech tuition vs University of Washington tuition,college_student,comparison,compare_pipeline,complex,gold label; college_student; comparison,"school,comparison_target,cost_constraint",
can i transfer credits into Columbia,college_student,admissions_process,faq_or_guidance,medium,gold label; college_student; recommendation,school,intent:transfer_credit_pattern
USC research opportunities for undergrads,college_student,attribute_lookup,typesense_plus_metadata,easy,gold label; college_student; recommendation,school,intent:undergrad_research_pattern
schools like University of Michigan but cheaper,college_student,rewrite_needed,rewrite_then_route,complex,gold label; college_student; recommendation,"school,rewrite_cue",intent:rewrite_pattern
Columbia research opportunities for undergrads,college_student,attribute_lookup,typesense_plus_metadata,easy,gold label; college_student; recommendation,school,intent:undergrad_research_pattern
do i need sat for Duke,college_student,admissions_process,faq_or_guidance,medium,gold label; college_student; admissions_process,"school,admissions_or_attribute_signal",
can i transfer credits into University of Washington,college_student,admissions_process,faq_or_guidance,medium,gold label; college_student; admissions_process,school,
can i transfer credits into NYU,college_student,admissions_process,faq_or_guidance,medium,gold label; college_student; admissions_process,school,
USC application deadlines,college_student,admissions_process,faq_or_guidance,medium,gold label; college_student; admissions_process,"school,admissions_or_attribute_signal",
Purdue research opportunities for undergrads,college_student,attribute_lookup,typesense_plus_metadata,easy,gold label; college_student; cost_financial_aid,school,intent:undergrad_research_pattern
Brown scholarships,college_student,cost_financial_aid,finance_guidance,medium,gold label; college_student; cost_financial_aid,"school,cost_constraint",
University of Michigan scholarships,college_student,cost_financial_aid,finance_guidance,medium,gold label; college_student; cost_financial_aid,"school,cost_constraint",
University of Michigan research opportunities for undergrads,college_student,attribute_lookup,typesense_plus_metadata,easy,gold label; college_student; cost_financial_aid,school,intent:undergrad_research_pattern
can i transfer credits into Columbia,college_student,admissions_process,faq_or_guidance,medium,gold label; college_student; campus_life_fit,school,intent:transfer_credit_pattern
can i transfer credits into Cornell,college_student,admissions_process,faq_or_guidance,medium,gold label; college_student; campus_life_fit,school,intent:transfer_credit_pattern
can i transfer credits into UC Berkeley,college_student,admissions_process,faq_or_guidance,medium,gold label; college_student; campus_life_fit,school,intent:transfer_credit_pattern
can i transfer credits into Northwestern,college_student,admissions_process,faq_or_guidance,medium,gold label; college_student; campus_life_fit,school,intent:transfer_credit_pattern
can i transfer credits into Carnegie Mellon,college_student,admissions_process,faq_or_guidance,medium,gold label; college_student; career_outcomes,school,intent:transfer_credit_pattern
can i transfer credits into UC Berkeley,college_student,admissions_process,faq_or_guidance,medium,gold label; college_student; career_outcomes,school,intent:transfer_credit_pattern
UT Austin research opportunities for undergrads,college_student,attribute_lookup,typesense_plus_metadata,easy,gold label; college_student; career_outcomes,school,intent:undergrad_research_pattern
Harvard research opportunities for undergrads,college_student,attribute_lookup,typesense_plus_metadata,easy,gold label; college_student; career_outcomes,school,intent:undergrad_research_pattern
harvard but less stressful,college_student,rewrite_needed,rewrite_then_route,complex,gold label; college_student; rewrite_needed,"school,rewrite_cue",
Brown research opportunities for undergrads,college_student,attribute_lookup,typesense_plus_metadata,easy,gold label; college_student; rewrite_needed,school,intent:undergrad_research_pattern
NYU but cheaper,college_student,rewrite_needed,rewrite_then_route,complex,gold label; college_student; rewrite_needed,"school,rewrite_cue",
UT Austin research opportunities for undergrads,college_student,attribute_lookup,typesense_plus_metadata,easy,gold label; college_student; rewrite_needed,school,intent:undergrad_research_pattern
can i transfer credits into UCLA,college_student,admissions_process,faq_or_guidance,medium,gold label; college_student; b2b_partnership,school,intent:transfer_credit_pattern
can i transfer credits into Carnegie Mellon,college_student,admissions_process,faq_or_guidance,medium,gold label; college_student; b2b_partnership,school,intent:transfer_credit_pattern
Duke research opportunities for undergrads,college_student,attribute_lookup,typesense_plus_metadata,easy,gold label; college_student; b2b_partnership,school,intent:undergrad_research_pattern
UT Austin research opportunities for undergrads,college_student,attribute_lookup,typesense_plus_metadata,easy,gold label; college_student; b2b_partnership,school,intent:undergrad_research_pattern
is Harvard safe for students,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; direct_lookup,school,intent:safety_attribute_pattern
four year cost of Georgia Tech including housing,parent,cost_financial_aid,finance_guidance,medium,gold label; parent; direct_lookup,"school,cost_constraint,admissions_or_attribute_signal",intent:four_year_cost_pattern
Duke overview,high_school_student,direct_lookup,typesense_only,easy,gold label; parent; direct_lookup,"school,admissions_or_attribute_signal",persona:school_only_pattern
four year cost of Brown including housing,parent,cost_financial_aid,finance_guidance,medium,gold label; parent; direct_lookup,"school,cost_constraint,admissions_or_attribute_signal",intent:four_year_cost_pattern
is University of Michigan safe for students,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; attribute_lookup,school,
Carnegie Mellon housing guarantee,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; attribute_lookup,"school,admissions_or_attribute_signal",
is Stanford safe for students,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; attribute_lookup,school,
is Harvard safe for students,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; attribute_lookup,school,
is USC safe for students,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; filtered_search,school,intent:safety_attribute_pattern
four year cost of Duke including housing,parent,cost_financial_aid,finance_guidance,medium,gold label; parent; filtered_search,"school,cost_constraint,admissions_or_attribute_signal",intent:four_year_cost_pattern
Princeton housing guarantee,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; filtered_search,"school,admissions_or_attribute_signal",intent:housing_guarantee_pattern
Brown housing guarantee,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; filtered_search,"school,admissions_or_attribute_signal",intent:housing_guarantee_pattern
four year cost of Harvard including housing,parent,cost_financial_aid,finance_guidance,medium,gold label; parent; multi_constraint,"school,cost_constraint,admissions_or_attribute_signal",intent:four_year_cost_pattern
UT Austin housing guarantee,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; multi_constraint,"school,admissions_or_attribute_signal",intent:housing_guarantee_pattern
colleges in warm states with scholarships with strong research and campus safety,parent,multi_constraint,foundry_multi_agent,complex,gold label; parent; multi_constraint,"location,cost_constraint",
four year cost of Carnegie Mellon including housing,parent,cost_financial_aid,finance_guidance,medium,gold label; parent; multi_constraint,"school,cost_constraint,admissions_or_attribute_signal",intent:four_year_cost_pattern
is Columbia safe for students,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; comparison,school,intent:safety_attribute_pattern
four year cost of USC including housing,parent,cost_financial_aid,finance_guidance,medium,gold label; parent; comparison,"school,cost_constraint,admissions_or_attribute_signal",intent:four_year_cost_pattern
four year cost of Columbia including housing,parent,cost_financial_aid,finance_guidance,medium,gold label; parent; comparison,"school,cost_constraint,admissions_or_attribute_signal",intent:four_year_cost_pattern
UCLA housing guarantee,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; comparison,"school,admissions_or_attribute_signal",intent:housing_guarantee_pattern
Northwestern housing guarantee,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; recommendation,"school,admissions_or_attribute_signal",intent:housing_guarantee_pattern
four year cost of Princeton including housing,parent,cost_financial_aid,finance_guidance,medium,gold label; parent; recommendation,"school,cost_constraint,admissions_or_attribute_signal",intent:four_year_cost_pattern
Virginia Tech housing guarantee,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; recommendation,"school,admissions_or_attribute_signal",intent:housing_guarantee_pattern
four year cost of Columbia including housing,parent,cost_financial_aid,finance_guidance,medium,gold label; parent; recommendation,"school,cost_constraint,admissions_or_attribute_signal",intent:four_year_cost_pattern
Princeton housing guarantee,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; admissions_process,"school,admissions_or_attribute_signal",intent:housing_guarantee_pattern
Purdue housing guarantee,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; admissions_process,"school,admissions_or_attribute_signal",intent:housing_guarantee_pattern
is Virginia Tech safe for students,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; admissions_process,school,intent:safety_attribute_pattern
four year cost of University of Washington including housing,parent,cost_financial_aid,finance_guidance,medium,gold label; parent; admissions_process,"school,cost_constraint,admissions_or_attribute_signal",intent:four_year_cost_pattern
four year cost of Stanford including housing,parent,cost_financial_aid,finance_guidance,medium,gold label; parent; cost_financial_aid,"school,cost_constraint,admissions_or_attribute_signal",
Duke scholarships,parent,cost_financial_aid,finance_guidance,medium,gold label; parent; cost_financial_aid,"school,cost_constraint",
four year cost of University of Washington including housing,parent,cost_financial_aid,finance_guidance,medium,gold label; parent; cost_financial_aid,"school,cost_constraint,admissions_or_attribute_signal",
cheapest psychology schools in Texas,parent,filtered_search,semantic_or_faceted_search,medium,gold label; parent; cost_financial_aid,"major_or_program,location",intent:filtered_search_pattern
schools good for introverts,parent,campus_life_fit,llm_advisory,complex,gold label; parent; campus_life_fit,fit_or_culture_cue,
Georgia Tech housing guarantee,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; campus_life_fit,"school,admissions_or_attribute_signal",intent:housing_guarantee_pattern
four year cost of Harvard including housing,parent,cost_financial_aid,finance_guidance,medium,gold label; parent; campus_life_fit,"school,cost_constraint,admissions_or_attribute_signal",intent:four_year_cost_pattern
four year cost of UC Berkeley including housing,parent,cost_financial_aid,finance_guidance,medium,gold label; parent; campus_life_fit,"school,cost_constraint,admissions_or_attribute_signal",intent:four_year_cost_pattern
four year cost of Virginia Tech including housing,parent,cost_financial_aid,finance_guidance,medium,gold label; parent; career_outcomes,"school,cost_constraint,admissions_or_attribute_signal",intent:four_year_cost_pattern
four year cost of Northwestern including housing,parent,cost_financial_aid,finance_guidance,medium,gold label; parent; career_outcomes,"school,cost_constraint,admissions_or_attribute_signal",intent:four_year_cost_pattern
is UC Berkeley safe for students,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; career_outcomes,school,intent:safety_attribute_pattern
is Duke safe for students,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; career_outcomes,school,intent:safety_attribute_pattern
UCLA housing guarantee,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; rewrite_needed,"school,admissions_or_attribute_signal",intent:housing_guarantee_pattern
four year cost of Virginia Tech including housing,parent,cost_financial_aid,finance_guidance,medium,gold label; parent; rewrite_needed,"school,cost_constraint,admissions_or_attribute_signal",intent:four_year_cost_pattern
UC Berkeley housing guarantee,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; rewrite_needed,"school,admissions_or_attribute_signal",intent:housing_guarantee_pattern
four year cost of Brown including housing,parent,cost_financial_aid,finance_guidance,medium,gold label; parent; rewrite_needed,"school,cost_constraint,admissions_or_attribute_signal",intent:four_year_cost_pattern
four year cost of USC including housing,parent,cost_financial_aid,finance_guidance,medium,gold label; parent; b2b_partnership,"school,cost_constraint,admissions_or_attribute_signal",intent:four_year_cost_pattern
four year cost of UC Berkeley including housing,parent,cost_financial_aid,finance_guidance,medium,gold label; parent; b2b_partnership,"school,cost_constraint,admissions_or_attribute_signal",intent:four_year_cost_pattern
pricing for partner universities,college_b2b,b2b_partnership,b2b_workflow,medium,gold label; parent; b2b_partnership,b2b_request_type,persona:b2b_pattern
Columbia housing guarantee,parent,attribute_lookup,typesense_plus_metadata,easy,gold label; parent; b2b_partnership,"school,admissions_or_attribute_signal",intent:housing_guarantee_pattern
best fit colleges for students interested in business,counselor_teacher,filtered_search,semantic_or_faceted_search,medium,gold label; counselor_teacher; direct_lookup,major_or_program,"intent:best_fit_pattern,intent:filtered_search_pattern"
MIT overview,high_school_student,direct_lookup,typesense_only,easy,gold label; counselor_teacher; direct_lookup,"school,admissions_or_attribute_signal",persona:school_only_pattern
Carnegie Mellon,high_school_student,direct_lookup,typesense_only,easy,gold label; counselor_teacher; direct_lookup,school,persona:school_only_pattern
University of Washington admissions profile average sat and gpa,counselor_teacher,admissions_process,faq_or_guidance,medium,gold label; counselor_teacher; direct_lookup,"school,admissions_or_attribute_signal",intent:admissions_profile_pattern
Harvard tuition,counselor_teacher,cost_financial_aid,finance_guidance,medium,gold label; counselor_teacher; attribute_lookup,"school,cost_constraint",intent:cost_pattern
Harvard admissions profile average sat and gpa,counselor_teacher,admissions_process,faq_or_guidance,medium,gold label; counselor_teacher; attribute_lookup,"school,admissions_or_attribute_signal",intent:admissions_profile_pattern
best fit colleges for students interested in economics,counselor_teacher,filtered_search,semantic_or_faceted_search,medium,gold label; counselor_teacher; attribute_lookup,major_or_program,"intent:best_fit_pattern,intent:filtered_search_pattern"
best fit colleges for students interested in computer science,counselor_teacher,filtered_search,semantic_or_faceted_search,medium,gold label; counselor_teacher; attribute_lookup,major_or_program,"intent:best_fit_pattern,intent:filtered_search_pattern"
schools near a tech hub with strong research,counselor_teacher,multi_constraint,foundry_multi_agent,complex,gold label; counselor_teacher; filtered_search,,intent:multi_constraint_pattern
schools in California with strong research,counselor_teacher,multi_constraint,foundry_multi_agent,complex,gold label; counselor_teacher; filtered_search,location,intent:multi_constraint_pattern
schools in warm states with strong research,counselor_teacher,multi_constraint,foundry_multi_agent,complex,gold label; counselor_teacher; filtered_search,location,intent:multi_constraint_pattern
schools with strong first gen support,counselor_teacher,filtered_search,semantic_or_faceted_search,medium,gold label; counselor_teacher; filtered_search,,
schools with strong first gen support,counselor_teacher,filtered_search,semantic_or_faceted_search,medium,gold label; counselor_teacher; multi_constraint,,intent:first_gen_support_pattern
colleges in the Midwest under 40k with strong research and campus safety,counselor_teacher,multi_constraint,foundry_multi_agent,complex,gold label; counselor_teacher; multi_constraint,location,
affordable data science schools near Chicago under 20k with good internships,counselor_teacher,multi_constraint,foundry_multi_agent,complex,gold label; counselor_teacher; multi_constraint,location,
Purdue vs Harvard,counselor_teacher,comparison,compare_pipeline,complex,gold label; counselor_teacher; comparison,"school,comparison_target",
Duke vs USC,counselor_teacher,comparison,compare_pipeline,complex,gold label; counselor_teacher; comparison,"school,comparison_target",
schools with strong first gen support,counselor_teacher,filtered_search,semantic_or_faceted_search,medium,gold label; counselor_teacher; comparison,,intent:first_gen_support_pattern
USC admissions profile average sat and gpa,counselor_teacher,admissions_process,faq_or_guidance,medium,gold label; counselor_teacher; comparison,"school,admissions_or_attribute_signal",intent:admissions_profile_pattern
what schools should i apply to for business,counselor_teacher,filtered_search,semantic_or_faceted_search,medium,gold label; counselor_teacher; recommendation,major_or_program,intent:filtered_search_pattern
Georgia Tech admissions profile average sat and gpa,counselor_teacher,admissions_process,faq_or_guidance,medium,gold label; counselor_teacher; recommendation,"school,admissions_or_attribute_signal",intent:admissions_profile_pattern
Virginia Tech admissions profile average sat and gpa,counselor_teacher,admissions_process,faq_or_guidance,medium,gold label; counselor_teacher; recommendation,"school,admissions_or_attribute_signal",intent:admissions_profile_pattern
best fit colleges for students interested in biology,counselor_teacher,filtered_search,semantic_or_faceted_search,medium,gold label; counselor_teacher; recommendation,major_or_program,intent:filtered_search_pattern
University of Michigan admissions profile average sat and gpa,counselor_teacher,admissions_process,faq_or_guidance,medium,gold label; counselor_teacher; admissions_process,"school,admissions_or_attribute_signal",
best fit colleges for students interested in computer science,counselor_teacher,filtered_search,semantic_or_faceted_search,medium,gold label; counselor_teacher; admissions_process,major_or_program,"intent:best_fit_pattern,intent:filtered_search_pattern"
what essays does MIT require,counselor_teacher,admissions_process,faq_or_guidance,medium,gold label; counselor_teacher; admissions_process,school,
best fit colleges for students interested in engineering,counselor_teacher,filtered_search,semantic_or_faceted_search,medium,gold label; counselor_teacher; cost_financial_aid,major_or_program,"intent:best_fit_pattern,intent:filtered_search_pattern"
schools with strong first gen support,counselor_teacher,filtered_search,semantic_or_faceted_search,medium,gold label; counselor_teacher; cost_financial_aid,,intent:first_gen_support_pattern
Virginia Tech scholarships,counselor_teacher,cost_financial_aid,finance_guidance,medium,gold label; counselor_teacher; cost_financial_aid,"school,cost_constraint",
best fit colleges for students interested in computer science,counselor_teacher,filtered_search,semantic_or_faceted_search,medium,gold label; counselor_teacher; campus_life_fit,major_or_program,"intent:best_fit_pattern,intent:filtered_search_pattern"
schools with strong first gen support,counselor_teacher,filtered_search,semantic_or_faceted_search,medium,gold label; counselor_teacher; campus_life_fit,,intent:first_gen_support_pattern
Stanford admissions profile average sat and gpa,counselor_teacher,admissions_process,faq_or_guidance,medium,gold label; counselor_teacher; campus_life_fit,"school,admissions_or_attribute_signal",intent:admissions_profile_pattern
NYU admissions profile average sat and gpa,counselor_teacher,admissions_process,faq_or_guidance,medium,gold label; counselor_teacher; campus_life_fit,"school,admissions_or_attribute_signal",intent:admissions_profile_pattern
schools with strong first gen support,counselor_teacher,filtered_search,semantic_or_faceted_search,medium,gold label; counselor_teacher; career_outcomes,,intent:first_gen_support_pattern
best fit colleges for students interested in mechanical engineering,counselor_teacher,filtered_search,semantic_or_faceted_search,medium,gold label; counselor_teacher; career_outcomes,major_or_program,"intent:best_fit_pattern,intent:filtered_search_pattern"
Princeton admissions profile average sat and gpa,counselor_teacher,admissions_process,faq_or_guidance,medium,gold label; counselor_teacher; career_outcomes,"school,admissions_or_attribute_signal",intent:admissions_profile_pattern
schools with strong first gen support,counselor_teacher,filtered_search,semantic_or_faceted_search,medium,gold label; counselor_teacher; rewrite_needed,,intent:first_gen_support_pattern
best fit colleges for students interested in data science,counselor_teacher,filtered_search,semantic_or_faceted_search,medium,gold label; counselor_teacher; rewrite_needed,,"intent:best_fit_pattern,intent:filtered_search_pattern"
Cornell admissions profile average sat and gpa,counselor_teacher,admissions_process,faq_or_guidance,medium,gold label; counselor_teacher; rewrite_needed,"school,admissions_or_attribute_signal",intent:admissions_profile_pattern
best fit colleges for students interested in computer science,counselor_teacher,filtered_search,semantic_or_faceted_search,medium,gold label; counselor_teacher; rewrite_needed,major_or_program,"intent:best_fit_pattern,intent:filtered_search_pattern"
request demo for admissions office,college_b2b,b2b_partnership,b2b_workflow,medium,gold label; counselor_teacher; b2b_partnership,"admissions_or_attribute_signal,b2b_request_type",persona:b2b_pattern
pricing for partner universities,college_b2b,b2b_partnership,b2b_workflow,medium,gold label; counselor_teacher; b2b_partnership,b2b_request_type,persona:b2b_pattern
Harvard admissions profile average sat and gpa,counselor_teacher,admissions_process,faq_or_guidance,medium,gold label; counselor_teacher; b2b_partnership,"school,admissions_or_attribute_signal",intent:admissions_profile_pattern
best options for a student switching into computer science,advisor,recommendation,recommendation_workflow,complex,gold label; advisor; direct_lookup,major_or_program,intent:advisor_switching_pattern
create reach target safety list for mechanical engineering in warm states under 30k,advisor,multi_constraint,foundry_multi_agent,complex,gold label; advisor; direct_lookup,"major_or_program,location",intent:advisor_list_pattern
best options for a student switching into psychology,advisor,recommendation,recommendation_workflow,complex,gold label; advisor; direct_lookup,major_or_program,intent:advisor_switching_pattern
University of Michigan housing policy,advisor,attribute_lookup,typesense_plus_metadata,easy,gold label; advisor; attribute_lookup,"school,admissions_or_attribute_signal",
best options for a student switching into data science,advisor,recommendation,recommendation_workflow,complex,gold label; advisor; attribute_lookup,,intent:advisor_switching_pattern
create reach target safety list for mechanical engineering near a tech hub with strong aid,advisor,multi_constraint,foundry_multi_agent,complex,gold label; advisor; attribute_lookup,major_or_program,intent:advisor_list_pattern
