query_text,persona,intent_label,complexity,notes,route,tier,entity_types,normalization_flags
affordable engineering schools near the beach with good job placement,advisor,career_outcomes,complex,multi-constraint; advisor framing,outcomes_pipeline,medium,"major_or_program,location,career_outcome_cue",intent:career_pattern
create reach target safety list for film in Texas under 40k,advisor,multi_constraint,complex,compare entities; advisor framing,foundry_multi_agent,complex,"major_or_program,location",intent:advisor_list_pattern
what schools should i apply to for political science in Texas good financial aid,advisor,recommendation,complex,needs recommendations,recommendation_workflow,complex,"location,cost_constraint",
do i need sat for Brown,advisor,admissions_process,medium,how-to / admissions,faq_or_guidance,medium,"school,admissions_or_attribute_signal",
University of Michigan scholarships,advisor,cost_financial_aid,medium,cost / aid; advisor framing,finance_guidance,medium,"school,cost_constraint",
create reach target safety list for pre-law in California full ride options,advisor,multi_constraint,llm_needed,subjective fit; advisor framing,foundry_multi_agent,complex,"major_or_program,location,cost_constraint",intent:advisor_list_pattern
best colleges for film job outcomes,advisor,career_outcomes,medium,outcomes,outcomes_pipeline,medium,"major_or_program,career_outcome_cue",
harvard but less stressful,advisor,rewrite_needed,complex,needs rewrite,rewrite_then_route,complex,"school,rewrite_cue",
enterprise access for counselors and districts,college_b2b,b2b_partnership,medium,B2B; advisor framing,b2b_workflow,medium,b2b_request_type,persona:b2b_pattern
how do we update our school profile data,college_b2b,b2b_partnership,short_circuit,B2B (forced),b2b_workflow,medium,b2b_request_type,intent:b2b_override
how do we update our school profile data,college_b2b,b2b_partnership,short_circuit,B2B (forced),b2b_workflow,medium,b2b_request_type,intent:b2b_override
request demo for our admissions team,college_b2b,b2b_partnership,medium,B2B (forced),b2b_workflow,medium,"admissions_or_attribute_signal,b2b_request_type",intent:b2b_override
how do we update our school profile data,college_b2b,b2b_partnership,complex,B2B (forced),b2b_workflow,medium,b2b_request_type,intent:b2b_override
request demo for our admissions team,college_b2b,b2b_partnership,complex,B2B (forced),b2b_workflow,medium,"admissions_or_attribute_signal,b2b_request_type",intent:b2b_override
request demo for our admissions team,college_b2b,b2b_partnership,complex,B2B (forced),b2b_workflow,medium,"admissions_or_attribute_signal,b2b_request_type",intent:b2b_override
how do we update our school profile data,college_b2b,b2b_partnership,medium,B2B (forced),b2b_workflow,medium,b2b_request_type,intent:b2b_override
request demo for our admissions team,college_b2b,b2b_partnership,medium,B2B (forced),b2b_workflow,medium,"admissions_or_attribute_signal,b2b_request_type",intent:b2b_override
api access for college partners,college_b2b,b2b_partnership,llm_needed,B2B (forced),b2b_workflow,medium,b2b_request_type,intent:b2b_override
how do we update our school profile data,college_b2b,b2b_partnership,medium,B2B (forced),b2b_workflow,medium,b2b_request_type,intent:b2b_override
how do we update our school profile data,college_b2b,b2b_partnership,complex,B2B (forced),b2b_workflow,medium,b2b_request_type,intent:b2b_override
request demo for our admissions team,college_b2b,b2b_partnership,medium,B2B,b2b_workflow,medium,"admissions_or_attribute_signal,b2b_request_type",
penn state,high_school_student,direct_lookup,short_circuit,simple entity; complexity_seed,typesense_only,easy,school,
colleges near the beach,high_school_student,filtered_search,medium,1–2 filters; complexity_seed,semantic_or_faceted_search,medium,location,
affordable data science schools near the beach with good job placement,high_school_student,career_outcomes,complex,multi-constraint; complexity_seed,outcomes_pipeline,medium,"location,career_outcome_cue",intent:career_pattern
schools good for normal people,high_school_student,campus_life_fit,llm_needed,subjective fit; complexity_seed,llm_advisory,complex,fit_or_culture_cue,
Princeton,high_school_student,direct_lookup,short_circuit,simple entity; complexity_seed,typesense_only,easy,school,persona:school_only_pattern
schools in the Midwest with low student-to-faculty ratio,college_student,filtered_search,medium,1–2 filters; complexity_seed,semantic_or_faceted_search,medium,location,
colleges near Chicago under 30k with strong research and internships,college_student,multi_constraint,complex,multi-constraint; complexity_seed,foundry_multi_agent,complex,location,
colleges where people dont care about football,college_student,filtered_search,llm_needed,subjective fit; complexity_seed,semantic_or_faceted_search,medium,,intent:filtered_search_pattern
university of michigan,high_school_student,direct_lookup,short_circuit,simple entity; complexity_seed,typesense_only,easy,school,persona:school_only_pattern
universities with strong psychology,parent,filtered_search,medium,1–2 filters; complexity_seed,semantic_or_faceted_search,medium,major_or_program,
four year cost of UC Berkeley including housing,parent,cost_financial_aid,complex,multi-constraint; parent framing; complexity_seed,finance_guidance,medium,"school,cost_constraint,admissions_or_attribute_signal",intent:four_year_cost_pattern
schools good for introverts,parent,campus_life_fit,llm_needed,subjective fit; complexity_seed,llm_advisory,complex,fit_or_culture_cue,
schools with strong first gen support,counselor_teacher,filtered_search,short_circuit,simple entity; counselor framing; complexity_seed,semantic_or_faceted_search,medium,,intent:first_gen_support_pattern
schools in the Midwest with low student-to-faculty ratio,counselor_teacher,filtered_search,medium,1–2 filters; complexity_seed,semantic_or_faceted_search,medium,location,
Rice University admissions profile average sat and gpa,counselor_teacher,admissions_process,complex,multi-constraint; counselor framing; complexity_seed,faq_or_guidance,medium,"school,admissions_or_attribute_signal",intent:admissions_profile_pattern
colleges where people dont care about football,counselor_teacher,filtered_search,llm_needed,subjective fit; counselor framing; complexity_seed,semantic_or_faceted_search,medium,,intent:filtered_search_pattern
create reach target safety list for business not Florida under 40k,advisor,multi_constraint,short_circuit,simple entity; advisor framing; complexity_seed,foundry_multi_agent,complex,"major_or_program,location",intent:advisor_list_pattern
colleges near a major tech hub,advisor,filtered_search,medium,1–2 filters; complexity_seed,semantic_or_faceted_search,medium,,
colleges near the beach under 40k with strong research and internships,advisor,multi_constraint,complex,multi-constraint; complexity_seed,foundry_multi_agent,complex,location,
Cornell normal people,advisor,campus_life_fit,llm_needed,subjective fit; complexity_seed,llm_advisory,complex,"school,fit_or_culture_cue",
request demo for our admissions team,college_b2b,b2b_partnership,short_circuit,B2B (forced); complexity_seed,b2b_workflow,medium,"admissions_or_attribute_signal,b2b_request_type",intent:b2b_override
how do we update our school profile data,college_b2b,b2b_partnership,medium,B2B (forced); complexity_seed,b2b_workflow,medium,b2b_request_type,intent:b2b_override
how do we update our school profile data,college_b2b,b2b_partnership,complex,B2B (forced); complexity_seed,b2b_workflow,medium,b2b_request_type,intent:b2b_override
request demo for our admissions team,college_b2b,b2b_partnership,llm_needed,B2B (forced); complexity_seed,b2b_workflow,medium,"admissions_or_attribute_signal,b2b_request_type",intent:b2b_override
enterprise access for counselors and districts,college_b2b,b2b_partnership,short_circuit,B2B,b2b_workflow,medium,b2b_request_type,
University of Florida scholarships,counselor_teacher,cost_financial_aid,medium,cost / aid,finance_guidance,medium,"school,location,cost_constraint",
UC Irvine job placement for psychology,parent,career_outcomes,medium,outcomes; parent framing,outcomes_pipeline,medium,"major_or_program,career_outcome_cue",
how do i apply to UC San Diego,high_school_student,admissions_process,medium,how-to / admissions,faq_or_guidance,medium,,
recommend small colleges in Texas for business reach schools,counselor_teacher,recommendation,complex,needs recommendations,recommendation_workflow,complex,"major_or_program,location",
Stanford vs Harvard,advisor,comparison,medium,compare entities; advisor framing,compare_pipeline,complex,"school,comparison_target",
what schools should i apply to for data science in warm states under 20k,high_school_student,filtered_search,complex,needs recommendations,semantic_or_faceted_search,medium,location,intent:filtered_search_pattern
schools with strong first gen support,counselor_teacher,filtered_search,short_circuit,single attribute; counselor framing,semantic_or_faceted_search,medium,,intent:first_gen_support_pattern
Boston University,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,persona:school_only_pattern
Penn State application deadlines,high_school_student,admissions_process,medium,how-to / admissions,faq_or_guidance,medium,"school,admissions_or_attribute_signal",
does Brown have chemistry,high_school_student,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,school,
financial aid for Penn State,counselor_teacher,cost_financial_aid,short_circuit,single attribute,finance_guidance,medium,"school,cost_constraint",intent:cost_pattern
acceptance rate for University of Maryland,parent,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,"school,admissions_or_attribute_signal",
enterprise access for counselors and districts,college_b2b,b2b_partnership,medium,B2B,b2b_workflow,medium,b2b_request_type,
Virginia Tech,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,
schools like Princeton but cheaper,counselor_teacher,rewrite_needed,complex,needs recommendations; counselor framing,rewrite_then_route,complex,"school,rewrite_cue",intent:rewrite_pattern
schools with strong first gen support,counselor_teacher,filtered_search,complex,compare entities; counselor framing,semantic_or_faceted_search,medium,,intent:first_gen_support_pattern
Caltech financial aid for out of state,advisor,cost_financial_aid,medium,cost / aid,finance_guidance,medium,cost_constraint,
harvard but less stressful,parent,rewrite_needed,complex,needs rewrite,rewrite_then_route,complex,"school,rewrite_cue",
NYU job placement for architecture,advisor,career_outcomes,medium,outcomes,outcomes_pipeline,medium,"school,major_or_program,career_outcome_cue",
medium-sized engineering colleges on the East Coast under 40k target schools,counselor_teacher,filtered_search,complex,multi-constraint,semantic_or_faceted_search,medium,"major_or_program,location",intent:filtered_search_pattern
four year cost of University of Washington including housing,parent,cost_financial_aid,complex,outcomes; parent framing,finance_guidance,medium,"school,cost_constraint,admissions_or_attribute_signal",intent:four_year_cost_pattern
does Vanderbilt have neuroscience,parent,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,"school,major_or_program",
medium-sized electrical engineering colleges near Chicago full ride options safety schools,high_school_student,multi_constraint,complex,multi-constraint,foundry_multi_agent,complex,"major_or_program,location,cost_constraint",
University of Florida but cheaper,advisor,rewrite_needed,complex,needs rewrite,rewrite_then_route,complex,"school,location,rewrite_cue",
Stanford housing,high_school_student,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,"school,admissions_or_attribute_signal",
MIT tuition vs Arizona State tuition,high_school_student,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target,cost_constraint",
large neuroscience colleges in Texas under 40k target schools,college_student,filtered_search,complex,multi-constraint,semantic_or_faceted_search,medium,"major_or_program,location",intent:filtered_search_pattern
create reach target safety list for film in warm states full ride options,advisor,multi_constraint,complex,needs rewrite; advisor framing,foundry_multi_agent,complex,"major_or_program,location,cost_constraint",intent:advisor_list_pattern
colleges near the beach,college_student,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,location,
Rice University admissions profile average sat and gpa,counselor_teacher,admissions_process,medium,B2B; counselor framing,faq_or_guidance,medium,"school,admissions_or_attribute_signal",intent:admissions_profile_pattern
universities with strong engineering,parent,filtered_search,medium,1–2 filters; parent framing,semantic_or_faceted_search,medium,major_or_program,
pricing for partner colleges,college_b2b,b2b_partnership,medium,B2B,b2b_workflow,medium,b2b_request_type,persona:b2b_pattern
how do we update our school profile data,college_b2b,b2b_partnership,complex,B2B,b2b_workflow,medium,b2b_request_type,
Northwestern,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,persona:school_only_pattern
MIT scholarships,parent,cost_financial_aid,medium,cost / aid,finance_guidance,medium,"school,cost_constraint",
vanderbilt,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,
Caltech tuition vs Virginia Tech tuition,college_student,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target,cost_constraint",
Carnegie Mellon but cheaper,high_school_student,rewrite_needed,complex,needs rewrite,rewrite_then_route,complex,"school,rewrite_cue",
University of Washington vs Arizona State,parent,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target",
ucla vibe but not so expensive,advisor,rewrite_needed,complex,needs rewrite,rewrite_then_route,complex,"school,fit_or_culture_cue,rewrite_cue",
create reach target safety list for pre-law on the East Coast under 30k,advisor,multi_constraint,complex,multi-constraint; advisor framing,foundry_multi_agent,complex,"major_or_program,location",
pricing for partner colleges,college_b2b,b2b_partnership,medium,B2B,b2b_workflow,medium,b2b_request_type,
best business schools in warm states,college_student,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,"major_or_program,location",
Stanford,high_school_student,direct_lookup,short_circuit,simple entity; counselor framing,typesense_only,easy,school,persona:school_only_pattern
do i need sat for Carnegie Mellon,counselor_teacher,admissions_process,llm_needed,how-to / admissions,faq_or_guidance,medium,"school,admissions_or_attribute_signal",
Vanderbilt chill campus,college_student,campus_life_fit,llm_needed,subjective fit,llm_advisory,complex,"school,fit_or_culture_cue",
colleges where people dont care about football,parent,filtered_search,llm_needed,subjective fit,semantic_or_faceted_search,medium,,intent:filtered_search_pattern
schools with strong first gen support,counselor_teacher,filtered_search,medium,how-to / admissions; counselor framing,semantic_or_faceted_search,medium,,intent:first_gen_support_pattern
colleges near Chicago under 20k with strong research and internships,advisor,multi_constraint,complex,multi-constraint,foundry_multi_agent,complex,location,
recommend small colleges in the Midwest for business target schools,college_student,recommendation,complex,needs recommendations,recommendation_workflow,complex,"major_or_program,location",
ucla vibe but not so expensive,counselor_teacher,rewrite_needed,complex,needs rewrite,rewrite_then_route,complex,"school,fit_or_culture_cue,rewrite_cue",
harvard but less stressful,high_school_student,rewrite_needed,complex,needs rewrite,rewrite_then_route,complex,"school,rewrite_cue",
mit without the suffering,high_school_student,rewrite_needed,complex,needs rewrite,rewrite_then_route,complex,"school,rewrite_cue",
schools in Texas with low student-to-faculty ratio,parent,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,location,
enterprise access for counselors and districts,college_b2b,b2b_partnership,llm_needed,B2B,b2b_workflow,medium,b2b_request_type,
how do we update our school profile data,college_b2b,b2b_partnership,medium,B2B,b2b_workflow,medium,b2b_request_type,persona:b2b_pattern
cheapest pre-law schools near a major tech hub,advisor,filtered_search,short_circuit,cost / aid,semantic_or_faceted_search,medium,major_or_program,intent:filtered_search_pattern
enterprise access for counselors and districts,college_b2b,b2b_partnership,complex,B2B,b2b_workflow,medium,b2b_request_type,
recommend medium-sized colleges in warm states for economics reach schools,parent,recommendation,complex,needs recommendations,recommendation_workflow,complex,"major_or_program,location",
Boston University housing guarantee,parent,attribute_lookup,short_circuit,B2B; parent framing,typesense_plus_metadata,easy,"school,admissions_or_attribute_signal",intent:housing_guarantee_pattern
MIT scholarships,college_student,cost_financial_aid,medium,cost / aid,finance_guidance,medium,"school,cost_constraint",
Purdue tuition vs Rice University tuition,parent,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target,cost_constraint",
schools with high internship placement rates,counselor_teacher,career_outcomes,llm_needed,outcomes,outcomes_pipeline,medium,career_outcome_cue,
schools in Texas with low student-to-faculty ratio,college_student,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,location,
enterprise access for counselors and districts,college_b2b,b2b_partnership,medium,B2B,b2b_workflow,medium,b2b_request_type,persona:b2b_pattern
USC housing guarantee,parent,attribute_lookup,short_circuit,simple entity; parent framing,typesense_plus_metadata,easy,"school,admissions_or_attribute_signal",intent:housing_guarantee_pattern
recommend large colleges in Texas for biology reach schools,parent,recommendation,complex,needs recommendations,recommendation_workflow,complex,"major_or_program,location",
Duke tuition vs University of Maryland tuition,counselor_teacher,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target,cost_constraint",
what essays does Brown require,college_student,admissions_process,medium,how-to / admissions,faq_or_guidance,medium,school,
best colleges for aerospace engineering job outcomes,college_student,career_outcomes,llm_needed,outcomes,outcomes_pipeline,medium,"major_or_program,career_outcome_cue",
colleges near a major tech hub low tuition with strong research and internships,counselor_teacher,multi_constraint,complex,multi-constraint,foundry_multi_agent,complex,cost_constraint,
colleges where people dont care about football,counselor_teacher,filtered_search,llm_needed,subjective fit,semantic_or_faceted_search,medium,,intent:filtered_search_pattern
colleges not Florida good financial aid with strong research and internships,college_student,multi_constraint,complex,multi-constraint,foundry_multi_agent,complex,"location,cost_constraint",
Virginia Tech,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,persona:school_only_pattern
schools with high internship placement rates,advisor,career_outcomes,medium,outcomes,outcomes_pipeline,medium,career_outcome_cue,
University of Michigan job placement for engineering,advisor,career_outcomes,medium,outcomes; advisor framing,outcomes_pipeline,medium,"school,major_or_program,career_outcome_cue",
Harvard financial aid for out of state,counselor_teacher,cost_financial_aid,medium,cost / aid,finance_guidance,medium,"school,cost_constraint",
how do we update our school profile data,college_b2b,b2b_partnership,medium,B2B,b2b_workflow,medium,b2b_request_type,
UCLA vibe,high_school_student,campus_life_fit,llm_needed,subjective fit,llm_advisory,complex,"school,fit_or_culture_cue",
affordable public health schools in Texas with good job placement,high_school_student,career_outcomes,complex,multi-constraint,outcomes_pipeline,medium,"location,career_outcome_cue",intent:career_pattern
Penn State application deadlines,counselor_teacher,admissions_process,medium,how-to / admissions,faq_or_guidance,medium,"school,admissions_or_attribute_signal",
recommend large colleges near a major tech hub for pre-law not too competitive,advisor,recommendation,complex,needs recommendations,recommendation_workflow,complex,major_or_program,
Columbia vs Caltech,college_student,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target",
recommend small colleges near Chicago for nursing reach schools,high_school_student,recommendation,complex,needs recommendations,recommendation_workflow,complex,"major_or_program,location",
UT Austin vs Purdue for pre-med,high_school_student,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target,major_or_program",
Purdue vs UT Austin,advisor,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target",
colleges in warm states under 30k with strong research and internships,college_student,multi_constraint,complex,multi-constraint,foundry_multi_agent,complex,location,
penn state,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,persona:school_only_pattern
pricing for partner colleges,college_b2b,b2b_partnership,medium,B2B,b2b_workflow,medium,b2b_request_type,persona:b2b_pattern
medium-sized finance colleges near Chicago under 20k target schools,high_school_student,filtered_search,medium,multi-constraint,semantic_or_faceted_search,medium,location,intent:filtered_search_pattern
Arizona State housing guarantee,parent,attribute_lookup,short_circuit,simple entity; parent framing,typesense_plus_metadata,easy,"school,admissions_or_attribute_signal",intent:housing_guarantee_pattern
does Georgia Tech have philosophy,parent,attribute_lookup,short_circuit,single attribute,typesense_plus_metadata,easy,school,
brown,high_school_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,school,persona:school_only_pattern
request demo for our admissions team,college_b2b,b2b_partnership,medium,B2B,b2b_workflow,medium,"admissions_or_attribute_signal,b2b_request_type",persona:b2b_pattern
how do i apply to Stanford,college_student,admissions_process,medium,how-to / admissions,faq_or_guidance,medium,school,
what essays does Arizona State require,counselor_teacher,admissions_process,medium,how-to / admissions,faq_or_guidance,medium,school,
NYU job placement for electrical engineering,high_school_student,career_outcomes,medium,outcomes,outcomes_pipeline,medium,"school,major_or_program,career_outcome_cue",
do i need sat for Northeastern,parent,admissions_process,medium,how-to / admissions; parent framing,faq_or_guidance,medium,admissions_or_attribute_signal,
University of Wisconsin tuition vs UC Berkeley tuition,advisor,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target,cost_constraint",
schools like Penn State but cheaper,high_school_student,rewrite_needed,complex,needs recommendations,rewrite_then_route,complex,"school,rewrite_cue",intent:rewrite_pattern
colleges in California,high_school_student,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,location,
universities with strong psychology,advisor,filtered_search,medium,1–2 filters; advisor framing,semantic_or_faceted_search,medium,major_or_program,
do i need sat for Carnegie Mellon,advisor,admissions_process,medium,how-to / admissions,faq_or_guidance,medium,"school,admissions_or_attribute_signal",
schools like Carnegie Mellon but cheaper,high_school_student,rewrite_needed,complex,needs recommendations,rewrite_then_route,complex,"school,rewrite_cue",intent:rewrite_pattern
Boston University vs UC Irvine for finance,counselor_teacher,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target",
affordable philosophy schools not Florida with good job placement,college_student,career_outcomes,complex,multi-constraint,outcomes_pipeline,medium,"location,career_outcome_cue",intent:career_pattern
Purdue vs MIT for political science,high_school_student,comparison,complex,compare entities,compare_pipeline,complex,"school,comparison_target",
schools with normal people,college_student,campus_life_fit,short_circuit,subjective fit,llm_advisory,complex,fit_or_culture_cue,
University of Maryland but cheaper,parent,rewrite_needed,complex,needs rewrite; parent framing,rewrite_then_route,complex,"school,rewrite_cue",
schools with strong first gen support,counselor_teacher,filtered_search,medium,outcomes; counselor framing,semantic_or_faceted_search,medium,,intent:first_gen_support_pattern
Vanderbilt financial aid,advisor,cost_financial_aid,short_circuit,single attribute,finance_guidance,medium,"school,cost_constraint",intent:cost_pattern
colleges not Florida under 20k with strong research and internships,college_student,multi_constraint,complex,multi-constraint,foundry_multi_agent,complex,location,
UC Berkeley admissions profile average sat and gpa,counselor_teacher,admissions_process,short_circuit,single attribute; counselor framing,faq_or_guidance,medium,"school,admissions_or_attribute_signal",intent:admissions_profile_pattern
northeastern,college_student,direct_lookup,short_circuit,simple entity,typesense_only,easy,,
do i need sat for Vanderbilt,high_school_student,admissions_process,short_circuit,how-to / admissions,faq_or_guidance,medium,"school,admissions_or_attribute_signal",
schools near the beach with low student-to-faculty ratio,parent,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,location,
schools near a major tech hub with low student-to-faculty ratio,college_student,filtered_search,medium,1–2 filters,semantic_or_faceted_search,medium,,
University of Michigan financial aid for out of state,college_student,cost_financial_aid,medium,cost / aid,finance_guidance,medium,"school,cost_constraint",
Princeton but cheaper,high_school_student,rewrite_needed,complex,needs rewrite,rewrite_then_route,complex,"school,rewrite_cue",
how do we update our school profile data,college_b2b,b2b_partnership,medium,B2B,b2b_workflow,medium,b2b_request_type,persona:b2b_pattern
affordable business schools near the beach with good job placement,parent,career_outcomes,complex,multi-constraint,outcomes_pipeline,medium,"major_or_program,location,career_outcome_cue",intent:career_pattern
api access for college partners,college_b2b,b2b_partnership,medium,B2B,b2b_workflow,medium,b2b_request_type,
large philosophy colleges on the East Coast under 40k reach schools,counselor_teacher,filtered_search,complex,multi-constraint,semantic_or_faceted_search,medium,location,intent:filtered_search_pattern
