Query,Persona,Intent,Complexity,Entities,Route,Notes
schools with access to nearby beaches,highschool student,filtered_search,medium,"data science, programs, college",college_search,location + lifestyle
universities with undergraduate AI labs,highschool student,attribute_lookup,complex,"beaches, location, schools",college_search,research access
colleges where students do meaningful social impact projects,highschool student,filtered_search,llm_needed,"AI labs, undergraduate, university",college_search,campus culture
schools with active debate or mock trial teams,highschool student,attribute_lookup,medium,"social impact, projects, college",college_search,extracurricular
universities with student-run coding workshops,highschool student,attribute_lookup,short_circuit,"debate, mock trial, schools",college_search,extracurricular
colleges with easy major switching policies,highschool student,attribute_lookup,medium,"coding workshops, student-run, university",college_search,academic flexibility
schools with campus hiking trails,highschool student,attribute_lookup,short_circuit,"major switching, policy, college",college_search,facilities
universities with strong chemistry research,highschool student,attribute_lookup,medium,"hiking trails, campus, schools",college_search,research focus
colleges with active LGBTQ+ organizations,highschool student,attribute_lookup,short_circuit,"chemistry research, university",college_search,campus culture
schools with strong political science programs,highschool student,attribute_lookup,medium,"LGBTQ+, organizations, college",college_search,program lookup
universities with strong economics research for undergraduates,highschool student,attribute_lookup,medium,"political science, programs, schools",college_search,research focus
colleges with peer mentoring for first-year students,highschool student,attribute_lookup,medium,"economics research, undergraduate, university",college_search,student support
schools with strong visual arts programs,highschool student,attribute_lookup,medium,"peer mentoring, first-year, college",college_search,program lookup
universities with campus volunteering programs,highschool student,attribute_lookup,short_circuit,"visual arts, programs, schools",college_search,community
colleges with access to internship opportunities abroad,highschool student,attribute_lookup,complex,"volunteering, campus, university",college_search,program + abroad
schools with hands-on engineering labs,highschool student,attribute_lookup,medium,"internship, abroad, college",college_search,facilities
universities with wellness centers and therapy dogs,highschool student,attribute_lookup,medium,"engineering labs, hands-on, schools",college_search,campus support
colleges with strong environmental conservation programs,highschool student,attribute_lookup,medium,"wellness center, therapy dogs, university",college_search,program lookup
schools with student-run radio stations,highschool student,attribute_lookup,short_circuit,"environmental conservation, programs, college",college_search,extracurricular
universities with open mic nights or music festivals,highschool student,attribute_lookup,short_circuit,"radio station, student-run, schools",college_search,campus vibe
colleges with strong biomedical engineering programs,highschool student,attribute_lookup,medium,"open mic, music festival, university",college_search,program lookup
schools with active frisbee or club sports teams,highschool student,attribute_lookup,short_circuit,"biomedical engineering, programs, college",college_search,extracurricular
universities with strong cognitive science programs,highschool student,attribute_lookup,medium,"frisbee, club sports, schools",college_search,program lookup
colleges with strong alumni networks in medicine,highschool student,attribute_lookup,medium,"cognitive science, programs, university",college_search,networking filter
schools with flexible scheduling and asynchronous classes,highschool student,attribute_lookup,medium,"alumni network, medicine, college",college_search,schedule preference
universities with student-led theater productions,highschool student,attribute_lookup,short_circuit,"flexible scheduling, asynchronous, schools",college_search,extracurricular
colleges with campus meditation or mindfulness programs,highschool student,attribute_lookup,medium,"theater, student-led, university",college_search,wellness
schools with affordable tuition and strong aid options,highschool student,multi_constraint,llm_needed,"meditation, mindfulness, campus, college",college_search,cost + program
universities with strong social work programs,highschool student,attribute_lookup,medium,"tuition, affordable, financial aid, schools",college_search,program lookup
colleges with strong computer science + business programs,highschool student,multi_constraint,complex,"social work, programs, university",college_search,program combo
schools with research labs open to freshmen,highschool student,filtered_search,complex,"computer science, business, college",college_search,research access
universities with student-run coding competitions,highschool student,attribute_lookup,short_circuit,"research labs, freshmen, schools",college_search,extracurricular
colleges with strong archaeology programs,highschool student,attribute_lookup,medium,"coding competitions, student-run, university",college_search,program lookup
schools with strong chemistry labs,highschool student,attribute_lookup,medium,"archaeology, programs, college",college_search,facilities
universities with peer-led STEM workshops,highschool student,attribute_lookup,medium,"chemistry labs, schools",college_search,academic support
colleges with campus maker spaces,highschool student,attribute_lookup,short_circuit,"peer-led, STEM workshops, university",college_search,facilities
schools with student-led cultural events,highschool student,attribute_lookup,short_circuit,"maker space, campus, college",college_search,campus culture
universities with free or discounted software for students,highschool student,attribute_lookup,short_circuit,"cultural events, student-led, schools",college_search,campus perks
colleges with strong public health programs,highschool student,attribute_lookup,medium,"software, free, discounted, students, university",college_search,program lookup
schools with student-run hackathons,highschool student,attribute_lookup,medium,"public health, programs, college",college_search,extracurricular
universities with music practice rooms available 24/7,highschool student,attribute_lookup,short_circuit,"hackathon, student-run, schools",college_search,facilities
colleges with strong nutrition programs,highschool student,attribute_lookup,medium,"music practice rooms, 24/7, university",college_search,program lookup
schools with student-led entrepreneurship competitions,highschool student,attribute_lookup,medium,"nutrition, programs, college",college_search,entrepreneurship
universities with research in robotics and AI,highschool student,multi_constraint,complex,"entrepreneurship, competition, student-led, schools",college_search,research focus
colleges with access to off-campus medical facilities,highschool student,attribute_lookup,medium,"robotics, AI, research, university",college_search,campus support
schools with active community service requirements,highschool student,attribute_lookup,medium,"medical facilities, off-campus, college",college_search,campus culture
universities with undergraduate study abroad in Europe,highschool student,filtered_search,complex,"community service, requirements, schools",college_search,program + abroad
colleges with strong architecture programs,highschool student,attribute_lookup,medium,"study abroad, Europe, undergraduate, university",college_search,program lookup
schools with career fairs focused on internships,highschool student,attribute_lookup,medium,"architecture, programs, college",college_search,career programs
universities with student-led art exhibitions,highschool student,attribute_lookup,short_circuit,"career fair, internship, schools",college_search,extracurricular
colleges with campus shuttle service,highschool student,attribute_lookup,short_circuit,"art exhibitions, student-led, university",college_search,transport
schools with strong statistics programs,highschool student,attribute_lookup,medium,"shuttle, campus, college",college_search,program lookup
universities with student-run fashion shows,highschool student,attribute_lookup,short_circuit,"statistics, programs, schools",college_search,extracurricular
colleges with strong pre-law programs,highschool student,attribute_lookup,medium,"fashion show, student-run, university",college_search,program lookup
schools with outdoor campus gyms,highschool student,attribute_lookup,short_circuit,"pre-law, programs, college",college_search,facilities
universities with free tutoring in humanities,highschool student,attribute_lookup,medium,"gym, outdoor, campus, schools",college_search,academic support
colleges with strong linguistics programs,highschool student,attribute_lookup,medium,"tutoring, humanities, free, university",college_search,program lookup
schools with rooftop gardens or green roofs,highschool student,attribute_lookup,short_circuit,"linguistics, programs, college",college_search,unique campus feature
universities with active entrepreneurship clubs,highschool student,attribute_lookup,medium,"rooftop garden, green roof, schools",college_search,extracurricular
colleges with student-run farms,highschool student,attribute_lookup,short_circuit,"entrepreneurship clubs, active, university",college_search,quirky campus feature
schools with strong jazz or music programs,highschool student,attribute_lookup,medium,"student-run farm, college",college_search,program lookup
universities with strong AI ethics programs,highschool student,multi_constraint,complex,"jazz, music, programs, schools",college_search,program combo
colleges with strong biochemistry programs,highschool student,attribute_lookup,medium,"AI ethics, programs, university",college_search,program lookup
schools with student-led volunteer trips abroad,highschool student,attribute_lookup,medium,"biochemistry, programs, college",college_search,program + abroad
universities with strong physics labs,highschool student,attribute_lookup,medium,"volunteer trips, abroad, student-led, schools",college_search,facilities
colleges with strong cognitive science + philosophy programs,highschool student,multi_constraint,complex,"physics labs, university",college_search,program combo
schools with student-run debate societies,highschool student,attribute_lookup,medium,"cognitive science, philosophy, college",college_search,extracurricular
universities with campus-wide recycling programs,highschool student,attribute_lookup,short_circuit,"debate, student-run, schools",college_search,campus culture
colleges with student-run health initiatives,highschool student,attribute_lookup,medium,"recycling, campus, university",college_search,campus culture
schools with flexible semester systems,highschool student,attribute_lookup,medium,"health initiatives, student-run, college",college_search,academic policy
universities with mentorship programs with alumni,highschool student,attribute_lookup,medium,"semester system, flexible, schools",college_search,networking filter
colleges with strong biomedical research labs,highschool student,attribute_lookup,medium,"alumni mentorship, university",college_search,research focus
schools with access to local startup networks,highschool student,attribute_lookup,medium,"biomedical research, labs, college",college_search,entrepreneurship
universities with active queer student organizations,highschool student,attribute_lookup,short_circuit,"startup networks, local, schools",college_search,campus culture
colleges with strong marine biology programs,highschool student,attribute_lookup,medium,"queer, student organizations, university",college_search,program lookup
schools with campus wellness workshops,highschool student,attribute_lookup,medium,"marine biology, programs, college",college_search,wellness
universities with undergraduate research in astronomy,highschool student,attribute_lookup,medium,"wellness workshops, campus, schools",college_search,research focus
colleges with student-led robotics competitions,highschool student,attribute_lookup,medium,"astronomy, undergraduate research, university",college_search,extracurricular
schools with strong political activism programs,highschool student,attribute_lookup,llm_needed,"robotics, competition, student-led, college",college_search,campus culture
universities with student-run coding clubs,highschool student,attribute_lookup,short_circuit,"political activism, programs, schools",college_search,extracurricular
colleges with outdoor recreational facilities,highschool student,attribute_lookup,short_circuit,"coding clubs, student-run, university",college_search,facilities
schools with peer-led study sessions,highschool student,attribute_lookup,short_circuit,"outdoor recreation, facilities, college",college_search,academic support
universities with strong linguistics research,highschool student,attribute_lookup,medium,"peer-led, study sessions, schools",college_search,research focus
colleges with student art galleries,highschool student,attribute_lookup,short_circuit,"linguistics research, university",college_search,extracurricular
schools with student-run newspapers,highschool student,attribute_lookup,short_circuit,"art galleries, student, college",college_search,extracurricular
universities with free access to gym and fitness classes,highschool student,attribute_lookup,short_circuit,"gym, fitness, free, university",college_search,campus perks
colleges with strong philosophy + economics programs,highschool student,multi_constraint,complex,"philosophy, economics, college",college_search,program combo
schools with student entrepreneurship incubators,highschool student,attribute_lookup,medium,"entrepreneurship incubator, student, schools",college_search,entrepreneurship
universities with undergraduate access to lab research,highschool student,attribute_lookup,medium,"lab research, undergraduate, university",college_search,research access
colleges with active service-learning programs,highschool student,attribute_lookup,medium,"service-learning, active, college",college_search,community
schools with student-run improv or comedy troupes,highschool student,attribute_lookup,short_circuit,"improv, comedy, student-run, schools",college_search,extracurricular
universities with cultural exchange programs,highschool student,attribute_lookup,medium,"cultural exchange, programs, university",college_search,program + culture
colleges with access to big city internships,highschool student,filtered_search,medium,"internship, city, college",college_search,location + career
schools with campus meditation or quiet rooms,highschool student,attribute_lookup,short_circuit,"meditation, quiet room, campus, schools",college_search,wellness
universities with strong health sciences programs,highschool student,attribute_lookup,medium,"health sciences, programs, university",college_search,program lookup
colleges with student-run environmental initiatives,highschool student,attribute_lookup,medium,"environmental initiatives, student-run, college",college_search,campus culture
schools with active sports or intramural leagues,highschool student,attribute_lookup,medium,"sports, intramural, schools",college_search,extracurricular
universities with research in computational biology,highschool student,attribute_lookup,complex,"computational biology, research, university",college_search,research focus
colleges with access to national labs,highschool student,attribute_lookup,medium,"national labs, college",college_search,research access
schools with student-run tutoring in STEM,highschool student,attribute_lookup,medium,"STEM tutoring, student-run, schools",college_search,academic support
universities with cultural awareness clubs,highschool student,attribute_lookup,short_circuit,"cultural awareness, clubs, university",college_search,campus culture
colleges with strong sociology programs,highschool student,attribute_lookup,medium,"sociology, programs, college",college_search,program lookup
schools with access to startup mentorship programs,highschool student,attribute_lookup,medium,"startup mentorship, schools",college_search,entrepreneurship
universities with student-run entrepreneurship pitch competitions,highschool student,attribute_lookup,medium,"entrepreneurship, pitch competition, student-run, university",college_search,entrepreneurship
colleges with campus wellness programs,highschool student,attribute_lookup,medium,"wellness programs, campus, college",college_search,wellness
schools with flexible grading policies,highschool student,attribute_lookup,medium,"grading, flexible, schools",college_search,grading policy
universities with student-led peer tutoring,highschool student,attribute_lookup,medium,"peer tutoring, student-led, university",college_search,academic support
colleges with strong urban planning programs,highschool student,attribute_lookup,medium,"urban planning, programs, college",college_search,program lookup
schools with strong student governments,highschool student,attribute_lookup,medium,"student government, strong, schools",college_search,campus culture
universities with access to hack labs for undergraduates,highschool student,attribute_lookup,medium,"hack labs, undergraduate, university",college_search,facilities
colleges with active music ensembles,highschool student,attribute_lookup,medium,"music ensembles, active, college",college_search,extracurricular
schools with on-campus maker labs,highschool student,attribute_lookup,short_circuit,"maker labs, on-campus, schools",college_search,facilities
universities with global internship opportunities,highschool student,attribute_lookup,complex,"internship, global, university",college_search,career programs
colleges with strong AI + ethics programs,highschool student,multi_constraint,complex,"AI, ethics, programs, college",college_search,program combo
schools with student-run film production clubs,highschool student,attribute_lookup,medium,"film production, student-run, schools",college_search,extracurricular
universities with research programs in psychology,highschool student,attribute_lookup,medium,"psychology, research, university",college_search,research focus
colleges with student-led cultural festivals,highschool student,attribute_lookup,medium,"cultural festivals, student-led, college",college_search,campus culture
schools with access to nearby museums,highschool student,filtered_search,medium,"museums, nearby, schools",college_search,location filter
universities with peer mentoring in STEM,highschool student,attribute_lookup,medium,"peer mentoring, STEM, university",college_search,student support
colleges with active student environmental clubs,highschool student,attribute_lookup,medium,"environmental clubs, student, college",college_search,extracurricular
schools with student-run art projects,highschool student,attribute_lookup,medium,"art projects, student-run, schools",college_search,extracurricular
universities with research in biotechnology,highschool student,attribute_lookup,complex,"biotechnology, research, university",college_search,research focus
colleges with campus meditation gardens,highschool student,attribute_lookup,short_circuit,"meditation garden, campus, college",college_search,wellness
schools with strong access to career counseling,highschool student,attribute_lookup,medium,"career counseling, schools",college_search,advising quality
universities with student-run debate competitions,highschool student,attribute_lookup,medium,"debate, competition, student-run, university",college_search,extracurricular
colleges with student wellness programs and therapy animals,highschool student,multi_constraint,llm_needed,"wellness, therapy animals, college",college_search,wellness + quirky
schools with flexible scheduling for extracurriculars,highschool student,attribute_lookup,medium,"flexible scheduling, extracurriculars, schools",college_search,schedule preference
universities with peer mentorship for freshmen in STEM,highschool student,multi_constraint,complex,"peer mentorship, freshmen, STEM, university",college_search,student support + STEM
colleges with student-run makerspaces for arts and tech,highschool student,multi_constraint,complex,"makerspace, arts, tech, college",college_search,program combo
schools with student-led coding workshops,highschool student,attribute_lookup,medium,"coding workshops, student-led, schools",college_search,extracurricular
universities with research opportunities in environmental science,highschool student,attribute_lookup,medium,"environmental science, research, university",college_search,research focus
colleges with strong humanities research labs,highschool student,attribute_lookup,medium,"humanities, research labs, college",college_search,research focus
schools with access to local tech companies for internships,highschool student,filtered_search,complex,"tech companies, internship, local, schools",college_search,location + career
universities with student-led hackathons,highschool student,attribute_lookup,medium,"hackathon, student-led, university",college_search,extracurricular
colleges with active volunteer programs,highschool student,attribute_lookup,medium,"volunteer, active, college",college_search,community
schools with student-led science fairs,highschool student,attribute_lookup,medium,"science fairs, student-led, schools",college_search,extracurricular
universities with peer-led study programs,highschool student,attribute_lookup,medium,"peer-led, study programs, university",college_search,academic support
colleges with student wellness initiatives,highschool student,attribute_lookup,medium,"wellness initiatives, college",college_search,wellness
schools with student-run music events,highschool student,attribute_lookup,medium,"music events, student-run, schools",college_search,campus vibe
universities with active community service programs,highschool student,attribute_lookup,medium,"community service, active, university",college_search,community
colleges with student-led art studios,highschool student,attribute_lookup,medium,"art studios, student-led, college",college_search,extracurricular
schools with peer tutoring in STEM and humanities,highschool student,multi_constraint,complex,"peer tutoring, STEM, humanities, schools",college_search,academic support combo
universities with access to city-based internships,highschool student,filtered_search,medium,"internship, city, university",college_search,location + career
colleges with student wellness workshops,highschool student,attribute_lookup,medium,"wellness workshops, college",college_search,wellness
schools with cultural awareness programs,highschool student,attribute_lookup,medium,"cultural awareness, programs, schools",college_search,campus culture
universities with research labs open to undergraduates,highschool student,attribute_lookup,medium,"research labs, undergraduate, university",college_search,research access
colleges with student-run volunteer programs,highschool student,attribute_lookup,medium,"volunteer, student-run, college",college_search,community
schools with access to sports and recreation programs,highschool student,attribute_lookup,medium,"sports, recreation, schools",college_search,facilities
universities with student-led entrepreneurship competitions,highschool student,attribute_lookup,medium,"entrepreneurship, competition, student-led, university",college_search,entrepreneurship
colleges with free tutoring programs,highschool student,attribute_lookup,medium,"tutoring, free, college",college_search,academic support
schools with peer mentorship in humanities and STEM,highschool student,multi_constraint,complex,"peer mentorship, humanities, STEM, schools",college_search,student support combo
universities with student wellness resources,highschool student,attribute_lookup,medium,"wellness resources, university",college_search,wellness
colleges with active cultural clubs,highschool student,attribute_lookup,medium,"cultural clubs, active, college",college_search,campus culture
schools with student-run coding competitions,highschool student,attribute_lookup,medium,"coding competition, student-run, schools",college_search,extracurricular
universities with access to national internship programs,highschool student,attribute_lookup,medium,"national internship, university",college_search,career programs
colleges with student-led arts and crafts studios,highschool student,attribute_lookup,medium,"arts, crafts, studio, student-led, college",college_search,extracurricular
schools with research opportunities in neuroscience,highschool student,attribute_lookup,medium,"neuroscience, research, schools",college_search,research focus
universities with peer mentoring programs,highschool student,attribute_lookup,medium,"peer mentoring, university",college_search,student support
colleges with active STEM clubs,highschool student,attribute_lookup,medium,"STEM clubs, active, college",college_search,extracurricular
schools with student-run environmental workshops,highschool student,attribute_lookup,medium,"environmental workshops, student-run, schools",college_search,extracurricular
universities with cultural immersion experiences for undergraduates,highschool student,attribute_lookup,medium,"cultural immersion, undergraduate, university",college_search,program + culture
colleges with active community service projects,highschool student,attribute_lookup,medium,"community service, projects, college",college_search,community
schools with student-run music ensembles,highschool student,attribute_lookup,medium,"music ensembles, student-run, schools",college_search,extracurricular
universities with free workshops in art and design,highschool student,attribute_lookup,medium,"art, design, workshops, free, university",college_search,campus perks
colleges with access to startup networking events,highschool student,filtered_search,medium,"startup networking, college",college_search,entrepreneurship + location
schools with student wellness centers,highschool student,attribute_lookup,medium,"wellness center, schools",college_search,wellness
what major should I pick if I like both math and writing,college student,emotional_advisory,llm_needed,"major, math, writing, decision",major_selection_advising,major decision
is a double major worth it or too stressful,college student,emotional_advisory,llm_needed,"double major, stress, worth it",major_selection_advising,curriculum planning
how do I switch from biology to computer science mid college,college student,advisory,complex,"switch major, biology, computer science",major_change_advising,major change
can I finish a cs degree in 3 years,college student,advisory,complex,"CS degree, accelerated, timeline",degree_planning,graduation planning
what is the difference between a BA and BS in psychology,college student,factual,short_circuit,"BA, BS, psychology, difference",academic_program_info,degree type
should I take a gap year after sophomore year,college student,emotional_advisory,llm_needed,"gap year, sophomore, decision",academic_planning_advising,life planning
how do I pick between two majors I'm equally interested in,college student,emotional_advisory,llm_needed,"major selection, two majors, decision",major_selection_advising,major decision
is it too late to add a second major junior year,college student,advisory,medium,"second major, junior year, timeline",degree_planning,curriculum planning
what GPA do I need for grad school in economics,college student,factual,medium,"GPA, grad school, economics, requirement",grad_school_advising,academic outcomes
can I take courses at a community college and transfer credit,college student,advisory,medium,"community college, transfer credit",credit_transfer,credit transfer
best electives to take if I want to go into consulting,college student,advisory,complex,"electives, consulting, career",course_selection_advising,career planning
what does it mean to audit a class,college student,factual,short_circuit,"audit, class, definition",academic_policy_info,academic policy
how do I get into a research lab as a sophomore,college student,advisory,medium,"research lab, sophomore, how to",undergraduate_research_advising,research access
what is the point of office hours,college student,advisory,short_circuit,"office hours, purpose",academic_life_info,academic success
how to talk to a professor about a bad grade,college student,advisory,medium,"professor, bad grade, communication",academic_advising,academic success
is grade inflation real and does my school have it,college student,factual,medium,"grade inflation, school, GPA",academic_policy_info,grading policy
what is a thesis vs capstone project,college student,factual,medium,"thesis, capstone, difference",academic_program_info,academic options
how to get letters of recommendation from professors,college student,advisory,medium,"letters of recommendation, professor",application_advising,application prep
can I graduate early if I have a lot of AP credits,college student,advisory,complex,"early graduation, AP credits",degree_planning,graduation planning
what classes should I take freshman year to keep options open,college student,advisory,complex,"freshman year, course selection, flexibility",course_selection_advising,curriculum planning
how do I make friends after freshman year when everyone already has friend groups,college student,emotional_advisory,llm_needed,"friends, social, freshman year",student_life_advising,social life
is it weird to eat alone in the dining hall,college student,emotional_advisory,llm_needed,"eating alone, dining hall, social",student_life_advising,social life
how do I get involved on campus without Greek life,college student,advisory,medium,"campus involvement, non-Greek, activities",student_life_advising,campus culture
what to do if my roommate and I don't get along,college student,emotional_advisory,llm_needed,"roommate, conflict, resolution",student_life_advising,dorm life
how do college students actually meet people and date,college student,advisory,medium,"dating, social, college students",student_life_advising,social life
how to find your people in college,college student,emotional_advisory,llm_needed,"social, community, belonging, college",student_life_advising,social life
is it normal to feel lonely freshman year of college,college student,emotional_advisory,llm_needed,"loneliness, freshman year, normal",student_wellbeing_advising,wellbeing
how to get leadership positions in student clubs,college student,advisory,medium,"leadership, clubs, student organizations",student_life_advising,extracurricular
what clubs are actually worth joining in college,college student,advisory,medium,"clubs, worth it, college",student_life_advising,extracurricular
