is going out of state worth it,high_school_student,advisory,llm_needed,out of state,college_search,location decision
what makes a college good,high_school_student,advisory,llm_needed,quality criteria,college_search,criteria guidance
how important are rankings,high_school_student,advisory,llm_needed,rankings,college_search,priority advice
should I go to a big school,high_school_student,advisory,llm_needed,size,college_search,campus size decision
is private or public better,high_school_student,advisory,llm_needed,"public, private",college_search,school type
how do I know if a college fits me,high_school_student,advisory,llm_needed,fit,college_search,culture fit
good colleges,high_school_student,ambiguous,complex,,college_search,vague
colleges idk,high_school_student,ambiguous,complex,,college_search,vague
help me pick a school,high_school_student,ambiguous,complex,,college_search,vague
idk where to apply,high_school_student,ambiguous,complex,,college_search,vague
college help pls,high_school_student,ambiguous,complex,,college_search,vague
what school is good for me,high_school_student,ambiguous,complex,,college_search,vague
good engineering schools,high_school_student,ambiguous,complex,Engineering,academic_program_info,vague
good colleges near me,high_school_student,ambiguous,complex,Location,college_search,vague
best schools,high_school_student,ambiguous,complex,,college_search,vague
college advice,high_school_student,ambiguous,complex,,college_search,vague
what about in california,high_school_student,contextual_followup,llm_needed,California,college_search,follow-up
are they expensive,high_school_student,contextual_followup,llm_needed,tuition,financial_aid_info,follow-up
which ones are easier to get into,high_school_student,contextual_followup,llm_needed,selectivity,admissions_info,follow-up
do they have good dorms,high_school_student,contextual_followup,llm_needed,dorms,campus_services_info,follow-up
what about scholarships,high_school_student,contextual_followup,llm_needed,scholarships,financial_aid_info,financial follow-up
are those schools competitive,high_school_student,contextual_followup,llm_needed,competitiveness,admissions_info,selectivity follow-up
what majors do they have,high_school_student,contextual_followup,llm_needed,majors,academic_program_info,program follow-up
which is better,high_school_student,contextual_followup,llm_needed,decision,college_search,decision follow-up
how big are they,high_school_student,contextual_followup,llm_needed,size,college_search,campus size follow-up
what’s the vibe like,high_school_student,contextual_followup,llm_needed,culture,college_search,culture follow-up
dont peak in high school,high_school_student,emotional_advisory,llm_needed,culture,college_search,social fit
ok to reinvent yourself,high_school_student,emotional_advisory,llm_needed,growth,college_search,social growth
schools that don’t feel fake,high_school_student,emotional_advisory,llm_needed,vibe,college_search,vibe
wont be miserable,high_school_student,emotional_advisory,llm_needed,well-being,college_search,social/emotional
people aren’t toxic,high_school_student,emotional_advisory,llm_needed,vibe,college_search,vibe
don't feel like linkedin,high_school_student,emotional_advisory,llm_needed,vibe,college_search,vibe
don't worship grind culture,high_school_student,emotional_advisory,llm_needed,vibe,college_search,vibe
schools that is normal,high_school_student,emotional_advisory,llm_needed,vibe,college_search,vibe
dont feel like pressure cooker,high_school_student,emotional_advisory,llm_needed,vibe,college_search,vibe
schools with good vibes honestly,high_school_student,emotional_advisory,llm_needed,vibe,college_search,vibe
colleges like harvard but chill,high_school_student,rewrite_needed,complex,Harvard,college_search,prestige + culture
stanford cheaper alternatives,high_school_student,rewrite_needed,complex,Stanford,college_search,prestige + cost
ucla but easier to get into,high_school_student,rewrite_needed,complex,UCLA,college_search,competitiveness
ivy league but normal,high_school_student,rewrite_needed,complex,Ivy League,college_search,brand + vibe
good school not scary,high_school_student,rewrite_needed,complex,"safety, comfort",college_search,emotional concern
smart school but not nerds,high_school_student,rewrite_needed,complex,social culture,college_search,culture
college where life is balanced,high_school_student,rewrite_needed,complex,work-life balance,college_search,lifestyle
school that won’t break me,high_school_student,rewrite_needed,complex,mental health,college_search,stress
what colleges do people regret going to,high_school_student,reflective_advisory,llm_needed,student outcomes,college_search,lessons learned
how do i not mess this up,high_school_student,reflective_advisory,llm_needed,decision making,admissions_info,decision anxiety
am i aiming too high,high_school_student,reflective_advisory,llm_needed,selectivity,admissions_info,ambition guidance
what if i choose wrong,high_school_student,reflective_advisory,llm_needed,college choice,admissions_info,decision guidance
how much does college choice actually matter,high_school_student,reflective_advisory,llm_needed,career impact,career_services_info,long-term impact
what do people wish they knew before college,high_school_student,reflective_advisory,llm_needed,college life,college_search,hindsight advice
is prestige overrated,high_school_student,reflective_advisory,llm_needed,prestige,college_search,priority guidance
what schools are secretly bad,high_school_student,reflective_advisory,llm_needed,reputation,college_search,hard truth
how do i know if a school is lying,high_school_student,reflective_advisory,llm_needed,"marketing, data",admissions_info,research caution
what’s the safest bet overall,high_school_student,reflective_advisory,llm_needed,"stability, ROI",college_search,low-risk choice
collages with nursing,high_school_student,rewrite_needed,complex,Nursing,academic_program_info,spelling mistake
best coleges for cs,high_school_student,rewrite_needed,complex,Computer Science,academic_program_info,spelling mistake
ucla price,high_school_student,rewrite_needed,complex,"UCLA, cost",financial_aid_info,spelling mistake
good schoolz for med,high_school_student,rewrite_needed,complex,Pre-med,academic_program_info,spelling mistake
college near beach,high_school_student,rewrite_needed,complex,"coastal, beach",college_search,vague/typo
engineering college cheap,high_school_student,rewrite_needed,complex,"Engineering, tuition",college_search,cost + program
what is college,high_school_student,ambiguous,complex,education,college_search,vague question
schools like stanford,high_school_student,ambiguous,complex,Stanford,college_search,vague comparison
colleges like harvard but easier,high_school_student,rewrite_needed,complex,"Harvard, selectivity",college_search,cost + prestige
good ivy but not ivy,high_school_student,rewrite_needed,complex,Ivy League (peers),college_search,brand + cost
colleges with night owl classes,high_school_student,filtered_search,medium,"schedule, night classes",academic_policy_info,schedule preference
schools with free tutoring for STEM,high_school_student,filtered_search,medium,"Tutoring, STEM",campus_services_info,support programs
colleges with medieval history majors,high_school_student,filtered_search,medium,Medieval History,academic_program_info,obscure major
schools near deserts,high_school_student,filtered_search,medium,"Desert, climate",college_search,location filter
colleges that allow pets in dorms,high_school_student,filtered_search,medium,"Pets, housing",campus_services_info,lifestyle preference
universities with student-run cafes,high_school_student,filtered_search,medium,"Cafe, student-run",campus_services_info,extracurricular
colleges with improv theater clubs,high_school_student,filtered_search,medium,"Improv, theater",campus_services_info,extracurricular
schools with frisbee teams,high_school_student,filtered_search,medium,Ultimate Frisbee,campus_services_info,extracurricular
colleges with retro computer labs,high_school_student,filtered_search,medium,Computer labs,campus_services_info,facilities
schools with vegan dorms,high_school_student,filtered_search,medium,"Vegan, housing",campus_services_info,dietary preference
colleges near ghost towns,high_school_student,filtered_search,medium,"Ghost towns, location",college_search,location filter
schools that let you major in memes,high_school_student,filtered_search,medium,Meme studies,academic_program_info,obscure major
colleges with underwater robotics teams,high_school_student,filtered_search,medium,Underwater robotics,campus_services_info,extracurricular
schools that have UFO clubs,high_school_student,filtered_search,medium,UFO club,campus_services_info,extracurricular
colleges with microbrewery access,high_school_student,filtered_search,medium,"Brewery, food sci",campus_services_info,facilities
schools with late-night pizza delivery,high_school_student,filtered_search,medium,"Dining, late-night",campus_services_info,lifestyle
colleges with rooftop gardens,high_school_student,filtered_search,medium,Rooftop gardens,campus_services_info,campus feature
schools with observatories,high_school_student,filtered_search,medium,"Observatory, Astronomy",campus_services_info,facilities
colleges that let you take naps in class,high_school_student,filtered_search,medium,"Napping, policy",academic_policy_info,campus policy
schools that allow hammocks outside,high_school_student,filtered_search,medium,Hammocks,campus_services_info,campus vibe
colleges with student-run radio stations,high_school_student,filtered_search,medium,Radio station,campus_services_info,extracurricular
schools with competitive quidditch,high_school_student,filtered_search,medium,Quidditch,campus_services_info,extracurricular
colleges with haunted dorms,high_school_student,filtered_search,medium,"Haunted, housing",campus_services_info,campus culture
schools where students build robots for fun,high_school_student,filtered_search,medium,Robotics,campus_services_info,extracurricular
colleges with actual roller coasters nearby,high_school_student,filter_search,medium,Roller coasters,college_search,location
schools where professors skateboard,high_school_student,filter_search,medium,"Culture, professors",college_search,culture
colleges with 3D printing labs,high_school_student,filter_search,medium,3D printing,campus_services_info,facilities
schools with maker spaces,high_school_student,filter_search,medium,Maker space,campus_services_info,facilities
colleges that let you grade yourself,high_school_student,filter_search,medium,Grading policy,academic_policy_info,unusual policies
schools with zero homework classes,high_school_student,filter_search,medium,Homework policy,academic_policy_info,unusual policies
colleges where everyone bikes everywhere,high_school_student,filter_search,medium,"Biking, transport",campus_services_info,transportation culture
schools with treehouses on campus,high_school_student,filter_search,medium,Treehouse,campus_services_info,Unique campus feature
colleges with hidden speakeasy bars,high_school_student,filter_search,medium,"Speakeasy, culture",college_search,culture
schools with ice cream scholarships,high_school_student,filter_search,medium,"Ice cream, scholarship",financial_aid_info,quirky
colleges with rooftop yogahigh,high_school_student,filter_search,medium,Yoga,campus_services_info,extracurricular
schools where you can minor in gaming,high_school_student,filter_search,medium,Gaming minor,academic_program_info,major options
colleges with professional esports teams,high_school_student,filter_search,medium,Esports,campus_services_info,extracurricular
schools where cafeteria is actually a restaurant,high_school_student,filter_search,medium,Dining services,campus_services_info,facilities
colleges with secret societies,high_school_student,filter_search,medium,Secret societies,college_search,culture
schools with pop-up art installations,high_school_student,filter_search,medium,Art,college_search,campus vibe
colleges that have been on tv shows,high_school_student,filter_search,medium,"TV, fame",college_search,fame
schools with on-campus escape rooms,high_school_student,filter_search,medium,Escape room,campus_services_info,extracurricular
colleges with igloos in winter,high_school_student,filter_search,medium,"Igloos, winter",campus_services_info,campus feature
schools with student-run fashion shows,high_school_student,filter_search,medium,Fashion show,campus_services_info,extracurricular
colleges that let you major in coffee,high_school_student,filter_search,medium,Coffee studies,academic_program_info,quirky program
schools with professor pets,high_school_student,filter_search,medium,"Pets, professors",college_search,culture
colleges with underwater study spaces,high_school_student,filter_search,medium,Study spaces,campus_services_info,facilities
schools with roller-skating classes,high_school_student,filter_search,medium,Roller-skating,academic_program_info,extracurricular
colleges with dual-campus shuttles,high_school_student,filter_search,medium,"Shuttle, transport",campus_services_info,transport
schools with on-campus climbing walls,high_school_student,filter_search,medium,Climbing wall,campus_services_info,facilities
colleges with giant chess boards outside,high_school_student,filter_search,medium,Chess,campus_services_info,campus feature
schools that have zero exams,high_school_student,filter_search,medium,Exam policy,academic_policy_info,policies
colleges with free concert tickets,high_school_student,filter_search,medium,Concert tickets,campus_services_info,campus perks
schools with student-run farms,high_school_student,filter_search,medium,"Farm, agriculture",campus_services_info,extracurricular
colleges that teach witchcraft (lol),high_school_student,filter_search,medium,Witchcraft,academic_program_info,quirky
schools where everyone wears costumes once a month,high_school_student,filter_search,medium,"Costumes, culture",college_search,culture
colleges with giant hammocks,high_school_student,filter_search,medium,Hammock,campus_services_info,campus vibe
schools with glow-in-the-dark floors,high_school_student,filter_search,medium,Campus design,campus_services_info,campus feature
colleges with community skate parks,high_school_student,filter_search,medium,Skate park,campus_services_info,facilities
schools with vending machines for ramen,high_school_student,filter_search,medium,"Ramen, dining",campus_services_info,campus perks
colleges with late-night libraries,high_school_student,filter_search,medium,Libraries,campus_services_info,facilities
schools that have their own app for everything,high_school_student,filter_search,medium,"App, technology",campus_services_info,tech
colleges with AI tutors,high_school_student,filter_search,medium,AI tutor,campus_services_info,tech
schools that let you eat in classrooms,high_school_student,filter_search,medium,Classroom policy,academic_policy_info,policies
colleges with free international snacks,high_school_student,filter_search,medium,Snacks,campus_services_info,campus perks
schools with mystery courses,high_school_student,filter_search,medium,Mystery course,academic_program_info,quirky
colleges that host cosplay conventions,high_school_student,filter_search,medium,Cosplay,campus_services_info,extracurricular
schools with indoor skateparks,high_school_student,filter_search,medium,Skatepark,campus_services_info,facilities
colleges that let you major in pop culture,high_school_student,filter_search,medium,Pop culture,academic_program_info,quirky
shcools with 24/7 student lounges,high_school_student,filter_search,medium,Lounge,campus_services_info,facilities
colleges with hidden libraries,high_school_student,filter_search,medium,Libraries,campus_services_info,campus vibe
schools that have minigolf on campus,high_school_student,filter_search,medium,Minigolf,campus_services_info,campus feature
colleges with student-run radio dramas,high_school_student,filter_search,medium,"Radio drama, student-run",campus_services_info,extracurricular
schools with free hot chocolate,high_school_student,filter_search,medium,Hot chocolate,campus_services_info,campus perks
colleges with pet therapy sessions,high_school_student,filter_search,medium,Pet therapy,campus_services_info,campus perks
schools with volunteer ice cream days,high_school_student,filter_search,medium,"Ice cream, volunteering",campus_services_info,community
colleges with tiny dorm kitchens,high_school_student,filter_search,medium,"Kitchen, dorms",campus_services_info,facilities
schools with secret art galleries,high_school_student,filter_search,medium,"Art gallery, secret",campus_services_info,Quirky/exclusive campus amenities
colleges w good cs but not crazy hard,high_school_student,multi_constraint,complex,"CS, workload",academic_program_info,program + workload
cheap unis near silicon valey,high_school_student,filtered_search,complex,"Silicon Valley, tuition",college_search,location + cost typo
is stanford worth the debt tho,high_school_student,reflective_advisory,llm_needed,"Stanford, debt",financial_aid_info,cost vs prestige
schools like ucla but smaller campus,high_school_student,rewrite_needed,complex,"UCLA, size",college_search,size + brand
do ivys even have fun,high_school_student,emotional_advisory,llm_needed,"Ivy League, culture",college_search,culture concern
collage w best dorm food,high_school_student,filtered_search,medium,Dorm food,campus_services_info,dorm life typo
engineering schools not super competitive,high_school_student,filtered_search,complex,"Engineering, selectivity",college_search,selectivity + program
good premed but not weedout vibes,high_school_student,rewrite_needed,complex,"Pre-med, culture",academic_program_info,workload culture
unis where ppl collab not compete,high_school_student,emotional_advisory,llm_needed,"Collaboration, culture",college_search,culture fit
colleges in cali that arent expensive lol,high_school_student,filtered_search,complex,"California, cost",college_search,location + cost
schools w co-op programs for cs,high_school_student,filtered_search,medium,"Co-op, CS",career_services_info,career programs
is berkeley too stressful,high_school_student,emotional_advisory,llm_needed,"UC Berkeley, stress",college_search,workload concern
best bang for buck engineering,high_school_student,multi_constraint,complex,"Engineering, ROI",college_search,value + program
colleges near mountains but big city too,high_school_student,multi_constraint,complex,"Mountains, Urban",college_search,location combo
unis w good mental health support plsh,high_school_student,filtered_search,medium,Mental health support,campus_services_info,student support
schools w chill profs not tryhards,high_school_student,emotional_advisory,llm_needed,"Faculty, culture",college_search,culture vibe
college that feels like community not grind,high_school_student,emotional_advisory,llm_needed,"Community, culture",college_search,culture fit
mid tier schools w strong cs,high_school_student,filtered_search,medium,"CS, selectivity",college_search,selectivity + program
unis w research for undergrads early,high_school_student,filtered_search,medium,Undergraduate research,academic_program_info,research access
schools w quarter system pros cons,high_school_student,advisory,llm_needed,Quarter system,academic_policy_info,system comparison
is gpa or sat more important rn,high_school_student,advisory,llm_needed,"GPA, SAT",admissions_info,admissions strategy
what schools fit a 3.7 gpa idkh,high_school_student,ambiguous,complex,3.7 GPA,admissions_info,stats based vague
cs schools w good social life pls,high_school_student,multi_constraint,complex,"CS, social life",college_search,program + lifestyle
unis that arent in middle of nowhere,high_school_student,filtered_search,medium,Urban/Suburban,college_search,location preference
schools w strong internships pipelines,high_school_student,filtered_search,medium,Internships,career_services_info,career outcomes
colleges w pass fail options alot,high_school_student,filtered_search,medium,Pass/Fail,academic_policy_info,policies
are honors colleges worth it??,high_school_student,advisory,llm_needed,Honors college,academic_program_info,program decision
unis where switching majors is easy,high_school_student,filtered_search,medium,Major switching,academic_policy_info,academic flexibility
schools w no greek life pressure,high_school_student,filtered_search,medium,Greek life,college_search,campus culture
colleges w good cs + econ double major,high_school_student,multi_constraint,complex,"CS, Economics",academic_program_info,program combo
best schools for undecided ppl,high_school_student,advisory,llm_needed,"Undecided, exploration",college_search,exploration fit
unis w open curriculm like brown,high_school_student,rewrite_needed,complex,"Brown, Open Curriculum",academic_policy_info,curriculum style typo
is nyu overrated fr,high_school_student,reflective_advisory,llm_needed,"NYU, reputation",college_search,perception check
schools w strong startup scene,high_school_student,filtered_search,medium,"Startups, entrepreneurship",career_services_info,entrepreneurship
colleges w small classes but big resources,high_school_student,multi_constraint,complex,"Class size, resources",college_search,size + resources
unis that dont feel cutthroat,high_school_student,emotional_advisory,llm_needed,"Culture, competition",college_search,culture concern
colleges w guaranteed housing 4 yrs,high_school_student,attribute_lookup,short_circuit,"Housing, 4-year guarantee",campus_services_info,housing policy
do publics give good aid or nah,high_school_student,advisory,llm_needed,"Public universities, aid",financial_aid_info,financial question
schools near beach but good academics,high_school_student,multi_constraint,complex,"Beach, Academics",college_search,location + academics
unis w strong cs but also artsy vibe,high_school_student,multi_constraint,complex,"CS, Arts",college_search,STEM + culture
colleges where ppl actually happy lol,high_school_student,emotional_advisory,llm_needed,"Happiness, culture",college_search,happiness vibe
what schools match my vibe idk,high_school_student,ambiguous,complex,Culture fit,college_search,vague personalization
unis w flexible gen ed requirements,high_school_student,filtered_search,medium,"General Education, flexibility",academic_policy_info,curriculum flexibility
engineering schools w study abroad easy,high_school_student,multi_constraint,complex,"Engineering, Study Abroad",academic_program_info,program + abroad
schools w strong alumni hookups jobs,high_school_student,filtered_search,medium,"Alumni, job placement",career_services_info,network outcomes
colleges w less grade deflation pls,high_school_student,filtered_search,medium,Grade deflation,academic_policy_info,grading culture
is going far from home dumb,high_school_student,reflective_advisory,llm_needed,"Distance, home",college_search,location anxiety
unis w big hackathon culture,high_school_student,filtered_search,medium,Hackathons,campus_services_info,extracurricular tech
schools w good cs but not all dudes,high_school_student,emotional_advisory,llm_needed,"CS, Gender balance",college_search,gender balance concern
colleges w strong career fairs tech,high_school_student,filtered_search,medium,"Career fairs, Tech",career_services_info,career resources
unis that arent party schools pls,high_school_student,filtered_search,medium,Party culture,college_search,social culture
schools w guaranteed internships??,high_school_student,ambiguous,complex,Internships,career_services_info,expectation check
cs colleges w chill grading curves,high_school_student,filtered_search,medium,"CS, Grading",academic_policy_info,grading policy
unis w double major no extra yrs,high_school_student,filtered_search,medium,Double major,academic_policy_info,academic policy
schools w strong ai research undergrad,high_school_student,filtered_search,medium,"AI research, undergrad",academic_program_info,research focus
is prestige actually that important,high_school_student,reflective_advisory,llm_needed,Prestige,college_search,values question
colleges where profs know ur name,high_school_student,filtered_search,medium,"Class size, Faculty",college_search,class size culture
unis w good weather but serious academics,high_school_student,multi_constraint,complex,"Weather, Academics",college_search,climate + rigor
schools w less weedout classes pls,high_school_student,filtered_search,medium,Weedout classes,academic_program_info,workload culture
colleges w co-op programs but not engineering only,high_school_student,multi_constraint,complex,"Co-op, non-engineering",career_services_info,co-op + non-engineering
unis wtih dorms that dont force roommates first year,high_school_student,filtered_search,medium,"Dorms, Single rooms",campus_services_info,housing policy typo
schools with strong cs but low weed-out classes,high_school_student,filtered_search,medium,"CS, weedout classes",academic_program_info,curriculum difficulty
colleges w asynchronous lecture options sometimes,high_school_student,filtered_search,medium,"Asynchronous, lectures",academic_policy_info,learning format
unis with lets you design ur own major kinda,high_school_student,filtered_search,medium,Self-designed major,academic_policy_info,academic flexibility
schools w strong cs but small class sizes pls,high_school_student,multi_constraint,complex,"CS, class size",academic_program_info,program + class size
colleges with good public transit not car depedent,high_school_student,filtered_search,medium,Public transit,college_search,transport typo
unis w clubs that arent resume-obsessed,high_school_student,filtered_search,medium,"Clubs, culture",campus_services_info,culture preference
schools wtih strong cs but also chill gen eds,high_school_student,multi_constraint,complex,"CS, Gen Eds",academic_program_info,program + gen eds typo
colleges w dont overemphasize greek life,high_school_student,filtered_search,medium,Greek life,college_search,social culture
unis with late add/drop deadlines for classes,high_school_student,filtered_search,medium,Add/Drop deadlines,academic_policy_info,academic policy
schools w strong cs but not hyper competitive vibe,high_school_student,filtered_search,medium,"CS, culture",academic_program_info,program culture
colleges wtih guaranteed housing more than 1 yr,high_school_student,filtered_search,medium,Housing guarantee,campus_services_info,housing stability typo
unis w strong cs and accessible maker labs,high_school_student,multi_constraint,complex,"CS, Maker labs",campus_services_info,program + facilities
schools with lots of interdisciplinary minors,high_school_student,filtered_search,medium,"Minors, interdisciplinary",academic_program_info,academic options
colleges w profs actually respond to emails,high_school_student,emotional_advisory,llm_needed,"Faculty, communication",college_search,faculty accessibility
unis with strong cs but room to explore other majors,high_school_student,multi_constraint,complex,"CS, major exploration",academic_program_info,flexibility
schools w capstone projects instead of exams,high_school_student,filtered_search,medium,"Capstone, exams",academic_policy_info,curriculum style
colleges with strong cs but collaborative not cutthroat,high_school_student,filtered_search,medium,"CS, culture",academic_program_info,culture vibe
unis w you can take reduced course load easily,high_school_student,filtered_search,medium,"Course load, flexibility",academic_policy_info,policy flexibility
schools wtih strong cs and good disability services,high_school_student,multi_constraint,complex,"CS, Disability services",campus_services_info,program + accessibility typo
colleges w good cs but not constant all-nighters,high_school_student,emotional_advisory,llm_needed,"CS, workload",academic_program_info,workload concern
unis with strong cs and campus that isnt isolated,high_school_student,multi_constraint,complex,"CS, location",college_search,location + program
schools w project-based cs classes not just exams,high_school_student,filtered_search,medium,"CS, project-based",academic_program_info,curriculum preference
colleges wtih strong cs but active arts scene too,high_school_student,multi_constraint,complex,"CS, Arts",college_search,STEM + arts typo
unis w easy access to prof research labs early,high_school_student,filtered_search,medium,Research labs,academic_program_info,research access
schools with strong cs but flexible pass/fail options,high_school_student,filtered_search,medium,"CS, Pass/Fail",academic_policy_info,grading policy
colleges w internship search heavily supported,high_school_student,filtered_search,medium,Internship support,career_services_info,career support
unis with strong cs but emphasis on ethics/social impact,high_school_student,multi_constraint,complex,"CS, Ethics",academic_program_info,program philosophy
schools w less prereq chains for cs classes,high_school_student,filtered_search,medium,"CS, prerequisites",academic_policy_info,curriculum structure
colleges with strong cs but balanced life culture,high_school_student,emotional_advisory,llm_needed,"CS, culture",college_search,lifestyle balance
unis w advising actually helps pick classes,high_school_student,filtered_search,medium,Academic advising,campus_services_info,advising quality
schools wtih strong cs but good study abroad pipelines,high_school_student,multi_constraint,complex,"CS, Study abroad",academic_program_info,program + abroad typo
colleges w cs programs that encourage startups,high_school_student,filtered_search,medium,"CS, Startups",career_services_info,entrepreneurship focus
is this school safe for my kid,parent,attribute_lookup,short_circuit,Campus safety,campus_services_info,safety stats
schools with strong academic advising,parent,filtered_search,medium,Academic advising,campus_services_info,advising quality
colleges where freshmen get support,parent,filtered_search,medium,"Freshmen, Support",campus_services_info,first-year support
does ucla guarantee housing,parent,attribute_lookup,short_circuit,"UCLA, Housing",campus_services_info,housing policy
schools with good disability services,parent,filtered_search,medium,Disability services,campus_services_info,accessibility
how big are intro classes at umd,parent,attribute_lookup,short_circuit,University of Maryland,academic_policy_info,class size
colleges with strong mental health resources,parent,filtered_search,medium,Mental health,campus_services_info,student wellness
what is the 4 year grad rate at nyu,parent,attribute_lookup,short_circuit,NYU,admissions_info,outcomes
schools with good parent communication,parent,filtered_search,medium,Parents,campus_services_info,parent engagement
is greek life overwhelming at alabama,parent,attribute_lookup,short_circuit,University of Alabama,college_search,campus culture
colleges where kids don’t get lost,parent,emotional_advisory,llm_needed,Campus size,college_search,fit concern
is out of state worth the cost,parent,advisory,llm_needed,"Out-of-state, Tuition",financial_aid_info,cost vs value
