Query,Persona,Intent,Complexity,Entities,Route,Notes
best colleges for aerospace engineering job outcomes,college_student,career_outcomes,llm_needed,,,outcomes
colleges near a major tech hub low tuition with strong research and internships,counselor_teacher,multi_constraint,complex,,,multi-constraint
colleges where people dont care about football,counselor_teacher,campus_life_fit,llm_needed,,,subjective fit
colleges not Florida good financial aid with strong research and internships,college_student,multi_constraint,complex,,,multi-constraint
Virginia Tech,college_student,exact_lookup,short_circuit,,,simple entity
schools with high internship placement rates,advisor,career_outcomes,medium,,,outcomes
University of Michigan job placement for engineering,advisor,career_outcomes,medium,,,outcomes; advisor framing
Harvard financial aid for out of state,counselor_teacher,cost_financial_aid,medium,,,cost / aid
how do we update our school profile data,college_b2b,b2b_partnership,medium,,,B2B
UCLA vibe,high_school_student,campus_life_fit,llm_needed,,,subjective fit
affordable public health schools in Texas with good job placement,high_school_student,multi_constraint,complex,,,multi-constraint
Penn State application deadlines,counselor_teacher,admissions_process,medium,,,how-to / admissions
recommend large colleges near a major tech hub for pre-law not too competitive,advisor,recommendation,complex,,,needs recommendations
Columbia vs Caltech,college_student,comparison,complex,,,compare entities
recommend small colleges near Chicago for nursing reach schools,high_school_student,recommendation,complex,,,needs recommendations
UT Austin vs Purdue for pre-med,high_school_student,comparison,complex,,,compare entities
Purdue vs UT Austin,advisor,comparison,complex,,,compare entities
colleges in warm states under 30k with strong research and internships,college_student,multi_constraint,complex,,,multi-constraint
penn state,parent,exact_lookup,short_circuit,,,simple entity
pricing for partner colleges,parent,b2b_partnership,medium,,,B2B
medium-sized finance colleges near Chicago under 20k target schools,high_school_student,multi_constraint,medium,,,multi-constraint
Arizona State housing guarantee,parent,exact_lookup,short_circuit,,,simple entity; parent framing
does Georgia Tech have philosophy,parent,attribute_lookup,short_circuit,,,single attribute
brown,college_student,exact_lookup,short_circuit,,,simple entity
request demo for our admissions team,parent,b2b_partnership,medium,,,B2B
how do i apply to Stanford,college_student,admissions_process,medium,,,how-to / admissions
what essays does Arizona State require,counselor_teacher,admissions_process,medium,,,how-to / admissions
NYU job placement for electrical engineering,high_school_student,career_outcomes,medium,,,outcomes
do i need sat for Northeastern,parent,admissions_process,medium,,,how-to / admissions; parent framing
University of Wisconsin tuition vs UC Berkeley tuition,advisor,comparison,complex,,,compare entities
schools like Penn State but cheaper,high_school_student,recommendation,complex,,,needs recommendations
colleges in California,high_school_student,filtered_search,medium,,,1–2 filters
universities with strong psychology,advisor,filtered_search,medium,,,1–2 filters; advisor framing
do i need sat for Carnegie Mellon,advisor,admissions_process,medium,,,how-to / admissions
schools like Carnegie Mellon but cheaper,high_school_student,recommendation,complex,,,needs recommendations
Boston University vs UC Irvine for finance,counselor_teacher,comparison,complex,,,compare entities
affordable philosophy schools not Florida with good job placement,college_student,multi_constraint,complex,,,multi-constraint
Purdue vs MIT for political science,high_school_student,comparison,complex,,,compare entities
schools with normal people,college_student,campus_life_fit,short_circuit,,,subjective fit
University of Maryland but cheaper,parent,rewrite_needed,complex,,,needs rewrite; parent framing
schools with strong first gen support,counselor_teacher,career_outcomes,medium,,,outcomes; counselor framing
Vanderbilt financial aid,advisor,attribute_lookup,short_circuit,,,single attribute
colleges not Florida under 20k with strong research and internships,college_student,multi_constraint,complex,,,multi-constraint
UC Berkeley admissions profile average sat and gpa,counselor_teacher,attribute_lookup,short_circuit,,,single attribute; counselor framing
northeastern,college_student,exact_lookup,short_circuit,,,simple entity
do i need sat for Vanderbilt,high_school_student,admissions_process,short_circuit,,,how-to / admissions
schools near the beach with low student-to-faculty ratio,parent,filtered_search,medium,,,1–2 filters
schools near a major tech hub with low student-to-faculty ratio,college_student,filtered_search,medium,,,1–2 filters
University of Michigan financial aid for out of state,college_student,cost_financial_aid,medium,,,cost / aid
Princeton but cheaper,high_school_student,rewrite_needed,complex,,,needs rewrite
how do we update our school profile data,high_school_student,b2b_partnership,medium,,,B2B
affordable business schools near the beach with good job placement,parent,multi_constraint,complex,,,multi-constraint
api access for college partners,college_b2b,b2b_partnership,medium,,,B2B
large philosophy colleges on the East Coast under 40k reach schools,counselor_teacher,multi_constraint,complex,,,multi-constraint
Vanderbilt housing guarantee,parent,admissions_process,medium,,,how-to / admissions; parent framing
api access for college partners,parent,b2b_partnership,medium,,,B2B
colleges in California,advisor,filtered_search,medium,,,1–2 filters; advisor framing
request demo for our admissions team,college_student,b2b_partnership,medium,,,B2B
what essays does Caltech require,counselor_teacher,admissions_process,complex,,,how-to / admissions
Penn State study abroad,counselor_teacher,attribute_lookup,short_circuit,,,single attribute
Duke research opportunities,counselor_teacher,attribute_lookup,short_circuit,,,single attribute
research opportunities for Northeastern,parent,attribute_lookup,short_circuit,,,single attribute
mit without the suffering,college_student,rewrite_needed,complex,,,needs rewrite
schools like UC San Diego but cheaper,advisor,recommendation,complex,,,needs recommendations
Princeton vs Harvard,college_student,comparison,complex,,,compare entities
Caltech admissions profile average sat and gpa,counselor_teacher,multi_constraint,complex,,,multi-constraint; counselor framing
what schools should i apply to for computer science near Chicago low tuition,counselor_teacher,recommendation,complex,,,needs recommendations
Carnegie Mellon admissions profile average sat and gpa,counselor_teacher,attribute_lookup,short_circuit,,,single attribute; counselor framing
schools with high internship placement rates,parent,career_outcomes,medium,,,outcomes
what essays does UC San Diego require,counselor_teacher,admissions_process,medium,,,how-to / admissions
does Columbia have mechanical engineering,advisor,attribute_lookup,short_circuit,,,single attribute
request demo for our admissions team,college_b2b,b2b_partnership,short_circuit,,,B2B
universities with strong economics,parent,filtered_search,complex,,,1–2 filters
best colleges for computer science job outcomes,high_school_student,career_outcomes,medium,,,outcomes
Harvard,high_school_student,exact_lookup,short_circuit,,,simple entity
schools good for normal people,advisor,campus_life_fit,llm_needed,,,subjective fit
Arizona State housing guarantee,parent,career_outcomes,medium,,,outcomes; parent framing
Maryland,advisor,exact_lookup,short_circuit,,,simple entity
schools on the East Coast with low student-to-faculty ratio,college_student,filtered_search,medium,,,1–2 filters
colleges where people dont care about football,advisor,campus_life_fit,llm_needed,,,subjective fit
large pre-law colleges in warm states good financial aid not too competitive,high_school_student,multi_constraint,complex,,,multi-constraint
best colleges for mechanical engineering job outcomes,college_student,career_outcomes,medium,,,outcomes
Columbia,parent,exact_lookup,complex,,,simple entity
recommend large colleges near the beach for finance target schools,counselor_teacher,recommendation,complex,,,needs recommendations
Arizona State but cheaper,parent,rewrite_needed,complex,,,needs rewrite
recommend medium-sized colleges on the East Coast for biology reach schools,advisor,recommendation,complex,,,needs recommendations; advisor framing
cheapest computer science schools in California,counselor_teacher,cost_financial_aid,medium,,,cost / aid; counselor framing
schools with strong first gen support,counselor_teacher,rewrite_needed,complex,,,needs rewrite; counselor framing
four year cost of Caltech including housing,parent,cost_financial_aid,medium,,,cost / aid; parent framing
four year cost of UCLA including housing,parent,rewrite_needed,complex,,,needs rewrite; parent framing
does Columbia have political science,counselor_teacher,attribute_lookup,medium,,,single attribute
NYU application deadlines,advisor,admissions_process,medium,,,how-to / admissions
uc san diego,college_student,exact_lookup,short_circuit,,,simple entity
how do we update our school profile data,parent,b2b_partnership,medium,,,B2B
what essays does University of Maryland require,counselor_teacher,admissions_process,medium,,,how-to / admissions
colleges in California low tuition with strong research and internships,college_student,multi_constraint,complex,,,multi-constraint
do i need sat for UC Irvine,high_school_student,admissions_process,medium,,,how-to / admissions
schools good for chill campus,parent,campus_life_fit,llm_needed,,,subjective fit
schools not Florida with low student-to-faculty ratio,college_student,filtered_search,medium,,,1–2 filters
NYU housing guarantee,parent,admissions_process,medium,,,how-to / admissions; parent framing
four year cost of Duke including housing,parent,campus_life_fit,llm_needed,,,subjective fit; parent framing
Carnegie Mellon vs University of Michigan,advisor,comparison,complex,,,compare entities; advisor framing
University of Florida,parent,exact_lookup,short_circuit,,,simple entity
colleges in Texas under 20k with strong research and internships,advisor,multi_constraint,complex,,,multi-constraint
how do i apply to Virginia Tech,counselor_teacher,admissions_process,medium,,,how-to / admissions
how do i apply to Arizona State,parent,admissions_process,medium,,,how-to / admissions
UT Austin,counselor_teacher,exact_lookup,short_circuit,,,simple entity
how do we update our school profile data,college_b2b,b2b_partnership,llm_needed,,,B2B
mit without the suffering,parent,rewrite_needed,complex,,,needs rewrite
Boston University tuition vs NYU tuition,advisor,comparison,complex,,,compare entities
what schools should i apply to for architecture not Florida under 20k,parent,recommendation,medium,,,needs recommendations
UT Austin vs Northwestern,counselor_teacher,comparison,complex,,,compare entities; counselor framing
does Virginia Tech have computer science,college_student,attribute_lookup,short_circuit,,,single attribute
four year cost of University of Florida including housing,parent,b2b_partnership,medium,,,B2B; parent framing
four year cost of University of Maryland including housing,parent,b2b_partnership,medium,,,B2B; parent framing
Princeton but cheaper,college_student,rewrite_needed,complex,,,needs rewrite
colleges near the beach under 30k with strong research and internships,high_school_student,multi_constraint,complex,,,multi-constraint
NYU job placement for computer science,high_school_student,career_outcomes,medium,,,outcomes
UC Berkeley scholarships,counselor_teacher,cost_financial_aid,medium,,,cost / aid
USC,counselor_teacher,exact_lookup,medium,,,simple entity
Princeton housing guarantee,parent,filtered_search,medium,,,1–2 filters; parent framing
create reach target safety list for neuroscience on the East Coast under 20k,advisor,attribute_lookup,short_circuit,,,single attribute; advisor framing
UCLA tuition vs Rice University tuition,college_student,comparison,complex,,,compare entities
schools like Princeton but cheaper,parent,recommendation,complex,,,needs recommendations
Penn State but cheaper,advisor,rewrite_needed,complex,,,needs rewrite
virginia tech,counselor_teacher,exact_lookup,short_circuit,,,simple entity; counselor framing
schools in warm states with low student-to-faculty ratio,advisor,filtered_search,medium,,,1–2 filters
universities with strong political science,advisor,filtered_search,medium,,,1–2 filters
how do i apply to Cornell,parent,admissions_process,short_circuit,,,how-to / admissions; parent framing
what essays does Columbia require,counselor_teacher,admissions_process,medium,,,how-to / admissions
Duke vs USC,high_school_student,comparison,complex,,,compare entities
do i need sat for Purdue,high_school_student,admissions_process,medium,,,how-to / admissions
schools good for vibe,parent,campus_life_fit,llm_needed,,,subjective fit
recommend small colleges on the East Coast for political science safety schools,parent,recommendation,short_circuit,,,needs recommendations
how do i apply to University of Florida,advisor,admissions_process,medium,,,how-to / admissions
colleges near the beach under 40k with strong research and internships,college_student,multi_constraint,complex,,,multi-constraint
affordable business schools near Chicago with good job placement,college_student,multi_constraint,complex,,,multi-constraint
how do i apply to University of Wisconsin,parent,admissions_process,medium,,,how-to / admissions; parent framing
USC,counselor_teacher,exact_lookup,llm_needed,,,simple entity
recommend medium-sized colleges near a major tech hub for aerospace engineering reach schools,parent,recommendation,complex,,,needs recommendations
schools good for sports culture,high_school_student,campus_life_fit,llm_needed,,,subjective fit
UC Irvine job placement for chemistry,advisor,career_outcomes,complex,,,outcomes
Arizona State,college_student,exact_lookup,short_circuit,,,simple entity
Arizona State,high_school_student,exact_lookup,short_circuit,,,simple entity
affordable public health schools near the beach with good job placement,advisor,multi_constraint,complex,,,multi-constraint; advisor framing
mental health counseling for Cornell,advisor,attribute_lookup,short_circuit,,,single attribute
UCLA housing,college_student,attribute_lookup,short_circuit,,,single attribute
Carnegie Mellon but cheaper,advisor,rewrite_needed,complex,,,needs rewrite
recommend small colleges in the Midwest for aerospace engineering target schools,high_school_student,recommendation,complex,,,needs recommendations
does UC San Diego have philosophy,college_student,attribute_lookup,short_circuit,,,single attribute
create reach target safety list for pre-med near Chicago under 20k,advisor,admissions_process,medium,,,how-to / admissions; advisor framing
medium-sized economics colleges on the East Coast low tuition reach schools,high_school_student,multi_constraint,complex,,,multi-constraint
how do i apply to NYU,parent,admissions_process,medium,,,how-to / admissions
cornell,college_student,exact_lookup,medium,,,simple entity
ucla vibe but not so expensive,college_student,rewrite_needed,complex,,,needs rewrite
enterprise access for counselors and districts,high_school_student,b2b_partnership,medium,,,B2B
Harvard,counselor_teacher,exact_lookup,short_circuit,,,simple entity
Stanford application deadlines,counselor_teacher,admissions_process,medium,,,how-to / admissions
average SAT for Vanderbilt,advisor,attribute_lookup,short_circuit,,,single attribute
best colleges for chemistry job outcomes,counselor_teacher,career_outcomes,medium,,,outcomes
Columbia financial aid for out of state,counselor_teacher,cost_financial_aid,medium,,,cost / aid
schools in warm states with low student-to-faculty ratio,high_school_student,filtered_search,llm_needed,,,1–2 filters
University of Wisconsin but cheaper,college_student,rewrite_needed,complex,,,needs rewrite
recommend small colleges in Texas for neuroscience not too competitive,advisor,recommendation,complex,,,needs recommendations
Georgia Tech non-competitive culture,high_school_student,campus_life_fit,llm_needed,,,subjective fit
Stanford tuition vs Northwestern tuition,college_student,comparison,complex,,,compare entities
pricing for partner colleges,college_b2b,b2b_partnership,short_circuit,,,B2B
colleges where people dont care about football,college_student,campus_life_fit,llm_needed,,,subjective fit
NYU scholarships,college_student,cost_financial_aid,medium,,,cost / aid
universities with strong architecture,parent,filtered_search,medium,,,1–2 filters; parent framing
Brown tuition vs University of Wisconsin tuition,college_student,comparison,complex,,,compare entities
MIT housing guarantee,parent,exact_lookup,short_circuit,,,simple entity; parent framing
colleges on the East Coast under 30k with strong research and internships,counselor_teacher,multi_constraint,complex,,,multi-constraint
MIT admissions profile average sat and gpa,counselor_teacher,attribute_lookup,short_circuit,,,single attribute; counselor framing
University of Michigan scholarships,counselor_teacher,cost_financial_aid,medium,,,cost / aid
best political science schools in California,parent,filtered_search,medium,,,1–2 filters
mit without the suffering,college_student,rewrite_needed,llm_needed,,,needs rewrite
what essays does UCLA require,high_school_student,admissions_process,medium,,,how-to / admissions
Columbia housing guarantee,parent,exact_lookup,short_circuit,,,simple entity; parent framing
schools good for normal people,counselor_teacher,campus_life_fit,llm_needed,,,subjective fit
Penn State,parent,exact_lookup,short_circuit,,,simple entity
does Brown have business,counselor_teacher,attribute_lookup,short_circuit,,,single attribute
schools good for sports culture,advisor,campus_life_fit,llm_needed,,,subjective fit
ucla vibe but not so expensive,parent,rewrite_needed,complex,,,needs rewrite; parent framing
Carnegie Mellon financial aid for out of state,college_student,cost_financial_aid,medium,,,cost / aid
schools like Northwestern but cheaper,college_student,recommendation,medium,,,needs recommendations
best colleges for mechanical engineering job outcomes,counselor_teacher,career_outcomes,medium,,,outcomes
request demo for our admissions team,counselor_teacher,b2b_partnership,medium,,,B2B
schools like Boston University but cheaper,college_student,recommendation,complex,,,needs recommendations
schools with strong first gen support,counselor_teacher,b2b_partnership,medium,,,B2B; counselor framing
UCLA,college_student,exact_lookup,short_circuit,,,simple entity
four year cost of University of Wisconsin including housing,parent,admissions_process,medium,,,how-to / admissions; parent framing
schools near Chicago with low student-to-faculty ratio,parent,filtered_search,medium,,,1–2 filters
Harvard vs Columbia for nursing,college_student,comparison,complex,,,compare entities
best colleges for nursing job outcomes,college_student,career_outcomes,medium,,,outcomes
colleges where people dont care about football,parent,campus_life_fit,llm_needed,,,subjective fit; parent framing
affordable business schools near Chicago with good job placement,advisor,multi_constraint,complex,,,multi-constraint
universities with strong political science,college_student,filtered_search,medium,,,1–2 filters
