Query,Persona,Intent,Complexity,Entities,Route,Notes
colleges with student-run food trucks,highschool student,attribute_lookup,short_circuit,"student-run, food trucks, campus, college",campus_services_info,quirky campus feature
schools with strong geoscience programs,highschool student,attribute_lookup,medium,"geoscience, programs, school",academic_program_info,program lookup
universities with campus escape rooms or game rooms,highschool student,attribute_lookup,short_circuit,"escape rooms, game rooms, campus, university",campus_services_info,campus vibe
colleges with strong occupational therapy programs,highschool student,attribute_lookup,medium,"occupational therapy, programs, college",academic_program_info,program lookup
schools with strong sports analytics programs,highschool student,attribute_lookup,medium,"sports analytics, programs, school",academic_program_info,program lookup
universities with campuses near rivers or lakes,highschool student,filtered_search,medium,"location, rivers, lakes, campus, university",college_search,location + lifestyle
colleges where students can self-design their major,highschool student,attribute_lookup,complex,"self-designed major, flexible curriculum, college",academic_advising,academic flexibility
schools with strong renewable energy research,highschool student,attribute_lookup,complex,"renewable energy, research, undergraduate, school",academic_program_info,research focus
universities with free or subsidized health clinics,highschool student,attribute_lookup,short_circuit,"health clinics, free, subsidized, campus, university",campus_services_info,campus support
colleges with strong theater education programs,highschool student,attribute_lookup,medium,"theater education, programs, college",academic_program_info,program lookup
schools with campus solar energy initiatives,highschool student,attribute_lookup,short_circuit,"solar energy, sustainability, initiatives, campus, school",campus_services_info,campus culture
universities with low international student fees,highschool student,attribute_lookup,medium,"international student fees, low, tuition, university",financial_aid_advising,financial info
colleges with student-run YouTube channels,highschool student,attribute_lookup,short_circuit,"student-run, YouTube, media, clubs, college",campus_services_info,extracurricular
schools with strong kinesiology programs,highschool student,attribute_lookup,medium,"kinesiology, programs, school",academic_program_info,program lookup
universities with evening or weekend classes,highschool student,attribute_lookup,medium,"evening classes, weekend classes, schedule, university",academic_policy_info,schedule preference
colleges with strong digital marketing programs,highschool student,attribute_lookup,medium,"digital marketing, programs, college",academic_program_info,program lookup
schools with active wildlife conservation clubs,highschool student,attribute_lookup,medium,"wildlife conservation, clubs, student organizations, school",campus_services_info,extracurricular
universities with access to live music venues nearby,highschool student,filtered_search,medium,"live music, venues, location, nearby, university",college_search,location + lifestyle
colleges with strong Islamic or Middle Eastern studies programs,highschool student,attribute_lookup,medium,"Islamic studies, Middle Eastern studies, programs, college",academic_program_info,program lookup
schools with campus butterfly gardens,highschool student,attribute_lookup,short_circuit,"butterfly gardens, campus, school",campus_services_info,unique campus feature
universities with high Fulbright scholarship winners,highschool student,attribute_lookup,complex,"Fulbright scholarship, winners, outcomes, university",college_search,academic outcomes
colleges with strong education certification programs,highschool student,attribute_lookup,medium,"education certification, programs, college",academic_program_info,program lookup
schools with active disability support services,highschool student,attribute_lookup,medium,"disability support, services, accessibility, school",campus_services_info,student support
universities with research in genetic engineering,highschool student,attribute_lookup,complex,"genetic engineering, research, undergraduate, university",academic_program_info,research focus
colleges with student-run escape rooms,highschool student,attribute_lookup,short_circuit,"student-run, escape rooms, clubs, college",campus_services_info,quirky extracurricular
schools with strong criminology programs,highschool student,attribute_lookup,medium,"criminology, programs, school",academic_program_info,program lookup
universities with campus organic gardens,highschool student,attribute_lookup,short_circuit,"organic gardens, campus, sustainability, university",campus_services_info,unique campus feature
colleges with active peer academic coaching,highschool student,attribute_lookup,medium,"peer-led tutoring, programs, academic coaching, college",campus_services_info,academic support
schools with strong bioethics programs,highschool student,multi_constraint,complex,"bioethics, programs, interdisciplinary, school",academic_program_info,program combo
universities with campuses near art districts,highschool student,filtered_search,medium,"art districts, location, campus, university",college_search,location filter
colleges with free or subsidized transportation to airports,highschool student,attribute_lookup,short_circuit,"transportation, airports, shuttle, free, college",campus_services_info,campus perks
schools with student-run consulting groups,highschool student,attribute_lookup,medium,"student-run, consulting, groups, clubs, school",campus_services_info,extracurricular
universities with strong applied math programs,highschool student,attribute_lookup,medium,"applied math, programs, university",academic_program_info,program lookup
colleges with study-abroad programs in Asia,highschool student,filtered_search,complex,"study abroad, Asia, programs, college",study_abroad_advising,program + abroad
schools with active science olympiad alumni communities,highschool student,attribute_lookup,medium,"science olympiad, alumni, clubs, student organizations, school",campus_services_info,extracurricular
universities with strong public policy programs,highschool student,attribute_lookup,medium,"public policy, programs, university",academic_program_info,program lookup
colleges with student-run sustainability reports,highschool student,attribute_lookup,medium,"sustainability, student-led, initiatives, clubs, college",campus_services_info,campus culture
schools with strong industrial engineering programs,highschool student,attribute_lookup,medium,"industrial engineering, programs, school",academic_program_info,program lookup
universities with undergraduate access to particle accelerators,highschool student,attribute_lookup,complex,"particle accelerators, undergraduate research, facilities, university",academic_program_info,facilities
colleges with frequent career networking events,highschool student,attribute_lookup,medium,"career networking, events, career center, college",campus_services_info,career programs
schools with strong clinical psychology programs,highschool student,attribute_lookup,medium,"clinical psychology, programs, school",academic_program_info,program lookup
universities with on-campus startup offices,highschool student,attribute_lookup,medium,"entrepreneurship, programs, startup, on-campus, university",campus_services_info,entrepreneurship
colleges with strong data privacy or cybersecurity law tracks,highschool student,multi_constraint,complex,"cybersecurity, programs, data privacy, law, college",academic_program_info,program combo
schools with campus zip lines or adventure courses,highschool student,attribute_lookup,short_circuit,"zip lines, adventure courses, campus, school",campus_services_info,unique campus feature
universities with strong business analytics programs,highschool student,attribute_lookup,medium,"business analytics, programs, university",academic_program_info,program lookup
colleges with active interfaith student groups,highschool student,attribute_lookup,medium,"interfaith, student organizations, clubs, college",campus_services_info,campus culture
schools with high percentage of students doing internships,highschool student,attribute_lookup,medium,"internship, placement rate, school",college_search,career outcomes
universities with student-run magazine publications,highschool student,attribute_lookup,short_circuit,"student-run, magazine, publications, clubs, university",campus_services_info,extracurricular
colleges with strong software engineering programs,highschool student,attribute_lookup,medium,"software engineering, programs, college",academic_program_info,program lookup
schools near historic downtown areas,highschool student,filtered_search,medium,"location, historic downtown, nearby, school",college_search,location filter
universities with campus mindfulness apps or tech tools,highschool student,attribute_lookup,medium,"mindfulness, wellness, apps, tech tools, university",campus_services_info,wellness
colleges with strong Italian or French language programs,highschool student,attribute_lookup,medium,"Italian, French, language programs, college",academic_program_info,program lookup
schools with robust study skills workshops,highschool student,attribute_lookup,medium,"study skills, workshops, academic support, school",campus_services_info,academic support
universities with research in climate change,highschool student,attribute_lookup,complex,"climate change, research, undergraduate, university",academic_program_info,research focus
colleges with active Black student unions,highschool student,attribute_lookup,medium,"Black student union, clubs, student organizations, college",campus_services_info,campus culture
schools with strong public administration programs,highschool student,attribute_lookup,medium,"public administration, programs, school",academic_program_info,program lookup
universities with dual degree programs in law and business,highschool student,multi_constraint,complex,"double major, flexible, law, business, dual degree, university",academic_program_info,program combo
colleges with campus amphitheaters for events,highschool student,attribute_lookup,short_circuit,"amphitheater, events, campus, facilities, college",campus_services_info,facilities
schools with strong animation or digital arts programs,highschool student,attribute_lookup,medium,"animation, digital arts, programs, school",academic_program_info,program lookup
universities with low-cost graduate bridge programs,highschool student,attribute_lookup,medium,"graduate bridge programs, low-cost, university",academic_policy_info,academic policy
colleges with active pre-dental clubs,highschool student,attribute_lookup,medium,"pre-dental, clubs, student organizations, college",campus_services_info,extracurricular
schools with strong classical studies programs,highschool student,attribute_lookup,medium,"classical studies, programs, school",academic_program_info,program lookup
universities with student-led social justice organizations,highschool student,attribute_lookup,medium,"social justice, student-led, clubs, organizations, university",campus_services_info,campus culture
colleges with campus wellness retreats,highschool student,attribute_lookup,medium,"wellness, retreats, campus, college",campus_services_info,wellness
schools with strong physical therapy programs,highschool student,attribute_lookup,medium,"physical therapy, programs, school",academic_program_info,program lookup
universities with student-run investment competitions,highschool student,attribute_lookup,medium,"investment clubs, student-run, competitions, university",campus_services_info,extracurricular
colleges with campus Wi-Fi available everywhere outdoors,highschool student,attribute_lookup,short_circuit,"Wi-Fi, outdoor, campus, college",campus_services_info,campus perks
schools with strong East Asian studies programs,highschool student,attribute_lookup,medium,"East Asian studies, programs, school",academic_program_info,program lookup
universities where professors are accessible outside class,highschool student,emotional_advisory,llm_needed,"faculty, accessible, office hours, university",college_search,faculty culture
colleges with student-run sustainability gardens,highschool student,attribute_lookup,medium,"sustainability, student-led, gardens, initiatives, college",campus_services_info,campus culture
schools with strong healthcare administration programs,highschool student,attribute_lookup,medium,"healthcare administration, programs, school",academic_program_info,program lookup
universities with active campus cycling communities,highschool student,attribute_lookup,medium,"cycling, clubs, student organizations, campus, university",campus_services_info,campus culture
colleges with strong operations research programs,highschool student,attribute_lookup,medium,"operations research, programs, college",academic_program_info,program lookup
schools with vibrant campus festival traditions,highschool student,filtered_search,llm_needed,"campus culture, festivals, traditions, school",college_search,campus culture
universities with research in oceanography,highschool student,attribute_lookup,medium,"oceanography, research, undergraduate, university",academic_program_info,research focus
colleges with strong computational linguistics programs,highschool student,multi_constraint,complex,"computational linguistics, programs, CS, linguistics, college",academic_program_info,program combo
schools with easy access to student health insurance,highschool student,attribute_lookup,short_circuit,"health insurance, student, access, school",campus_services_info,campus support
universities with strong epidemiology programs,highschool student,attribute_lookup,medium,"epidemiology, programs, university",academic_program_info,program lookup
colleges with student-run social media accounts with large followings,highschool student,attribute_lookup,short_circuit,"student-run, social media, campus culture, college",campus_services_info,campus vibe
schools with strong forensic accounting programs,highschool student,attribute_lookup,medium,"forensic accounting, programs, school",academic_program_info,program lookup
universities with active pre-pharmacy clubs,highschool student,attribute_lookup,medium,"pre-pharmacy, clubs, student organizations, university",campus_services_info,extracurricular
colleges near professional sports stadiums,highschool student,filtered_search,medium,"location, professional sports, stadiums, college",college_search,location + lifestyle
schools with study rooms available 24/7,highschool student,attribute_lookup,short_circuit,"study rooms, 24/7, facilities, school",campus_services_info,facilities
universities with strong comparative literature programs,highschool student,attribute_lookup,medium,"comparative literature, programs, university",academic_program_info,program lookup
colleges with strong digital humanities programs,highschool student,multi_constraint,complex,"digital humanities, programs, humanities, STEM, balance, college",academic_program_info,program combo
schools where students can audit classes for free,highschool student,attribute_lookup,medium,"audit, classes, free, academic policy, school",academic_policy_info,academic flexibility
universities with access to legal aid clinics,highschool student,attribute_lookup,medium,"legal aid, clinics, campus services, university",campus_services_info,campus support
colleges with student-run interior design clubs,highschool student,attribute_lookup,short_circuit,"interior design, clubs, student organizations, college",campus_services_info,extracurricular
schools with strong sports nutrition programs,highschool student,multi_constraint,complex,"sports nutrition, programs, nutrition, athletics, school",academic_program_info,program combo
universities with campus housing for international students,highschool student,attribute_lookup,medium,"housing, international students, campus, university",housing_advising,student support
colleges with strong military science programs,highschool student,attribute_lookup,medium,"military science, ROTC, programs, college",academic_program_info,program lookup
schools near national research institutions,highschool student,filtered_search,complex,"location, research institutions, nearby, school",college_search,location + research
universities with active cross-cultural dialogue programs,highschool student,attribute_lookup,medium,"cross-cultural, dialogue, clubs, student organizations, university",campus_services_info,campus culture
colleges with student-run tech repair services,highschool student,attribute_lookup,short_circuit,"tech repair, student-run, services, college",campus_services_info,extracurricular
schools with strong supply chain analytics programs,highschool student,multi_constraint,complex,"supply chain, analytics, programs, interdisciplinary, school",academic_program_info,program combo
universities with campus dark sky observatories,highschool student,attribute_lookup,short_circuit,"dark sky, observatories, campus, university",campus_services_info,unique campus feature
colleges with students who feel a strong sense of belonging,highschool student,emotional_advisory,llm_needed,"campus culture, belonging, student experience, college",college_search,campus culture
schools with strong translation or interpretation programs,highschool student,attribute_lookup,medium,"translation, interpretation, programs, school",academic_program_info,program lookup
universities with active peer wellness advocates,highschool student,attribute_lookup,medium,"peer wellness, advocates, programs, university",campus_services_info,wellness
colleges with campus zip-code diversity,highschool student,filtered_search,medium,"diversity, student body, zip-code, demographics, college",college_search,campus culture
schools with strong social entrepreneurship programs,highschool student,multi_constraint,complex,"entrepreneurship, programs, social impact, school",academic_program_info,program combo
universities with student-run financial literacy workshops,highschool student,attribute_lookup,medium,"financial literacy, workshops, student-run, university",campus_services_info,extracurricular
colleges where students feel safe reporting issues,highschool student,emotional_advisory,llm_needed,"campus safety, reporting, student experience, college",college_search,campus safety
schools with strong marine engineering programs,highschool student,attribute_lookup,medium,"marine engineering, programs, school",academic_program_info,program lookup
universities with student-run cultural radio programs,highschool student,attribute_lookup,short_circuit,"cultural radio, student-run, clubs, university",campus_services_info,extracurricular
colleges with free or subsidized legal services for students,highschool student,attribute_lookup,medium,"legal services, free, subsidized, campus, college",campus_services_info,campus support
schools with strong sports broadcasting programs,highschool student,attribute_lookup,medium,"sports broadcasting, programs, school",academic_program_info,program lookup
universities with undergraduate course design opportunities,highschool student,attribute_lookup,complex,"course design, undergraduate, academic options, university",academic_policy_info,academic options
colleges with student-run architecture studios,highschool student,attribute_lookup,medium,"architecture, student-run, studios, clubs, college",campus_services_info,extracurricular
schools with active food justice or nutrition advocacy clubs,highschool student,attribute_lookup,medium,"food justice, nutrition, advocacy, clubs, school",campus_services_info,extracurricular
universities with research in atmospheric science,highschool student,attribute_lookup,medium,"atmospheric science, research, undergraduate, university",academic_program_info,research focus
colleges with strong biostatistics programs,highschool student,attribute_lookup,medium,"biostatistics, programs, college",academic_program_info,program lookup
schools with student-led orientation programs,highschool student,attribute_lookup,medium,"orientation, student-led, programs, school",campus_services_info,student support
universities with access to simulation labs for pre-health students,highschool student,attribute_lookup,complex,"simulation labs, pre-health, facilities, university",campus_services_info,facilities
colleges with strong oral communication programs,highschool student,attribute_lookup,medium,"oral communication, programs, college",academic_program_info,program lookup
schools with strong digital journalism programs,highschool student,attribute_lookup,medium,"digital journalism, programs, school",academic_program_info,program lookup
universities with student-run online magazines,highschool student,attribute_lookup,short_circuit,"student-run, online magazines, clubs, university",campus_services_info,extracurricular
colleges with campus urban farms,highschool student,attribute_lookup,short_circuit,"urban farms, campus, sustainability, college",campus_services_info,quirky campus feature
schools with strong healthcare IT programs,highschool student,multi_constraint,complex,"healthcare IT, programs, health, informatics, school",academic_program_info,program combo
universities with active Habitat for Humanity chapters,highschool student,attribute_lookup,medium,"Habitat for Humanity, community service, clubs, university",campus_services_info,community
colleges with strong interdisciplinary science programs,highschool student,multi_constraint,complex,"interdisciplinary, science, programs, humanities, STEM, balance, college",academic_program_info,program combo
schools with student government with real budget control,highschool student,attribute_lookup,medium,"student government, budget, student-led, school",campus_services_info,campus culture
universities with active pre-optometry clubs,highschool student,attribute_lookup,medium,"pre-optometry, clubs, student organizations, university",campus_services_info,extracurricular
colleges with campus sustainability certifications,highschool student,attribute_lookup,medium,"sustainability, certifications, campus, college",campus_services_info,campus culture
schools with strong ethnomusicology programs,highschool student,attribute_lookup,medium,"ethnomusicology, programs, school",academic_program_info,program lookup
universities with undergraduate research in stem cell biology,highschool student,attribute_lookup,complex,"stem cell biology, undergraduate research, university",academic_program_info,research focus
colleges with student-run charity auctions,highschool student,attribute_lookup,medium,"charity auctions, student-run, clubs, college",campus_services_info,extracurricular
schools with strong Japanese or Korean language programs,highschool student,attribute_lookup,medium,"Japanese, Korean, language programs, school",academic_program_info,program lookup
universities with campus emergency medical services run by students,highschool student,attribute_lookup,medium,"emergency medical services, student-run, campus, university",campus_services_info,campus safety
colleges with research opportunities in education policy,highschool student,attribute_lookup,medium,"education policy, research, undergraduate, college",academic_program_info,research focus
schools with strong health informatics programs,highschool student,multi_constraint,complex,"health informatics, programs, health, IT, school",academic_program_info,program combo
universities with campuses in college towns with low cost of living,highschool student,filtered_search,llm_needed,"location, college town, low cost of living, university",college_search,location + financial
colleges with strong Native American or Indigenous studies programs,highschool student,attribute_lookup,medium,"Native American studies, Indigenous studies, programs, college",academic_program_info,program lookup
schools with active intramural esports leagues,highschool student,attribute_lookup,medium,"esports, intramural, clubs, student organizations, school",campus_services_info,extracurricular
universities with strong conflict resolution programs,highschool student,attribute_lookup,medium,"conflict resolution, programs, university",academic_program_info,program lookup
colleges with campus tool lending libraries,highschool student,attribute_lookup,short_circuit,"tool lending, library, campus, college",campus_services_info,quirky campus feature
schools with strong theater management programs,highschool student,multi_constraint,complex,"theater management, programs, arts, management, school",academic_program_info,program combo
universities with high numbers of NSF fellowship winners,highschool student,attribute_lookup,complex,"NSF fellowship, winners, outcomes, university",college_search,academic outcomes
colleges with student-run consulting for local nonprofits,highschool student,attribute_lookup,medium,"student-run, consulting, nonprofits, clubs, college",campus_services_info,extracurricular
schools with flexible honors thesis options,highschool student,attribute_lookup,medium,"honors program, low-stress, thesis, flexible, school",academic_advising,academic flexibility
universities with active Students Without Borders chapters,highschool student,attribute_lookup,medium,"Students Without Borders, community service, clubs, university",campus_services_info,community
colleges with strong museum studies programs,highschool student,attribute_lookup,medium,"museum studies, programs, college",academic_program_info,program lookup
schools with campus meditation instructors on staff,highschool student,attribute_lookup,short_circuit,"meditation, wellness, instructors, campus, school",campus_services_info,wellness
universities with undergraduate certificate programs,highschool student,attribute_lookup,medium,"certificate programs, undergraduate, academic policy, university",academic_policy_info,academic flexibility
colleges with campus-wide laptop loaner programs,highschool student,attribute_lookup,short_circuit,"laptop loaner, campus, services, college",campus_services_info,campus perks
schools with active Amnesty International chapters,highschool student,attribute_lookup,medium,"Amnesty International, clubs, student organizations, school",campus_services_info,campus culture
universities with research in human-computer interaction,highschool student,attribute_lookup,complex,"human-computer interaction, research, undergraduate, university",academic_program_info,research focus
colleges with strong Africana studies programs,highschool student,attribute_lookup,medium,"Africana studies, programs, college",academic_program_info,program lookup
schools with outdoor experiential learning programs,highschool student,attribute_lookup,medium,"outdoor, experiential learning, programs, school",academic_program_info,campus culture
universities with strong health psychology programs,highschool student,multi_constraint,complex,"health psychology, programs, health, psychology, university",academic_program_info,program combo
colleges with student-run bookstores,highschool student,attribute_lookup,short_circuit,"student-run, bookstores, campus, college",campus_services_info,quirky campus feature
schools with strong bioinformatics programs,highschool student,attribute_lookup,complex,"bioinformatics, programs, school",academic_program_info,program lookup
universities with on-campus entrepreneurship workshops for freshmen,highschool student,multi_constraint,complex,"entrepreneurship, programs, freshmen, workshops, university",academic_program_info,program combo
colleges with active anti-hunger student initiatives,highschool student,attribute_lookup,medium,"anti-hunger, community service, student-led, initiatives, college",campus_services_info,community
schools with strong agricultural economics programs,highschool student,attribute_lookup,medium,"agricultural economics, programs, school",academic_program_info,program lookup
universities with campuses in walkable cities,highschool student,filtered_search,medium,"location, walkable, cities, campus, university",college_search,location filter
colleges where students can take graduate-level classes,highschool student,attribute_lookup,complex,"graduate-level classes, undergraduate, academic policy, college",academic_policy_info,academic flexibility
schools with strong library science programs,highschool student,attribute_lookup,medium,"library science, programs, school",academic_program_info,program lookup
universities with student-run sustainability audits,highschool student,attribute_lookup,medium,"sustainability, student-led, audits, initiatives, university",campus_services_info,campus culture
colleges with active pro-bono student legal organizations,highschool student,attribute_lookup,medium,"pro-bono, legal, student organizations, clubs, college",campus_services_info,extracurricular
schools with strong classical music performance programs,highschool student,attribute_lookup,medium,"classical music, performance, programs, school",academic_program_info,program lookup
universities with research in nuclear energy,highschool student,attribute_lookup,complex,"nuclear energy, research, undergraduate, university",academic_program_info,research focus
colleges with on-campus telehealth resources,highschool student,attribute_lookup,medium,"telehealth, campus, health services, college",campus_services_info,campus support
schools with strong arts administration programs,highschool student,multi_constraint,complex,"arts administration, programs, arts, management, school",academic_program_info,program combo
universities with large student entrepreneurship funds,highschool student,attribute_lookup,medium,"entrepreneurship, programs, funding, university",campus_services_info,entrepreneurship
colleges with active Greek life but also strong independent social scene,highschool student,multi_constraint,llm_needed,"Greek life, social scene, campus culture, college",college_search,campus culture
schools with strong speech pathology programs,highschool student,attribute_lookup,medium,"speech pathology, programs, school",academic_program_info,program lookup
universities where most students stay on campus on weekends,highschool student,filtered_search,llm_needed,"campus culture, weekends, residential, university",college_search,campus culture
colleges with strong urban agriculture programs,highschool student,multi_constraint,complex,"urban agriculture, programs, sustainability, college",academic_program_info,program combo
schools with student-run financial advising services,highschool student,attribute_lookup,medium,"financial literacy, student-run, advising, services, school",campus_services_info,extracurricular
universities with active competitive math teams,highschool student,attribute_lookup,medium,"math, competitive, clubs, student organizations, university",campus_services_info,extracurricular
colleges with strong sports journalism programs,highschool student,multi_constraint,complex,"sports journalism, programs, sports, media, college",academic_program_info,program combo
schools with student-run community health fairs,highschool student,attribute_lookup,medium,"community service, health fairs, student-run, school",campus_services_info,community
universities with campus wildlife sanctuaries,highschool student,attribute_lookup,short_circuit,"wildlife sanctuaries, campus, university",campus_services_info,unique campus feature
colleges with strong construction management programs,highschool student,attribute_lookup,medium,"construction management, programs, college",academic_program_info,program lookup
schools with active competitive chess teams,highschool student,attribute_lookup,medium,"chess, competitive, clubs, student organizations, school",campus_services_info,extracurricular
universities with low percentage of adjunct faculty,highschool student,attribute_lookup,medium,"adjunct faculty, low, student-to-faculty ratio, university",college_search,academic quality
colleges with strong cognitive behavioral therapy training,highschool student,attribute_lookup,complex,"cognitive behavioral therapy, CBT, programs, college",academic_program_info,program lookup
schools with campus ambassador programs,highschool student,attribute_lookup,medium,"campus ambassadors, student organizations, clubs, school",campus_services_info,campus culture
universities with active cycling or triathlon clubs,highschool student,attribute_lookup,medium,"cycling, triathlon, clubs, student organizations, university",campus_services_info,extracurricular
colleges with strong emergency management programs,highschool student,attribute_lookup,medium,"emergency management, programs, college",academic_program_info,program lookup
schools with active anti-racism student task forces,highschool student,attribute_lookup,medium,"anti-racism, diversity, student organizations, clubs, school",campus_services_info,campus culture
universities with research in biophysics,highschool student,attribute_lookup,complex,"biophysics, research, undergraduate, university",academic_program_info,research focus
colleges with strong intelligence studies programs,highschool student,attribute_lookup,medium,"intelligence studies, programs, college",academic_program_info,program lookup
schools with on-campus student tech startups,highschool student,attribute_lookup,medium,"tech startups, entrepreneurship, on-campus, school",campus_services_info,entrepreneurship
universities with active wildlife photography clubs,highschool student,attribute_lookup,medium,"wildlife photography, clubs, student organizations, university",campus_services_info,extracurricular
colleges with strong natural language processing research,highschool student,attribute_lookup,complex,"natural language processing, AI research, undergraduate, college",academic_program_info,research focus
schools near vibrant nightlife but still academically focused,highschool student,multi_constraint,llm_needed,"location, nightlife, campus culture, academic, school",college_search,location + campus culture
universities with student-run crisis counseling hotlines,highschool student,attribute_lookup,medium,"mental health, counseling, student-run, campus, university",campus_services_info,campus support
colleges with strong exercise science programs,highschool student,attribute_lookup,medium,"exercise science, programs, college",academic_program_info,program lookup
schools with high diversity in computer science majors,highschool student,filtered_search,medium,"diversity, student body, computer science, underrepresented groups, STEM, school",college_search,campus culture
universities with student-led mental health destigmatization campaigns,highschool student,attribute_lookup,medium,"mental health, counseling, student-led, campaigns, university",campus_services_info,wellness
colleges with strong wine and viticulture programs,highschool student,attribute_lookup,medium,"wine, viticulture, programs, college",academic_program_info,program lookup
schools with competitive spirit but collaborative classroom culture,highschool student,emotional_advisory,llm_needed,"campus culture, collaborative, competitive, school",college_search,campus culture
universities with active trivia or academic quiz bowl teams,highschool student,attribute_lookup,medium,"trivia, quiz bowl, clubs, student organizations, university",campus_services_info,extracurricular
colleges with strong landscape architecture programs,highschool student,attribute_lookup,medium,"landscape architecture, programs, college",academic_program_info,program lookup
schools with free student access to career aptitude assessments,highschool student,attribute_lookup,medium,"career aptitude, assessments, free, career center, school",campus_services_info,career programs
universities with research in epigenetics,highschool student,attribute_lookup,complex,"epigenetics, research, undergraduate, university",academic_program_info,research focus
colleges with strong multimedia journalism programs,highschool student,attribute_lookup,medium,"multimedia journalism, programs, college",academic_program_info,program lookup
schools with campus cultural centers for multiple groups,highschool student,attribute_lookup,medium,"cultural centers, diversity, student body, campus, school",campus_services_info,campus culture
universities where students collaborate heavily across disciplines,highschool student,filtered_search,llm_needed,"interdisciplinary, collaboration, campus culture, university",college_search,campus culture
colleges with strong nautical science or maritime programs,highschool student,attribute_lookup,medium,"nautical science, maritime, programs, college",academic_program_info,program lookup
schools with student-run campus tours,highschool student,attribute_lookup,short_circuit,"campus tours, student-run, school",campus_services_info,campus culture
universities with flexible credit transfer policies,highschool student,attribute_lookup,medium,"credit transfer, flexible, academic policy, university",transfer_advising,academic flexibility
colleges with strong Jewish studies programs,highschool student,attribute_lookup,medium,"Jewish studies, programs, college",academic_program_info,program lookup
schools with on-campus virtual reality labs,highschool student,attribute_lookup,medium,"virtual reality, VR, labs, STEM labs, facilities, school",campus_services_info,facilities
universities with student-run environmental law organizations,highschool student,attribute_lookup,medium,"environmental law, student-run, organizations, clubs, university",campus_services_info,extracurricular
